Entity,Code,Year,Population
Andorra,AND,100,1244
Andorra,AND,200,1269
Andorra,AND,300,1295
Andorra,AND,400,1321
Andorra,AND,500,1348
Andorra,AND,600,1376
Andorra,AND,700,1404
Andorra,AND,800,1433
Andorra,AND,900,1462
Andorra,AND,1000,1492
Andorra,AND,1100,1522
Andorra,AND,1200,1553
Andorra,AND,1300,1585
Andorra,AND,1400,1617
Andorra,AND,1500,1650
Andorra,AND,1600,1684
Andorra,AND,1700,1718
Andorra,AND,1710,1809
Andorra,AND,1720,1904
Andorra,AND,1730,2004
Andorra,AND,1740,2110
Andorra,AND,1750,2221
Andorra,AND,1760,2338
Andorra,AND,1770,2461
Andorra,AND,1780,2591
Andorra,AND,1790,2727
Andorra,AND,1800,2654
Andorra,AND,1801,2654
Andorra,AND,1802,2654
Andorra,AND,1803,2654
Andorra,AND,1804,2654
Andorra,AND,1805,2654
Andorra,AND,1806,2654
Andorra,AND,1807,2654
Andorra,AND,1808,2654
Andorra,AND,1809,2654
Andorra,AND,1810,2654
Andorra,AND,1811,2654
Andorra,AND,1812,2654
Andorra,AND,1813,2654
Andorra,AND,1814,2654
Andorra,AND,1815,2654
Andorra,AND,1816,2654
Andorra,AND,1817,2654
Andorra,AND,1818,2654
Andorra,AND,1819,2658
Andorra,AND,1820,2665
Andorra,AND,1821,2677
Andorra,AND,1822,2692
Andorra,AND,1823,2711
Andorra,AND,1824,2730
Andorra,AND,1825,2749
Andorra,AND,1826,2769
Andorra,AND,1827,2788
Andorra,AND,1828,2808
Andorra,AND,1829,2828
Andorra,AND,1830,2848
Andorra,AND,1831,2868
Andorra,AND,1832,2888
Andorra,AND,1833,2908
Andorra,AND,1834,2929
Andorra,AND,1835,2950
Andorra,AND,1836,2970
Andorra,AND,1837,2991
Andorra,AND,1838,3013
Andorra,AND,1839,3034
Andorra,AND,1840,3055
Andorra,AND,1841,3077
Andorra,AND,1842,3099
Andorra,AND,1843,3120
Andorra,AND,1844,3142
Andorra,AND,1845,3165
Andorra,AND,1846,3187
Andorra,AND,1847,3210
Andorra,AND,1848,3232
Andorra,AND,1849,3255
Andorra,AND,1850,3278
Andorra,AND,1851,3299
Andorra,AND,1852,3321
Andorra,AND,1853,3342
Andorra,AND,1854,3364
Andorra,AND,1855,3385
Andorra,AND,1856,3407
Andorra,AND,1857,3429
Andorra,AND,1858,3451
Andorra,AND,1859,3474
Andorra,AND,1860,3496
Andorra,AND,1861,3519
Andorra,AND,1862,3541
Andorra,AND,1863,3564
Andorra,AND,1864,3587
Andorra,AND,1865,3611
Andorra,AND,1866,3634
Andorra,AND,1867,3657
Andorra,AND,1868,3681
Andorra,AND,1869,3705
Andorra,AND,1870,3729
Andorra,AND,1871,3753
Andorra,AND,1872,3777
Andorra,AND,1873,3801
Andorra,AND,1874,3826
Andorra,AND,1875,3851
Andorra,AND,1876,3875
Andorra,AND,1877,3900
Andorra,AND,1878,3926
Andorra,AND,1879,3951
Andorra,AND,1880,3976
Andorra,AND,1881,4002
Andorra,AND,1882,4028
Andorra,AND,1883,4054
Andorra,AND,1884,4080
Andorra,AND,1885,4106
Andorra,AND,1886,4133
Andorra,AND,1887,4160
Andorra,AND,1888,4186
Andorra,AND,1889,4213
Andorra,AND,1890,4241
Andorra,AND,1891,4268
Andorra,AND,1892,4295
Andorra,AND,1893,4323
Andorra,AND,1894,4351
Andorra,AND,1895,4379
Andorra,AND,1896,4407
Andorra,AND,1897,4436
Andorra,AND,1898,4464
Andorra,AND,1899,4493
Andorra,AND,1900,4522
Andorra,AND,1901,4551
Andorra,AND,1902,4581
Andorra,AND,1903,4610
Andorra,AND,1904,4640
Andorra,AND,1905,4670
Andorra,AND,1906,4700
Andorra,AND,1907,4730
Andorra,AND,1908,4761
Andorra,AND,1909,4802
Andorra,AND,1910,4855
Andorra,AND,1911,4920
Andorra,AND,1912,4996
Andorra,AND,1913,5085
Andorra,AND,1914,5176
Andorra,AND,1915,5268
Andorra,AND,1916,5361
Andorra,AND,1917,5456
Andorra,AND,1918,5557
Andorra,AND,1919,5617
Andorra,AND,1920,5637
Andorra,AND,1921,5617
Andorra,AND,1922,5557
Andorra,AND,1923,5456
Andorra,AND,1924,5358
Andorra,AND,1925,5261
Andorra,AND,1926,5166
Andorra,AND,1927,5073
Andorra,AND,1928,4981
Andorra,AND,1929,4919
Andorra,AND,1930,4885
Andorra,AND,1931,4880
Andorra,AND,1932,4904
Andorra,AND,1933,4956
Andorra,AND,1934,5009
Andorra,AND,1935,5062
Andorra,AND,1936,5116
Andorra,AND,1937,5170
Andorra,AND,1938,5225
Andorra,AND,1939,5280
Andorra,AND,1940,5337
Andorra,AND,1941,5393
Andorra,AND,1942,5450
Andorra,AND,1943,5508
Andorra,AND,1944,5567
Andorra,AND,1945,5626
Andorra,AND,1946,5686
Andorra,AND,1947,5746
Andorra,AND,1948,5807
Andorra,AND,1949,5893
Andorra,AND,1950,6028
Andorra,AND,1951,5848
Andorra,AND,1952,5475
Andorra,AND,1953,5335
Andorra,AND,1954,5590
Andorra,AND,1955,6139
Andorra,AND,1956,6730
Andorra,AND,1957,7353
Andorra,AND,1958,8020
Andorra,AND,1959,8723
Andorra,AND,1960,9473
Andorra,AND,1961,10238
Andorra,AND,1962,11037
Andorra,AND,1963,11865
Andorra,AND,1964,12718
Andorra,AND,1965,13585
Andorra,AND,1966,14569
Andorra,AND,1967,15768
Andorra,AND,1968,17103
Andorra,AND,1969,18471
Andorra,AND,1970,19885
Andorra,AND,1971,21346
Andorra,AND,1972,22855
Andorra,AND,1973,24413
Andorra,AND,1974,26025
Andorra,AND,1975,27664
Andorra,AND,1976,29314
Andorra,AND,1977,30971
Andorra,AND,1978,32597
Andorra,AND,1979,34167
Andorra,AND,1980,35639
Andorra,AND,1981,37008
Andorra,AND,1982,38617
Andorra,AND,1983,40456
Andorra,AND,1984,42202
Andorra,AND,1985,43834
Andorra,AND,1986,45625
Andorra,AND,1987,47659
Andorra,AND,1988,49680
Andorra,AND,1989,51661
Andorra,AND,1990,53590
Andorra,AND,1991,55455
Andorra,AND,1992,57305
Andorra,AND,1993,59177
Andorra,AND,1994,61057
Andorra,AND,1995,62944
Andorra,AND,1996,64166
Andorra,AND,1997,64702
Andorra,AND,1998,65204
Andorra,AND,1999,65675
Andorra,AND,2000,66116
Andorra,AND,2001,67841
Andorra,AND,2002,70868
Andorra,AND,2003,73929
Andorra,AND,2004,76950
Andorra,AND,2005,79845
Andorra,AND,2006,80241
Andorra,AND,2007,78187
Andorra,AND,2008,76073
Andorra,AND,2009,73879
Andorra,AND,2010,71542
Andorra,AND,2011,70587
Andorra,AND,2012,71035
Andorra,AND,2013,71385
Andorra,AND,2014,71644
Andorra,AND,2015,71766
Andorra,AND,2016,72563
Andorra,AND,2017,73853
