Entity,Code,Year,Population
Armenia,ARM,100,48122
Armenia,ARM,200,51560
Armenia,ARM,300,55243
Armenia,ARM,400,59189
Armenia,ARM,500,63416
Armenia,ARM,600,67946
Armenia,ARM,700,72799
Armenia,ARM,800,78000
Armenia,ARM,900,82500
Armenia,ARM,1000,86999
Armenia,ARM,1100,130500
Armenia,ARM,1200,174000
Armenia,ARM,1300,218000
Armenia,ARM,1400,174000
Armenia,ARM,1500,218000
Armenia,ARM,1600,260999
Armenia,ARM,1700,308704
Armenia,ARM,1710,324951
Armenia,ARM,1720,342054
Armenia,ARM,1730,360057
Armenia,ARM,1740,379008
Armenia,ARM,1750,398956
Armenia,ARM,1760,419953
Armenia,ARM,1770,442056
Armenia,ARM,1780,465322
Armenia,ARM,1790,489813
Armenia,ARM,1800,413326
Armenia,ARM,1801,413326
Armenia,ARM,1802,413326
Armenia,ARM,1803,413326
Armenia,ARM,1804,413326
Armenia,ARM,1805,413326
Armenia,ARM,1806,413326
Armenia,ARM,1807,413326
Armenia,ARM,1808,413326
Armenia,ARM,1809,413326
Armenia,ARM,1810,413326
Armenia,ARM,1811,413326
Armenia,ARM,1812,413326
Armenia,ARM,1813,413326
Armenia,ARM,1814,413326
Armenia,ARM,1815,413326
Armenia,ARM,1816,413326
Armenia,ARM,1817,413326
Armenia,ARM,1818,413326
Armenia,ARM,1819,414085
Armenia,ARM,1820,415609
Armenia,ARM,1821,417905
Armenia,ARM,1822,420982
Armenia,ARM,1823,424845
Armenia,ARM,1824,428744
Armenia,ARM,1825,432678
Armenia,ARM,1826,436649
Armenia,ARM,1827,440655
Armenia,ARM,1828,444699
Armenia,ARM,1829,448780
Armenia,ARM,1830,452898
Armenia,ARM,1831,457054
Armenia,ARM,1832,461249
Armenia,ARM,1833,465481
Armenia,ARM,1834,469753
Armenia,ARM,1835,474064
Armenia,ARM,1836,478414
Armenia,ARM,1837,482804
Armenia,ARM,1838,487235
Armenia,ARM,1839,491706
Armenia,ARM,1840,496218
Armenia,ARM,1841,500772
Armenia,ARM,1842,505367
Armenia,ARM,1843,510004
Armenia,ARM,1844,514685
Armenia,ARM,1845,519408
Armenia,ARM,1846,524174
Armenia,ARM,1847,528984
Armenia,ARM,1848,533838
Armenia,ARM,1849,538737
Armenia,ARM,1850,543681
Armenia,ARM,1851,548732
Armenia,ARM,1852,553829
Armenia,ARM,1853,558974
Armenia,ARM,1854,564166
Armenia,ARM,1855,569407
Armenia,ARM,1856,574697
Armenia,ARM,1857,580035
Armenia,ARM,1858,585423
Armenia,ARM,1859,590862
Armenia,ARM,1860,596350
Armenia,ARM,1861,601890
Armenia,ARM,1862,607481
Armenia,ARM,1863,613124
Armenia,ARM,1864,618820
Armenia,ARM,1865,624568
Armenia,ARM,1866,630370
Armenia,ARM,1867,636226
Armenia,ARM,1868,642136
Armenia,ARM,1869,648101
Armenia,ARM,1870,654121
Armenia,ARM,1871,660197
Armenia,ARM,1872,666330
Armenia,ARM,1873,672520
Armenia,ARM,1874,678767
Armenia,ARM,1875,685072
Armenia,ARM,1876,691436
Armenia,ARM,1877,697859
Armenia,ARM,1878,704341
Armenia,ARM,1879,710884
Armenia,ARM,1880,717487
Armenia,ARM,1881,724152
Armenia,ARM,1882,730879
Armenia,ARM,1883,737668
Armenia,ARM,1884,744520
Armenia,ARM,1885,751436
Armenia,ARM,1886,758416
Armenia,ARM,1887,765461
Armenia,ARM,1888,772572
Armenia,ARM,1889,779748
Armenia,ARM,1890,786991
Armenia,ARM,1891,794301
Armenia,ARM,1892,801680
Armenia,ARM,1893,809126
Armenia,ARM,1894,816642
Armenia,ARM,1895,824228
Armenia,ARM,1896,831884
Armenia,ARM,1897,839612
Armenia,ARM,1898,847411
Armenia,ARM,1899,855282
Armenia,ARM,1900,863227
Armenia,ARM,1901,871245
Armenia,ARM,1902,879338
Armenia,ARM,1903,887506
Armenia,ARM,1904,895750
Armenia,ARM,1905,904070
Armenia,ARM,1906,912468
Armenia,ARM,1907,920944
Armenia,ARM,1908,929498
Armenia,ARM,1909,938132
Armenia,ARM,1910,946846
Armenia,ARM,1911,955641
Armenia,ARM,1912,964518
Armenia,ARM,1913,973477
Armenia,ARM,1914,982519
Armenia,ARM,1915,991645
Armenia,ARM,1916,1000857
Armenia,ARM,1917,1010153
Armenia,ARM,1918,1019423
Armenia,ARM,1919,1028778
Armenia,ARM,1920,1038218
Armenia,ARM,1921,1047746
Armenia,ARM,1922,1057361
Armenia,ARM,1923,1067063
Armenia,ARM,1924,1076856
Armenia,ARM,1925,1086737
Armenia,ARM,1926,1096710
Armenia,ARM,1927,1106774
Armenia,ARM,1928,1116930
Armenia,ARM,1929,1127180
Armenia,ARM,1930,1137524
Armenia,ARM,1931,1147962
Armenia,ARM,1932,1158497
Armenia,ARM,1933,1169128
Armenia,ARM,1934,1179856
