Entity,Code,Year,Population
Belarus,BLR,100,108000
Belarus,BLR,200,120000
Belarus,BLR,300,132000
Belarus,BLR,400,143999
Belarus,BLR,500,143999
Belarus,BLR,600,143999
Belarus,BLR,700,155999
Belarus,BLR,800,168000
Belarus,BLR,900,179999
Belarus,BLR,1000,191999
Belarus,BLR,1100,287999
Belarus,BLR,1200,432000
Belarus,BLR,1300,432000
Belarus,BLR,1400,432000
Belarus,BLR,1500,575999
Belarus,BLR,1600,719999
Belarus,BLR,1700,960000
Belarus,BLR,1710,1134309
Belarus,BLR,1720,1228834
Belarus,BLR,1730,1331236
Belarus,BLR,1740,1442175
Belarus,BLR,1750,1562353
Belarus,BLR,1760,1692550
Belarus,BLR,1770,1833595
Belarus,BLR,1780,1986393
Belarus,BLR,1790,2151928
Belarus,BLR,1800,2355081
Belarus,BLR,1801,2355081
Belarus,BLR,1802,2355081
Belarus,BLR,1803,2355081
Belarus,BLR,1804,2355081
Belarus,BLR,1805,2355081
Belarus,BLR,1806,2355081
Belarus,BLR,1807,2355081
Belarus,BLR,1808,2355081
Belarus,BLR,1809,2355081
Belarus,BLR,1810,2355081
Belarus,BLR,1811,2355081
Belarus,BLR,1812,2355081
Belarus,BLR,1813,2355081
Belarus,BLR,1814,2355081
Belarus,BLR,1815,2355081
Belarus,BLR,1816,2355081
Belarus,BLR,1817,2355081
Belarus,BLR,1818,2355081
Belarus,BLR,1819,2359403
Belarus,BLR,1820,2368088
Belarus,BLR,1821,2381174
Belarus,BLR,1822,2398703
Belarus,BLR,1823,2420715
Belarus,BLR,1824,2442929
Belarus,BLR,1825,2465346
Belarus,BLR,1826,2487970
Belarus,BLR,1827,2510801
Belarus,BLR,1828,2533842
Belarus,BLR,1829,2557094
Belarus,BLR,1830,2580559
Belarus,BLR,1831,2604240
Belarus,BLR,1832,2628138
Belarus,BLR,1833,2652255
Belarus,BLR,1834,2676594
Belarus,BLR,1835,2701156
Belarus,BLR,1836,2725944
Belarus,BLR,1837,2750959
Belarus,BLR,1838,2776203
Belarus,BLR,1839,2801679
Belarus,BLR,1840,2827389
Belarus,BLR,1841,2853335
Belarus,BLR,1842,2879519
Belarus,BLR,1843,2905943
Belarus,BLR,1844,2932610
Belarus,BLR,1845,2959521
Belarus,BLR,1846,2986679
Belarus,BLR,1847,3014087
Belarus,BLR,1848,3041746
Belarus,BLR,1849,3069659
Belarus,BLR,1850,3097828
Belarus,BLR,1851,3127470
Belarus,BLR,1852,3157395
Belarus,BLR,1853,3187606
Belarus,BLR,1854,3218106
Belarus,BLR,1855,3248897
Belarus,BLR,1856,3279982
Belarus,BLR,1857,3311364
Belarus,BLR,1858,3343046
Belarus,BLR,1859,3375031
Belarus,BLR,1860,3407320
Belarus,BLR,1861,3439919
Belarus,BLR,1862,3472828
Belarus,BLR,1863,3506052
Belarus,BLR,1864,3539594
Belarus,BLR,1865,3573455
Belarus,BLR,1866,3607640
Belarus,BLR,1867,3642152
Belarus,BLR,1868,3676993
Belarus,BLR,1869,3712167
Belarus,BLR,1870,3747677
Belarus,BLR,1871,3783526
Belarus,BLR,1872,3819717
Belarus,BLR,1873,3856254
Belarus,BLR,1874,3893140
Belarus,BLR,1875,3930378
Belarus,BLR,1876,3967971
Belarus,BLR,1877,4005924
Belarus,BLR,1878,4044239
Belarus,BLR,1879,4082920
Belarus,BLR,1880,4121970
Belarus,BLR,1881,4161393
Belarus,BLR,1882,4201193
Belarus,BLR,1883,4241372
Belarus,BLR,1884,4281935
Belarus,BLR,1885,4322886
Belarus,BLR,1886,4364227
Belarus,BLR,1887,4405964
Belarus,BLR,1888,4448098
Belarus,BLR,1889,4490635
Belarus,BLR,1890,4533578
Belarus,BLR,1891,4576931
Belarus,BLR,1892,4620698
Belarus,BLR,1893,4664883
Belarus,BLR,1894,4709490
Belarus,BLR,1895,4754522
Belarus,BLR,1896,4799985
Belarus,BLR,1897,4845881
