Entity,Code,Year,Population
Bulgaria,BGR,100,650000
Bulgaria,BGR,200,800000
Bulgaria,BGR,300,725000
Bulgaria,BGR,400,650000
Bulgaria,BGR,500,574999
Bulgaria,BGR,600,500000
Bulgaria,BGR,700,500000
Bulgaria,BGR,800,500000
Bulgaria,BGR,900,650000
Bulgaria,BGR,1000,800000
Bulgaria,BGR,1100,869999
Bulgaria,BGR,1200,930000
Bulgaria,BGR,1300,1000000
Bulgaria,BGR,1400,549999
Bulgaria,BGR,1500,800000
Bulgaria,BGR,1600,1250000
Bulgaria,BGR,1700,1250000
Bulgaria,BGR,1710,1292382
Bulgaria,BGR,1720,1353923
Bulgaria,BGR,1730,1418395
Bulgaria,BGR,1740,1485938
Bulgaria,BGR,1750,1556698
Bulgaria,BGR,1760,1630826
Bulgaria,BGR,1770,1708484
Bulgaria,BGR,1780,1789838
Bulgaria,BGR,1790,1875070
Bulgaria,BGR,1800,2250000
Bulgaria,BGR,1801,2246807
Bulgaria,BGR,1802,2243619
Bulgaria,BGR,1803,2240436
Bulgaria,BGR,1804,2237256
Bulgaria,BGR,1805,2234082
Bulgaria,BGR,1806,2230912
Bulgaria,BGR,1807,2227746
Bulgaria,BGR,1808,2224585
Bulgaria,BGR,1809,2221428
Bulgaria,BGR,1810,2218281
Bulgaria,BGR,1811,2215133
Bulgaria,BGR,1812,2211990
Bulgaria,BGR,1813,2208851
Bulgaria,BGR,1814,2205717
Bulgaria,BGR,1815,2202587
Bulgaria,BGR,1816,2199462
Bulgaria,BGR,1817,2196341
Bulgaria,BGR,1818,2193224
Bulgaria,BGR,1819,2192687
Bulgaria,BGR,1820,2194738
Bulgaria,BGR,1821,2199384
Bulgaria,BGR,1822,2206633
Bulgaria,BGR,1823,2216494
Bulgaria,BGR,1824,2226399
Bulgaria,BGR,1825,2236347
Bulgaria,BGR,1826,2246341
Bulgaria,BGR,1827,2256379
Bulgaria,BGR,1828,2266462
Bulgaria,BGR,1829,2276590
Bulgaria,BGR,1830,2286763
Bulgaria,BGR,1831,2296982
Bulgaria,BGR,1832,2307246
Bulgaria,BGR,1833,2317556
Bulgaria,BGR,1834,2327913
Bulgaria,BGR,1835,2338315
Bulgaria,BGR,1836,2348764
Bulgaria,BGR,1837,2359260
Bulgaria,BGR,1838,2369802
Bulgaria,BGR,1839,2380392
Bulgaria,BGR,1840,2391029
Bulgaria,BGR,1841,2401714
Bulgaria,BGR,1842,2412446
Bulgaria,BGR,1843,2423227
Bulgaria,BGR,1844,2434055
Bulgaria,BGR,1845,2444932
Bulgaria,BGR,1846,2455857
Bulgaria,BGR,1847,2466832
Bulgaria,BGR,1848,2477855
Bulgaria,BGR,1849,2487540
Bulgaria,BGR,1850,2495877
Bulgaria,BGR,1851,2502383
Bulgaria,BGR,1852,2507523
Bulgaria,BGR,1853,2511290
Bulgaria,BGR,1854,2515062
Bulgaria,BGR,1855,2518839
Bulgaria,BGR,1856,2522622
Bulgaria,BGR,1857,2526411
Bulgaria,BGR,1858,2530206
Bulgaria,BGR,1859,2534005
Bulgaria,BGR,1860,2537811
Bulgaria,BGR,1861,2541622
Bulgaria,BGR,1862,2545439
Bulgaria,BGR,1863,2549261
Bulgaria,BGR,1864,2553090
Bulgaria,BGR,1865,2556923
Bulgaria,BGR,1866,2560763
Bulgaria,BGR,1867,2564608
Bulgaria,BGR,1868,2568459
Bulgaria,BGR,1869,2578886
Bulgaria,BGR,1870,2595993
Bulgaria,BGR,1871,2619883
Bulgaria,BGR,1872,2650661
Bulgaria,BGR,1873,2688433
Bulgaria,BGR,1874,2726744
Bulgaria,BGR,1875,2765601
Bulgaria,BGR,1876,2805011
Bulgaria,BGR,1877,2844983
Bulgaria,BGR,1878,2885524
Bulgaria,BGR,1879,2926643
Bulgaria,BGR,1880,2968348
Bulgaria,BGR,1881,3010647
Bulgaria,BGR,1882,3053548
Bulgaria,BGR,1883,3097061
Bulgaria,BGR,1884,3141194
Bulgaria,BGR,1885,3185955
Bulgaria,BGR,1886,3231354
Bulgaria,BGR,1887,3277401
Bulgaria,BGR,1888,3324103
Bulgaria,BGR,1889,3371884
Bulgaria,BGR,1890,3420766
Bulgaria,BGR,1891,3470771
Bulgaria,BGR,1892,3521920
Bulgaria,BGR,1893,3574237
Bulgaria,BGR,1894,3627331
Bulgaria,BGR,1895,3681214
Bulgaria,BGR,1896,3735897
Bulgaria,BGR,1897,3791392
Bulgaria,BGR,1898,3847711
Bulgaria,BGR,1899,3902685
Bulgaria,BGR,1900,3956269
Bulgaria,BGR,1901,4008414
Bulgaria,BGR,1902,4059074
Bulgaria,BGR,1903,4108198
Bulgaria,BGR,1904,4157917
Bulgaria,BGR,1905,4208238
Bulgaria,BGR,1906,4259167
Bulgaria,BGR,1907,4310713
Bulgaria,BGR,1908,4362882
Bulgaria,BGR,1909,4415050
Bulgaria,BGR,1910,4467209
Bulgaria,BGR,1911,4519353
Bulgaria,BGR,1912,4571473
Bulgaria,BGR,1913,4623562
Bulgaria,BGR,1914,4676245
Bulgaria,BGR,1915,4729527
Bulgaria,BGR,1916,4783417
Bulgaria,BGR,1917,4837920
Bulgaria,BGR,1918,4893987
Bulgaria,BGR,1919,4956524
Bulgaria,BGR,1920,5025707
Bulgaria,BGR,1921,5101718
Bulgaria,BGR,1922,5184739
Bulgaria,BGR,1923,5274959
Bulgaria,BGR,1924,5366749
Bulgaria,BGR,1925,5460137
Bulgaria,BGR,1926,5555149
Bulgaria,BGR,1927,5651814
Bulgaria,BGR,1928,5750162
Bulgaria,BGR,1929,5841566
Bulgaria,BGR,1930,5925817
Bulgaria,BGR,1931,6002703
Bulgaria,BGR,1932,6072006
Bulgaria,BGR,1933,6133503
Bulgaria,BGR,1934,6195623
Bulgaria,BGR,1935,6258372
Bulgaria,BGR,1936,6321757
Bulgaria,BGR,1937,6385784
Bulgaria,BGR,1938,6450459
Bulgaria,BGR,1939,6513568
Bulgaria,BGR,1940,6575077
Bulgaria,BGR,1941,6634949
Bulgaria,BGR,1942,6693150
Bulgaria,BGR,1943,6749643
Bulgaria,BGR,1944,6806614
Bulgaria,BGR,1945,6864065
Bulgaria,BGR,1946,6922000
Bulgaria,BGR,1947,6980425
Bulgaria,BGR,1948,7039343
Bulgaria,BGR,1949,7098413
Bulgaria,BGR,1950,7157630
Bulgaria,BGR,1951,7228735
Bulgaria,BGR,1952,7293469
Bulgaria,BGR,1953,7362716
Bulgaria,BGR,1954,7439592
Bulgaria,BGR,1955,7517927
Bulgaria,BGR,1956,7596099
Bulgaria,BGR,1957,7672064
Bulgaria,BGR,1958,7749341
Bulgaria,BGR,1959,7820755
Bulgaria,BGR,1960,7891763
Bulgaria,BGR,1961,7969343
Bulgaria,BGR,1962,8040771
Bulgaria,BGR,1963,8108150
Bulgaria,BGR,1964,8177724
Bulgaria,BGR,1965,8245080
Bulgaria,BGR,1966,8308898
Bulgaria,BGR,1967,8369839
Bulgaria,BGR,1968,8438287
Bulgaria,BGR,1969,8512917
Bulgaria,BGR,1970,8582960
Bulgaria,BGR,1971,8646261
Bulgaria,BGR,1972,8700151
Bulgaria,BGR,1973,8753492
Bulgaria,BGR,1974,8810681
Bulgaria,BGR,1975,8860971
Bulgaria,BGR,1976,8902475
Bulgaria,BGR,1977,8935448
Bulgaria,BGR,1978,8958270
Bulgaria,BGR,1979,8974434
Bulgaria,BGR,1980,8980602
Bulgaria,BGR,1981,8978415
Bulgaria,BGR,1982,8970487
Bulgaria,BGR,1983,8956441
Bulgaria,BGR,1984,8939492
Bulgaria,BGR,1985,8917080
Bulgaria,BGR,1986,8892099
Bulgaria,BGR,1987,8865756
Bulgaria,BGR,1988,8835822
Bulgaria,BGR,1989,8804436
Bulgaria,BGR,1990,8767778
Bulgaria,BGR,1991,8721659
Bulgaria,BGR,1992,8668545
Bulgaria,BGR,1993,8611541
Bulgaria,BGR,1994,8548469
Bulgaria,BGR,1995,8477584
Bulgaria,BGR,1996,8401382
