Entity,Code,Year,Population
Cyprus,CYP,100,157749
Cyprus,CYP,200,163188
Cyprus,CYP,300,168816
Cyprus,CYP,400,174637
Cyprus,CYP,500,180659
Cyprus,CYP,600,186889
Cyprus,CYP,700,193333
Cyprus,CYP,800,200000
Cyprus,CYP,900,175000
Cyprus,CYP,1000,150000
Cyprus,CYP,1100,150000
Cyprus,CYP,1200,170000
Cyprus,CYP,1300,200000
Cyprus,CYP,1400,150000
Cyprus,CYP,1500,200000
Cyprus,CYP,1600,120000
Cyprus,CYP,1700,110000
Cyprus,CYP,1710,110000
Cyprus,CYP,1720,110000
Cyprus,CYP,1730,110000
Cyprus,CYP,1740,110000
Cyprus,CYP,1750,110000
Cyprus,CYP,1760,110000
Cyprus,CYP,1770,110000
Cyprus,CYP,1780,110000
Cyprus,CYP,1790,110000
Cyprus,CYP,1800,184392
Cyprus,CYP,1801,184412
Cyprus,CYP,1802,184432
Cyprus,CYP,1803,184452
Cyprus,CYP,1804,184472
Cyprus,CYP,1805,184492
Cyprus,CYP,1806,184512
Cyprus,CYP,1807,184532
Cyprus,CYP,1808,184552
Cyprus,CYP,1809,184572
Cyprus,CYP,1810,184592
Cyprus,CYP,1811,184612
Cyprus,CYP,1812,184632
Cyprus,CYP,1813,184652
Cyprus,CYP,1814,184672
Cyprus,CYP,1815,184692
Cyprus,CYP,1816,184712
Cyprus,CYP,1817,184733
Cyprus,CYP,1818,184753
Cyprus,CYP,1819,184773
Cyprus,CYP,1820,184793
Cyprus,CYP,1821,184813
Cyprus,CYP,1822,184833
Cyprus,CYP,1823,184853
Cyprus,CYP,1824,184873
Cyprus,CYP,1825,184893
Cyprus,CYP,1826,184913
Cyprus,CYP,1827,184933
Cyprus,CYP,1828,184953
Cyprus,CYP,1829,184973
Cyprus,CYP,1830,184993
Cyprus,CYP,1831,185013
Cyprus,CYP,1832,185034
Cyprus,CYP,1833,185054
Cyprus,CYP,1834,185074
Cyprus,CYP,1835,185094
Cyprus,CYP,1836,185114
Cyprus,CYP,1837,185134
Cyprus,CYP,1838,185154
Cyprus,CYP,1839,185174
Cyprus,CYP,1840,185194
Cyprus,CYP,1841,185214
Cyprus,CYP,1842,185234
Cyprus,CYP,1843,185255
Cyprus,CYP,1844,185275
Cyprus,CYP,1845,185295
Cyprus,CYP,1846,185315
Cyprus,CYP,1847,185335
Cyprus,CYP,1848,185355
Cyprus,CYP,1849,185375
Cyprus,CYP,1850,185395
Cyprus,CYP,1851,185406
Cyprus,CYP,1852,185416
Cyprus,CYP,1853,185426
Cyprus,CYP,1854,185437
Cyprus,CYP,1855,185447
Cyprus,CYP,1856,185457
Cyprus,CYP,1857,185468
Cyprus,CYP,1858,185478
Cyprus,CYP,1859,185488
Cyprus,CYP,1860,185499
Cyprus,CYP,1861,185509
Cyprus,CYP,1862,185519
Cyprus,CYP,1863,185530
Cyprus,CYP,1864,185540
Cyprus,CYP,1865,185550
Cyprus,CYP,1866,185561
Cyprus,CYP,1867,185571
Cyprus,CYP,1868,185582
Cyprus,CYP,1869,185592
Cyprus,CYP,1870,185602
Cyprus,CYP,1871,185613
Cyprus,CYP,1872,185623
Cyprus,CYP,1873,185633
Cyprus,CYP,1874,185644
Cyprus,CYP,1875,185654
Cyprus,CYP,1876,185664
Cyprus,CYP,1877,185675
Cyprus,CYP,1878,185685
Cyprus,CYP,1879,186127
Cyprus,CYP,1880,187005
Cyprus,CYP,1881,188325
Cyprus,CYP,1882,190092
Cyprus,CYP,1883,192311
Cyprus,CYP,1884,194556
Cyprus,CYP,1885,196828
Cyprus,CYP,1886,199125
Cyprus,CYP,1887,201450
Cyprus,CYP,1888,203801
Cyprus,CYP,1889,206219
Cyprus,CYP,1890,208704
Cyprus,CYP,1891,211257
Cyprus,CYP,1892,213881
Cyprus,CYP,1893,216575
Cyprus,CYP,1894,219304
Cyprus,CYP,1895,222067
Cyprus,CYP,1896,224864
Cyprus,CYP,1897,227697
Cyprus,CYP,1898,230566
Cyprus,CYP,1899,233564
Cyprus,CYP,1900,236693
Cyprus,CYP,1901,239957
Cyprus,CYP,1902,243359
Cyprus,CYP,1903,246902
Cyprus,CYP,1904,250496
Cyprus,CYP,1905,254143
Cyprus,CYP,1906,257843
Cyprus,CYP,1907,261597
Cyprus,CYP,1908,265406
Cyprus,CYP,1909,269168
Cyprus,CYP,1910,272882
Cyprus,CYP,1911,276545
Cyprus,CYP,1912,280156
Cyprus,CYP,1913,283712
Cyprus,CYP,1914,287313
Cyprus,CYP,1915,290960
Cyprus,CYP,1916,294653
Cyprus,CYP,1917,298393
Cyprus,CYP,1918,302197
Cyprus,CYP,1919,305960
Cyprus,CYP,1920,309680
Cyprus,CYP,1921,313356
Cyprus,CYP,1922,316987
Cyprus,CYP,1923,320570
Cyprus,CYP,1924,324194
Cyprus,CYP,1925,327859
Cyprus,CYP,1926,331565
Cyprus,CYP,1927,335313
Cyprus,CYP,1928,339104
Cyprus,CYP,1929,343959
Cyprus,CYP,1930,349917
Cyprus,CYP,1931,357019
Cyprus,CYP,1932,365304
Cyprus,CYP,1933,374816
Cyprus,CYP,1934,384575
Cyprus,CYP,1935,394589
Cyprus,CYP,1936,404863
Cyprus,CYP,1937,415405
Cyprus,CYP,1938,426221
Cyprus,CYP,1939,435824
Cyprus,CYP,1940,444169
Cyprus,CYP,1941,451208
Cyprus,CYP,1942,456894
Cyprus,CYP,1943,461176
Cyprus,CYP,1944,465498
Cyprus,CYP,1945,469861
Cyprus,CYP,1946,474265
Cyprus,CYP,1947,478710
Cyprus,CYP,1948,483197
Cyprus,CYP,1949,488274
Cyprus,CYP,1950,493969
Cyprus,CYP,1951,501289
Cyprus,CYP,1952,508981
Cyprus,CYP,1953,517026
Cyprus,CYP,1954,525406
Cyprus,CYP,1955,534130
Cyprus,CYP,1956,543259
Cyprus,CYP,1957,552890
Cyprus,CYP,1958,563159
Cyprus,CYP,1959,574163
Cyprus,CYP,1960,585727
Cyprus,CYP,1961,594777
Cyprus,CYP,1962,601109
Cyprus,CYP,1963,607079
Cyprus,CYP,1964,612349
Cyprus,CYP,1965,617353
Cyprus,CYP,1966,622575
Cyprus,CYP,1967,627698
Cyprus,CYP,1968,632456
Cyprus,CYP,1969,636830
Cyprus,CYP,1970,640804
Cyprus,CYP,1971,644416
Cyprus,CYP,1972,647632
Cyprus,CYP,1973,650706
Cyprus,CYP,1974,648594
Cyprus,CYP,1975,644990
Cyprus,CYP,1976,648876
Cyprus,CYP,1977,656421
Cyprus,CYP,1978,663977
Cyprus,CYP,1979,671622
Cyprus,CYP,1980,679336
Cyprus,CYP,1981,687179
Cyprus,CYP,1982,696237
Cyprus,CYP,1983,707484
Cyprus,CYP,1984,719687
Cyprus,CYP,1985,731670
Cyprus,CYP,1986,743451
Cyprus,CYP,1987,755031
Cyprus,CYP,1988,766417
Cyprus,CYP,1989,777599
Cyprus,CYP,1990,788501
Cyprus,CYP,1991,799067
Cyprus,CYP,1992,810435
Cyprus,CYP,1993,825993
Cyprus,CYP,1994,844452
Cyprus,CYP,1995,862419
Cyprus,CYP,1996,880064
Cyprus,CYP,1997,897476
Cyprus,CYP,1998,914667
Cyprus,CYP,1999,931612
Cyprus,CYP,2000,948238
Cyprus,CYP,2001,964838
Cyprus,CYP,2002,982202
Cyprus,CYP,2003,1000355
Cyprus,CYP,2004,1018688
Cyprus,CYP,2005,1037070
Cyprus,CYP,2006,1055445
Cyprus,CYP,2007,1073875
Cyprus,CYP,2008,1092402
Cyprus,CYP,2009,1110979
Cyprus,CYP,2010,1129693
Cyprus,CYP,2011,1145090
Cyprus,CYP,2012,1156556
Cyprus,CYP,2013,1166972
Cyprus,CYP,2014,1176997
Cyprus,CYP,2015,1187286
Cyprus,CYP,2016,1197889
Cyprus,CYP,2017,1208527
Cyprus,CYP,2018,1218834
Cyprus,CYP,2019,1228840
Cyprus,CYP,2020,1237540
Cyprus,CYP,2021,1244193
