Entity,Code,Year,Population
Czechia,CZE,100,714975
Czechia,CZE,200,715690
Czechia,CZE,300,716407
Czechia,CZE,400,717125
Czechia,CZE,500,717842
Czechia,CZE,600,718561
Czechia,CZE,700,719280
Czechia,CZE,800,719999
Czechia,CZE,900,809999
Czechia,CZE,1000,899999
Czechia,CZE,1100,1080000
Czechia,CZE,1200,1439998
Czechia,CZE,1300,2160000
Czechia,CZE,1400,1799999
Czechia,CZE,1500,2160000
Czechia,CZE,1600,3240000
Czechia,CZE,1700,3240000
Czechia,CZE,1710,3329544
Czechia,CZE,1720,3419096
Czechia,CZE,1730,3508641
Czechia,CZE,1740,3598185
Czechia,CZE,1750,3687734
Czechia,CZE,1760,3777280
Czechia,CZE,1770,3866824
Czechia,CZE,1780,3956368
Czechia,CZE,1790,4045917
Czechia,CZE,1800,5516349
Czechia,CZE,1801,5516349
Czechia,CZE,1802,5516349
Czechia,CZE,1803,5516349
Czechia,CZE,1804,5516349
Czechia,CZE,1805,5516349
Czechia,CZE,1806,5516349
Czechia,CZE,1807,5516349
Czechia,CZE,1808,5516349
Czechia,CZE,1809,5516349
Czechia,CZE,1810,5516349
Czechia,CZE,1811,5516349
Czechia,CZE,1812,5516349
Czechia,CZE,1813,5516349
Czechia,CZE,1814,5516349
Czechia,CZE,1815,5516349
Czechia,CZE,1816,5516349
Czechia,CZE,1817,5516349
Czechia,CZE,1818,5516349
Czechia,CZE,1819,5520440
Czechia,CZE,1820,5528637
Czechia,CZE,1821,5540956
Czechia,CZE,1822,5557411
Czechia,CZE,1823,5578018
Czechia,CZE,1824,5598701
Czechia,CZE,1825,5623145
Czechia,CZE,1826,5695961
Czechia,CZE,1827,5769720
Czechia,CZE,1828,5844434
Czechia,CZE,1829,5920116
Czechia,CZE,1830,5996778
Czechia,CZE,1831,6033858
Czechia,CZE,1832,6071168
Czechia,CZE,1833,6108708
Czechia,CZE,1834,6146481
Czechia,CZE,1835,6184487
Czechia,CZE,1836,6222728
Czechia,CZE,1837,6261205
Czechia,CZE,1838,6299921
Czechia,CZE,1839,6338875
Czechia,CZE,1840,6378071
Czechia,CZE,1841,6421552
Czechia,CZE,1842,6465329
Czechia,CZE,1843,6509405
Czechia,CZE,1844,6553781
Czechia,CZE,1845,6598460
Czechia,CZE,1846,6643444
Czechia,CZE,1847,6688734
Czechia,CZE,1848,6734333
Czechia,CZE,1849,6780242
Czechia,CZE,1850,6826465
Czechia,CZE,1851,6870309
Czechia,CZE,1852,6914435
Czechia,CZE,1853,6958845
Czechia,CZE,1854,7003540
Czechia,CZE,1855,7048521
Czechia,CZE,1856,7093792
Czechia,CZE,1857,7139353
Czechia,CZE,1858,7185208
Czechia,CZE,1859,7231356
Czechia,CZE,1860,7277801
Czechia,CZE,1861,7318846
Czechia,CZE,1862,7360123
Czechia,CZE,1863,7401633
Czechia,CZE,1864,7443377
Czechia,CZE,1865,7485356
Czechia,CZE,1866,7527572
Czechia,CZE,1867,7570026
Czechia,CZE,1868,7612719
Czechia,CZE,1869,7655654
Czechia,CZE,1870,7698830
Czechia,CZE,1871,7747227
Czechia,CZE,1872,7795928
Czechia,CZE,1873,7844935
Czechia,CZE,1874,7894250
Czechia,CZE,1875,7943875
Czechia,CZE,1876,7993812
Czechia,CZE,1877,8044063
Czechia,CZE,1878,8094630
Czechia,CZE,1879,8145514
Czechia,CZE,1880,8196719
Czechia,CZE,1881,8246023
Czechia,CZE,1882,8295623
Czechia,CZE,1883,8345522
Czechia,CZE,1884,8395720
Czechia,CZE,1885,8446221
Czechia,CZE,1886,8497026
Czechia,CZE,1887,8548136
Czechia,CZE,1888,8599553
Czechia,CZE,1889,8651280
Czechia,CZE,1890,8703318
Czechia,CZE,1891,8764419
Czechia,CZE,1892,8825950
Czechia,CZE,1893,8887912
Czechia,CZE,1894,8950309
Czechia,CZE,1895,9013144
Czechia,CZE,1896,9076421
Czechia,CZE,1897,9140141
Czechia,CZE,1898,9204309
Czechia,CZE,1899,9268928
Czechia,CZE,1900,9334000
Czechia,CZE,1901,9405000
Czechia,CZE,1902,9475000
Czechia,CZE,1903,9545000
Czechia,CZE,1904,9615000
Czechia,CZE,1905,9685000
Czechia,CZE,1906,9754000
Czechia,CZE,1907,9825000
Czechia,CZE,1908,9895000
Czechia,CZE,1909,9965000
Czechia,CZE,1910,10036000
Czechia,CZE,1911,10099000
Czechia,CZE,1912,10157000
Czechia,CZE,1913,10221000
Czechia,CZE,1914,10283000
Czechia,CZE,1915,10286000
Czechia,CZE,1916,10222000
Czechia,CZE,1917,10128000
Czechia,CZE,1918,10004000
Czechia,CZE,1919,9922000
Czechia,CZE,1920,9978000
Czechia,CZE,1921,10002000
Czechia,CZE,1922,10113000
Czechia,CZE,1923,10198000
Czechia,CZE,1924,10278000
Czechia,CZE,1925,10370000
Czechia,CZE,1926,10443000
Czechia,CZE,1927,10496000
Czechia,CZE,1928,10549000
Czechia,CZE,1929,10598000
Czechia,CZE,1930,10648000
Czechia,CZE,1931,10702000
Czechia,CZE,1932,10750000
Czechia,CZE,1933,10791000
Czechia,CZE,1934,10826000
Czechia,CZE,1935,10853000
Czechia,CZE,1936,10873000
Czechia,CZE,1937,10889000
Czechia,CZE,1938,10877000
Czechia,CZE,1939,11106000
Czechia,CZE,1940,11160000
Czechia,CZE,1941,11129000
Czechia,CZE,1942,11054000
Czechia,CZE,1943,11035000
Czechia,CZE,1944,11109000
Czechia,CZE,1945,10693000
Czechia,CZE,1946,9523000
Czechia,CZE,1947,8765000
Czechia,CZE,1948,8828360
Czechia,CZE,1949,8868627
Czechia,CZE,1950,8916638
Czechia,CZE,1951,8996949
Czechia,CZE,1952,9076535
Czechia,CZE,1953,9151640
Czechia,CZE,1954,9220465
Czechia,CZE,1955,9288978
Czechia,CZE,1956,9357541
Czechia,CZE,1957,9418157
Czechia,CZE,1958,9468437
Czechia,CZE,1959,9506695
Czechia,CZE,1960,9539362
Czechia,CZE,1961,9570406
Czechia,CZE,1962,9594141
Czechia,CZE,1963,9623937
Czechia,CZE,1964,9664982
Czechia,CZE,1965,9702728
