Entity,Code,Year,Population
Denmark,DNK,100,220000
Denmark,DNK,200,240000
Denmark,DNK,300,260000
Denmark,DNK,400,279999
Denmark,DNK,500,300000
Denmark,DNK,600,320000
Denmark,DNK,700,340000
Denmark,DNK,800,360000
Denmark,DNK,900,377588
Denmark,DNK,1000,399999
Denmark,DNK,1100,466963
Denmark,DNK,1200,535422
Denmark,DNK,1300,600000
Denmark,DNK,1400,400000
Denmark,DNK,1500,599999
Denmark,DNK,1600,700000
Denmark,DNK,1700,799999
Denmark,DNK,1710,815421
Denmark,DNK,1720,831743
Denmark,DNK,1730,848860
Denmark,DNK,1740,866863
Denmark,DNK,1750,885854
Denmark,DNK,1760,920000
Denmark,DNK,1770,940000
Denmark,DNK,1780,959999
Denmark,DNK,1790,980000
Denmark,DNK,1800,1000000
Denmark,DNK,1801,1007231
Denmark,DNK,1802,1014514
Denmark,DNK,1803,1021850
Denmark,DNK,1804,1029239
Denmark,DNK,1805,1036682
Denmark,DNK,1806,1044178
Denmark,DNK,1807,1051729
Denmark,DNK,1808,1059334
Denmark,DNK,1809,1066994
Denmark,DNK,1810,1074765
Denmark,DNK,1811,1082537
Denmark,DNK,1812,1090365
Denmark,DNK,1813,1098249
Denmark,DNK,1814,1106191
Denmark,DNK,1815,1114189
Denmark,DNK,1816,1122246
Denmark,DNK,1817,1130361
Denmark,DNK,1818,1138535
Denmark,DNK,1819,1147355
Denmark,DNK,1820,1156833
Denmark,DNK,1821,1166978
Denmark,DNK,1822,1177802
Denmark,DNK,1823,1189315
Denmark,DNK,1824,1200941
Denmark,DNK,1825,1212680
Denmark,DNK,1826,1224534
Denmark,DNK,1827,1236504
Denmark,DNK,1828,1248591
Denmark,DNK,1829,1259939
Denmark,DNK,1830,1270537
Denmark,DNK,1831,1280370
Denmark,DNK,1832,1289426
Denmark,DNK,1833,1297692
Denmark,DNK,1834,1306011
Denmark,DNK,1835,1314383
Denmark,DNK,1836,1322809
Denmark,DNK,1837,1331288
Denmark,DNK,1838,1339823
Denmark,DNK,1839,1349386
Denmark,DNK,1840,1359996
Denmark,DNK,1841,1371667
Denmark,DNK,1842,1384418
Denmark,DNK,1843,1398265
Denmark,DNK,1844,1412250
Denmark,DNK,1845,1426375
Denmark,DNK,1846,1440642
Denmark,DNK,1847,1455051
Denmark,DNK,1848,1469604
Denmark,DNK,1849,1485029
Denmark,DNK,1850,1501343
Denmark,DNK,1851,1518598
Denmark,DNK,1852,1536779
Denmark,DNK,1853,1555906
Denmark,DNK,1854,1575270
Denmark,DNK,1855,1594876
Denmark,DNK,1856,1614726
Denmark,DNK,1857,1634822
Denmark,DNK,1858,1655169
Denmark,DNK,1859,1675212
Denmark,DNK,1860,1694942
Denmark,DNK,1861,1714348
Denmark,DNK,1862,1733420
Denmark,DNK,1863,1752148
Denmark,DNK,1864,1771078
Denmark,DNK,1865,1790213
Denmark,DNK,1866,1809555
Denmark,DNK,1867,1829106
Denmark,DNK,1868,1848868
Denmark,DNK,1869,1868465
Denmark,DNK,1870,1887891
Denmark,DNK,1871,1907142
Denmark,DNK,1872,1926211
Denmark,DNK,1873,1945092
Denmark,DNK,1874,1964159
Denmark,DNK,1875,1983412
Denmark,DNK,1876,2002855
Denmark,DNK,1877,2022487
Denmark,DNK,1878,2042313
Denmark,DNK,1879,2062337
Denmark,DNK,1880,2082563
Denmark,DNK,1881,2102992
Denmark,DNK,1882,2123627
Denmark,DNK,1883,2144469
Denmark,DNK,1884,2165515
Denmark,DNK,1885,2186768
Denmark,DNK,1886,2208230
Denmark,DNK,1887,2229902
Denmark,DNK,1888,2251787
Denmark,DNK,1889,2274474
Denmark,DNK,1890,2297977
Denmark,DNK,1891,2322311
Denmark,DNK,1892,2347490
Denmark,DNK,1893,2373530
Denmark,DNK,1894,2399859
Denmark,DNK,1895,2426480
Denmark,DNK,1896,2453397
Denmark,DNK,1897,2480612
Denmark,DNK,1898,2508128
Denmark,DNK,1899,2536365
Denmark,DNK,1900,2565333
Denmark,DNK,1901,2595047
Denmark,DNK,1902,2625520
Denmark,DNK,1903,2656765
Denmark,DNK,1904,2688382
Denmark,DNK,1905,2720375
Denmark,DNK,1906,2752749
Denmark,DNK,1907,2785508
Denmark,DNK,1908,2818657
Denmark,DNK,1909,2852179
Denmark,DNK,1910,2886076
Denmark,DNK,1911,2920355
Denmark,DNK,1912,2955018
Denmark,DNK,1913,2990070
Denmark,DNK,1914,3025539
Denmark,DNK,1915,3061428
Denmark,DNK,1916,3097742
Denmark,DNK,1917,3134488
Denmark,DNK,1918,3171600
Denmark,DNK,1919,3207237
Denmark,DNK,1920,3241362
Denmark,DNK,1921,3273940
Denmark,DNK,1922,3304937
Denmark,DNK,1923,3334316
Denmark,DNK,1924,3363956
Denmark,DNK,1925,3393860
Denmark,DNK,1926,3424029
Denmark,DNK,1927,3454467
Denmark,DNK,1928,3485175
Denmark,DNK,1929,3515454
Denmark,DNK,1930,3545296
Denmark,DNK,1931,3574690
Denmark,DNK,1932,3603628
Denmark,DNK,1933,3632099
Denmark,DNK,1934,3660794
Denmark,DNK,1935,3689717
Denmark,DNK,1936,3718868
Denmark,DNK,1937,3748249
Denmark,DNK,1938,3777862
Denmark,DNK,1939,3810015
Denmark,DNK,1940,3844754
Denmark,DNK,1941,3882124
Denmark,DNK,1942,3922171
Denmark,DNK,1943,3964943
Denmark,DNK,1944,4008181
Denmark,DNK,1945,4051891
Denmark,DNK,1946,4096077
Denmark,DNK,1947,4140745
Denmark,DNK,1948,4185901
Denmark,DNK,1949,4228235
Denmark,DNK,1950,4267702
Denmark,DNK,1951,4299583
Denmark,DNK,1952,4330760
Denmark,DNK,1953,4362493
Denmark,DNK,1954,4394327
Denmark,DNK,1955,4426513
Denmark,DNK,1956,4459563
Denmark,DNK,1957,4491048
Denmark,DNK,1958,4521333
Denmark,DNK,1959,4551440
Denmark,DNK,1960,4581730
Denmark,DNK,1961,4613437
Denmark,DNK,1962,4645997
Denmark,DNK,1963,4680814
Denmark,DNK,1964,4718021
Denmark,DNK,1965,4756336
Denmark,DNK,1966,4796410
Denmark,DNK,1967,4834734
Denmark,DNK,1968,4867744
Denmark,DNK,1969,4896156
Denmark,DNK,1970,4922968
Denmark,DNK,1971,4951490
Denmark,DNK,1972,4981082
Denmark,DNK,1973,5008581
Denmark,DNK,1974,5033574
Denmark,DNK,1975,5058203
Denmark,DNK,1976,5078773
Denmark,DNK,1977,5094605
Denmark,DNK,1978,5108931
Denmark,DNK,1979,5119417
Denmark,DNK,1980,5125397
Denmark,DNK,1981,5126983
Denmark,DNK,1982,5126402
Denmark,DNK,1983,5124341
Denmark,DNK,1984,5121317
Denmark,DNK,1985,5119453
Denmark,DNK,1986,5119368
Denmark,DNK,1987,5121515
Denmark,DNK,1988,5126107
Denmark,DNK,1989,5133937
Denmark,DNK,1990,5144626
Denmark,DNK,1991,5158325
Denmark,DNK,1992,5175466
Denmark,DNK,1993,5193776
Denmark,DNK,1994,5213801
Denmark,DNK,1995,5235205
Denmark,DNK,1996,5256002
Denmark,DNK,1997,5277385
Denmark,DNK,1998,5298991
Denmark,DNK,1999,5319856
Denmark,DNK,2000,5340662
Denmark,DNK,2001,5360753
Denmark,DNK,2002,5378700
Denmark,DNK,2003,5396355
Denmark,DNK,2004,5415583
Denmark,DNK,2005,5436314
Denmark,DNK,2006,5457863
Denmark,DNK,2007,5479722
Denmark,DNK,2008,5502752
Denmark,DNK,2009,5526455
Denmark,DNK,2010,5550850
Denmark,DNK,2011,5576016
Denmark,DNK,2012,5600955
Denmark,DNK,2013,5625393
Denmark,DNK,2014,5650654
Denmark,DNK,2015,5677795
Denmark,DNK,2016,5706856
