Entity,Code,Year,Population
Estonia,EST,100,30529
Estonia,EST,200,32136
Estonia,EST,300,33827
Estonia,EST,400,35607
Estonia,EST,500,37482
Estonia,EST,600,39454
Estonia,EST,700,41531
Estonia,EST,800,43717
Estonia,EST,900,46018
Estonia,EST,1000,48440
Estonia,EST,1100,50989
Estonia,EST,1200,53673
Estonia,EST,1300,56498
Estonia,EST,1400,59471
Estonia,EST,1500,62601
Estonia,EST,1600,65896
Estonia,EST,1700,69364
Estonia,EST,1710,80925
Estonia,EST,1720,94413
Estonia,EST,1730,110148
Estonia,EST,1740,128507
Estonia,EST,1750,149924
Estonia,EST,1760,174912
Estonia,EST,1770,204064
Estonia,EST,1780,238075
Estonia,EST,1790,277754
Estonia,EST,1800,334136
Estonia,EST,1801,334136
Estonia,EST,1802,334136
Estonia,EST,1803,334136
Estonia,EST,1804,334136
Estonia,EST,1805,334136
Estonia,EST,1806,334136
Estonia,EST,1807,334136
Estonia,EST,1808,334136
Estonia,EST,1809,334136
Estonia,EST,1810,334136
Estonia,EST,1811,334136
Estonia,EST,1812,334136
Estonia,EST,1813,334136
Estonia,EST,1814,334136
Estonia,EST,1815,334136
Estonia,EST,1816,334136
Estonia,EST,1817,334136
Estonia,EST,1818,334136
Estonia,EST,1819,334944
Estonia,EST,1820,336571
Estonia,EST,1821,339025
Estonia,EST,1822,342318
Estonia,EST,1823,346458
Estonia,EST,1824,350649
Estonia,EST,1825,354891
Estonia,EST,1826,359183
Estonia,EST,1827,363528
Estonia,EST,1828,367925
Estonia,EST,1829,372376
Estonia,EST,1830,376880
Estonia,EST,1831,381439
Estonia,EST,1832,386053
Estonia,EST,1833,390722
Estonia,EST,1834,395449
Estonia,EST,1835,400232
Estonia,EST,1836,405073
Estonia,EST,1837,409973
Estonia,EST,1838,414932
Estonia,EST,1839,419951
Estonia,EST,1840,425031
Estonia,EST,1841,430172
Estonia,EST,1842,435375
Estonia,EST,1843,440641
Estonia,EST,1844,445971
Estonia,EST,1845,451366
Estonia,EST,1846,456826
Estonia,EST,1847,462351
Estonia,EST,1848,467944
Estonia,EST,1849,473604
Estonia,EST,1850,479333
Estonia,EST,1851,485120
Estonia,EST,1852,490976
Estonia,EST,1853,496904
Estonia,EST,1854,502902
Estonia,EST,1855,508974
Estonia,EST,1856,515118
Estonia,EST,1857,521337
Estonia,EST,1858,527631
Estonia,EST,1859,534001
Estonia,EST,1860,540447
Estonia,EST,1861,546972
Estonia,EST,1862,553575
Estonia,EST,1863,560258
Estonia,EST,1864,567022
Estonia,EST,1865,573867
Estonia,EST,1866,580795
Estonia,EST,1867,587807
Estonia,EST,1868,594903
Estonia,EST,1869,602085
Estonia,EST,1870,609354
Estonia,EST,1871,616710
Estonia,EST,1872,624156
Estonia,EST,1873,631691
Estonia,EST,1874,639317
Estonia,EST,1875,647035
Estonia,EST,1876,654846
Estonia,EST,1877,662752
Estonia,EST,1878,670753
Estonia,EST,1879,678850
Estonia,EST,1880,687046
Estonia,EST,1881,695340
Estonia,EST,1882,703735
Estonia,EST,1883,712230
Estonia,EST,1884,720829
Estonia,EST,1885,729531
Estonia,EST,1886,738338
Estonia,EST,1887,747252
Estonia,EST,1888,756273
Estonia,EST,1889,765403
Estonia,EST,1890,774643
Estonia,EST,1891,783995
Estonia,EST,1892,793460
Estonia,EST,1893,803039
Estonia,EST,1894,812734
Estonia,EST,1895,822545
Estonia,EST,1896,832475
Estonia,EST,1897,842525
Estonia,EST,1898,852697
Estonia,EST,1899,862991
Estonia,EST,1900,873409
Estonia,EST,1901,883954
Estonia,EST,1902,894625
Estonia,EST,1903,905425
Estonia,EST,1904,916356
Estonia,EST,1905,927419
Estonia,EST,1906,938615
Estonia,EST,1907,949946
Estonia,EST,1908,961415
Estonia,EST,1909,973075
Estonia,EST,1910,984932
Estonia,EST,1911,996987
Estonia,EST,1912,1009244
Estonia,EST,1913,1021706
Estonia,EST,1914,1034322
Estonia,EST,1915,1047093
Estonia,EST,1916,1060022
Estonia,EST,1917,1073111
Estonia,EST,1918,1086387
Estonia,EST,1919,1097251
Estonia,EST,1920,1105673
Estonia,EST,1921,1111619
Estonia,EST,1922,1115057
Estonia,EST,1923,1115953
Estonia,EST,1924,1116851
Estonia,EST,1925,1117749
Estonia,EST,1926,1118648
Estonia,EST,1927,1119548
Estonia,EST,1928,1120448
Estonia,EST,1929,1121129
Estonia,EST,1930,1121590
Estonia,EST,1931,1121830
Estonia,EST,1932,1121851
Estonia,EST,1933,1121651
Estonia,EST,1934,1121451
Estonia,EST,1935,1121252
Estonia,EST,1936,1121052
Estonia,EST,1937,1120852
Estonia,EST,1938,1120653
Estonia,EST,1939,1119960
Estonia,EST,1940,1118777
Estonia,EST,1941,1117103
Estonia,EST,1942,1114940
Estonia,EST,1943,1112289
Estonia,EST,1944,1109645
Estonia,EST,1945,1107007
Estonia,EST,1946,1104375
Estonia,EST,1947,1101750
Estonia,EST,1948,1099131
Estonia,EST,1949,1099233
Estonia,EST,1950,1102086
Estonia,EST,1951,1116343
Estonia,EST,1952,1130243
Estonia,EST,1953,1143309
Estonia,EST,1954,1155806
Estonia,EST,1955,1168284
Estonia,EST,1956,1179959
Estonia,EST,1957,1190798
Estonia,EST,1958,1199877
Estonia,EST,1959,1207081
Estonia,EST,1960,1218073
Estonia,EST,1961,1233247
Estonia,EST,1962,1248165
Estonia,EST,1963,1262540
Estonia,EST,1964,1277336
Estonia,EST,1965,1292004
Estonia,EST,1966,1305809
Estonia,EST,1967,1319747
Estonia,EST,1968,1334232
Estonia,EST,1969,1348708
Estonia,EST,1970,1362004
Estonia,EST,1971,1374799
Estonia,EST,1972,1387624
Estonia,EST,1973,1399859
Estonia,EST,1974,1412123
Estonia,EST,1975,1424043
Estonia,EST,1976,1435356
Estonia,EST,1977,1447123
Estonia,EST,1978,1458858
Estonia,EST,1979,1468657
Estonia,EST,1980,1476989
Estonia,EST,1981,1485771
Estonia,EST,1982,1495377
Estonia,EST,1983,1505721
Estonia,EST,1984,1516125
Estonia,EST,1985,1525790
Estonia,EST,1986,1536031
Estonia,EST,1987,1547709
Estonia,EST,1988,1559598
Estonia,EST,1989,1568053
Estonia,EST,1990,1570676
Estonia,EST,1991,1565621
Estonia,EST,1992,1540386
Estonia,EST,1993,1504446
Estonia,EST,1994,1475730
Estonia,EST,1995,1452777
Estonia,EST,1996,1434670
Estonia,EST,1997,1421491
Estonia,EST,1998,1411151
Estonia,EST,1999,1403494
Estonia,EST,2000,1396881
Estonia,EST,2001,1388000
Estonia,EST,2002,1379241
Estonia,EST,2003,1370663
Estonia,EST,2004,1362489
Estonia,EST,2005,1354665
Estonia,EST,2006,1346711
Estonia,EST,2007,1340576
Estonia,EST,2008,1337013
Estonia,EST,2009,1334557
Estonia,EST,2010,1331535
Estonia,EST,2011,1327435
Estonia,EST,2012,1322682
Estonia,EST,2013,1317985
Estonia,EST,2014,1314531
Estonia,EST,2015,1314658
Estonia,EST,2016,1315928
Estonia,EST,2017,1317550
Estonia,EST,2018,1322146
Estonia,EST,2019,1327039
Estonia,EST,2020,1329449
Estonia,EST,2021,1328704
