Entity,Code,Year,Population
Finland,FIN,-10000,421
Finland,FIN,-9000,562
Finland,FIN,-8000,750
Finland,FIN,-7000,999
Finland,FIN,-6000,1500
Finland,FIN,-5000,1999
Finland,FIN,-4000,2999
Finland,FIN,-3000,3999
Finland,FIN,-2000,4999
Finland,FIN,-1000,6999
Finland,FIN,0,19999
Finland,FIN,100,15000
Finland,FIN,200,19999
Finland,FIN,300,24999
Finland,FIN,400,30000
Finland,FIN,500,34999
Finland,FIN,600,39999
Finland,FIN,700,45000
Finland,FIN,800,49999
Finland,FIN,900,61999
Finland,FIN,1000,74000
Finland,FIN,1100,86000
Finland,FIN,1200,97999
Finland,FIN,1300,110000
Finland,FIN,1400,99999
Finland,FIN,1500,99999
Finland,FIN,1600,199999
Finland,FIN,1700,400119
Finland,FIN,1710,437513
Finland,FIN,1720,478403
Finland,FIN,1730,523113
Finland,FIN,1740,572002
Finland,FIN,1750,625460
Finland,FIN,1760,683915
Finland,FIN,1770,747831
Finland,FIN,1780,817722
Finland,FIN,1790,894145
Finland,FIN,1800,800000
Finland,FIN,1801,815316
Finland,FIN,1802,830926
Finland,FIN,1803,846835
Finland,FIN,1804,863048
Finland,FIN,1805,879571
Finland,FIN,1806,896411
Finland,FIN,1807,913574
Finland,FIN,1808,931065
Finland,FIN,1809,948890
Finland,FIN,1810,967405
Finland,FIN,1811,985927
Finland,FIN,1812,1004803
Finland,FIN,1813,1024040
Finland,FIN,1814,1043646
Finland,FIN,1815,1063628
Finland,FIN,1816,1083991
Finland,FIN,1817,1104745
Finland,FIN,1818,1125896
Finland,FIN,1819,1146610
Finland,FIN,1820,1166867
Finland,FIN,1821,1186644
Finland,FIN,1822,1205918
Finland,FIN,1823,1224666
Finland,FIN,1824,1243706
Finland,FIN,1825,1263042
Finland,FIN,1826,1282678
Finland,FIN,1827,1302620
Finland,FIN,1828,1322872
Finland,FIN,1829,1340699
Finland,FIN,1830,1356050
Finland,FIN,1831,1368870
Finland,FIN,1832,1379105
Finland,FIN,1833,1386699
Finland,FIN,1834,1394336
Finland,FIN,1835,1402014
Finland,FIN,1836,1409734
Finland,FIN,1837,1417497
Finland,FIN,1838,1425303
Finland,FIN,1839,1435103
Finland,FIN,1840,1446931
Finland,FIN,1841,1460824
Finland,FIN,1842,1476817
Finland,FIN,1843,1494947
Finland,FIN,1844,1513299
Finland,FIN,1845,1531877
Finland,FIN,1846,1550683
Finland,FIN,1847,1569719
Finland,FIN,1848,1588989
Finland,FIN,1849,1606635
Finland,FIN,1850,1622623
Finland,FIN,1851,1636889
Finland,FIN,1852,1649431
Finland,FIN,1853,1660217
Finland,FIN,1854,1671073
Finland,FIN,1855,1682000
Finland,FIN,1856,1692999
Finland,FIN,1857,1704069
Finland,FIN,1858,1715212
Finland,FIN,1859,1724467
Finland,FIN,1860,1731819
Finland,FIN,1861,1737255
Finland,FIN,1862,1740760
Finland,FIN,1863,1742320
Finland,FIN,1864,1743882
Finland,FIN,1865,1745445
Finland,FIN,1866,1747009
Finland,FIN,1867,1748575
Finland,FIN,1868,1750142
Finland,FIN,1869,1756848
Finland,FIN,1870,1768777
Finland,FIN,1871,1786015
Finland,FIN,1872,1808650
Finland,FIN,1873,1836768
Finland,FIN,1874,1865324
Finland,FIN,1875,1894323
Finland,FIN,1876,1923774
Finland,FIN,1877,1953682
Finland,FIN,1878,1984055
Finland,FIN,1879,2014465
Finland,FIN,1880,2044905
Finland,FIN,1881,2075370
Finland,FIN,1882,2105853
Finland,FIN,1883,2136348
Finland,FIN,1884,2167285
Finland,FIN,1885,2198670
Finland,FIN,1886,2230510
Finland,FIN,1887,2262810
Finland,FIN,1888,2295579
Finland,FIN,1889,2327324
Finland,FIN,1890,2358016
Finland,FIN,1891,2387621
Finland,FIN,1892,2416106
Finland,FIN,1893,2443438
Finland,FIN,1894,2471079
Finland,FIN,1895,2499032
Finland,FIN,1896,2527302
Finland,FIN,1897,2555892
Finland,FIN,1898,2584805
Finland,FIN,1899,2613453
Finland,FIN,1900,2641827
Finland,FIN,1901,2669917
Finland,FIN,1902,2697715
Finland,FIN,1903,2725211
Finland,FIN,1904,2752987
Finland,FIN,1905,2781046
Finland,FIN,1906,2809391
Finland,FIN,1907,2838025
Finland,FIN,1908,2866950
Finland,FIN,1909,2894148
Finland,FIN,1910,2919587
Finland,FIN,1911,2943234
Finland,FIN,1912,2965059
Finland,FIN,1913,2985029
Finland,FIN,1914,3005133
Finland,FIN,1915,3025373
Finland,FIN,1916,3045749
Finland,FIN,1917,3066262
Finland,FIN,1918,3086976
Finland,FIN,1919,3109646
Finland,FIN,1920,3134300
Finland,FIN,1921,3160971
Finland,FIN,1922,3189690
Finland,FIN,1923,3220489
Finland,FIN,1924,3251585
Finland,FIN,1925,3282981
Finland,FIN,1926,3314680
Finland,FIN,1927,3346685
Finland,FIN,1928,3379000
Finland,FIN,1929,3409794
Finland,FIN,1930,3439039
Finland,FIN,1931,3466709
Finland,FIN,1932,3492774
Finland,FIN,1933,3517206
Finland,FIN,1934,3541810
Finland,FIN,1935,3566585
Finland,FIN,1936,3591534
Finland,FIN,1937,3616657
Finland,FIN,1938,3641956
Finland,FIN,1939,3668252
Finland,FIN,1940,3695558
Finland,FIN,1941,3723889
Finland,FIN,1942,3753257
Finland,FIN,1943,3783678
Finland,FIN,1944,3814345
Finland,FIN,1945,3845261
Finland,FIN,1946,3876427
Finland,FIN,1947,3907846
Finland,FIN,1948,3939520
Finland,FIN,1949,3972991
Finland,FIN,1950,4008294
Finland,FIN,1951,4047494
Finland,FIN,1952,4090784
Finland,FIN,1953,4139776
Finland,FIN,1954,4187367
Finland,FIN,1955,4235412
Finland,FIN,1956,4282284
Finland,FIN,1957,4324585
Finland,FIN,1958,4360275
Finland,FIN,1959,4395239
Finland,FIN,1960,4430178
Finland,FIN,1961,4461532
Finland,FIN,1962,4492177
Finland,FIN,1963,4524291
Finland,FIN,1964,4549558
Finland,FIN,1965,4564582
Finland,FIN,1966,4581791
Finland,FIN,1967,4607106
Finland,FIN,1968,4627786
Finland,FIN,1969,4624400
Finland,FIN,1970,4606621
Finland,FIN,1971,4612433
Finland,FIN,1972,4639834
Finland,FIN,1973,4666168
Finland,FIN,1974,4690582
Finland,FIN,1975,4711384
Finland,FIN,1976,4725523
Finland,FIN,1977,4738738
Finland,FIN,1978,4752401
Finland,FIN,1979,4764568
Finland,FIN,1980,4779423
Finland,FIN,1981,4799868
Finland,FIN,1982,4826860
Finland,FIN,1983,4855738
Finland,FIN,1984,4881748
Finland,FIN,1985,4902179
Finland,FIN,1986,4918174
Finland,FIN,1987,4932176
Finland,FIN,1988,4946563
Finland,FIN,1989,4964482
Finland,FIN,1990,4986551
Finland,FIN,1991,5013856
Finland,FIN,1992,5042120
Finland,FIN,1993,5066609
Finland,FIN,1994,5088491
Finland,FIN,1995,5107942
Finland,FIN,1996,5124717
Finland,FIN,1997,5139944
Finland,FIN,1998,5153548
Finland,FIN,1999,5165500
Finland,FIN,2000,5176208
Finland,FIN,2001,5188007
Finland,FIN,2002,5200588
Finland,FIN,2003,5212991
Finland,FIN,2004,5228143
Finland,FIN,2005,5246070
Finland,FIN,2006,5266249
Finland,FIN,2007,5288694
Finland,FIN,2008,5313358
Finland,FIN,2009,5338813
Finland,FIN,2010,5363279
Finland,FIN,2011,5388173
Finland,FIN,2012,5413865
Finland,FIN,2013,5438873
Finland,FIN,2014,5461436
Finland,FIN,2015,5479457
Finland,FIN,2016,5495217
Finland,FIN,2017,5508146
Finland,FIN,2018,5515465
Finland,FIN,2019,5521539
Finland,FIN,2020,5529468
Finland,FIN,2021,5535982
