Entity,Code,Year,Population
France,FRA,100,5694368
France,FRA,200,6430050
France,FRA,300,5697016
France,FRA,400,4964012
France,FRA,500,4720607
France,FRA,600,4477246
France,FRA,700,4723481
France,FRA,800,4969752
France,FRA,900,5705630
France,FRA,1000,6441544
France,FRA,1100,7667044
France,FRA,1200,10361312
France,FRA,1300,15806721
France,FRA,1400,10930922
France,FRA,1500,14867558
France,FRA,1600,18314616
France,FRA,1700,21992322
France,FRA,1710,22592810
France,FRA,1720,23193336
France,FRA,1730,23793816
France,FRA,1740,24394330
France,FRA,1750,24994842
France,FRA,1760,25571370
France,FRA,1770,26147880
France,FRA,1780,26724322
France,FRA,1790,27300924
France,FRA,1800,29000000
France,FRA,1801,29108552
France,FRA,1802,29217510
France,FRA,1803,29326876
France,FRA,1804,29436651
France,FRA,1805,29546838
France,FRA,1806,29657436
France,FRA,1807,29768449
France,FRA,1808,29879877
France,FRA,1809,29991722
France,FRA,1810,30104407
France,FRA,1811,30217092
France,FRA,1812,30330200
France,FRA,1813,30443731
France,FRA,1814,30557687
France,FRA,1815,30672069
France,FRA,1816,30786880
France,FRA,1817,30902120
France,FRA,1818,31017792
France,FRA,1819,31150340
France,FRA,1820,31299931
France,FRA,1821,31466736
France,FRA,1822,31650924
France,FRA,1823,31852668
France,FRA,1824,32055698
France,FRA,1825,32260022
France,FRA,1826,32465648
France,FRA,1827,32672585
France,FRA,1828,32880842
France,FRA,1829,33079302
France,FRA,1830,33267853
France,FRA,1831,33446379
France,FRA,1832,33614762
France,FRA,1833,33772885
France,FRA,1834,33931751
France,FRA,1835,34091365
France,FRA,1836,34251730
France,FRA,1837,34412849
France,FRA,1838,34574726
France,FRA,1839,34733003
France,FRA,1840,34887644
France,FRA,1841,35038615
France,FRA,1842,35185880
France,FRA,1843,35329405
France,FRA,1844,35473515
France,FRA,1845,35618212
France,FRA,1846,35763500
France,FRA,1847,35909381
France,FRA,1848,36055856
France,FRA,1849,36192055
France,FRA,1850,36317907
France,FRA,1851,36422915
France,FRA,1852,36517375
France,FRA,1853,36601225
France,FRA,1854,36685264
France,FRA,1855,36769494
France,FRA,1856,36853914
France,FRA,1857,36938524
France,FRA,1858,37023326
France,FRA,1859,37111533
France,FRA,1860,37203159
France,FRA,1861,37298222
France,FRA,1862,37396737
France,FRA,1863,37498719
France,FRA,1864,37600976
France,FRA,1865,37703510
France,FRA,1866,37806319
France,FRA,1867,37909406
France,FRA,1868,38012770
France,FRA,1869,38105310
France,FRA,1870,38186983
France,FRA,1871,38257751
France,FRA,1872,38317571
France,FRA,1873,38366403
France,FRA,1874,38415294
France,FRA,1875,38464245
France,FRA,1876,38513254
France,FRA,1877,38562323
France,FRA,1878,38611451
France,FRA,1879,38667543
France,FRA,1880,38730622
France,FRA,1881,38800708
France,FRA,1882,38877824
France,FRA,1883,38961992
France,FRA,1884,39046339
France,FRA,1885,39130866
France,FRA,1886,39215572
France,FRA,1887,39300458
France,FRA,1888,39385524
France,FRA,1889,39462823
France,FRA,1890,39532330
France,FRA,1891,39594021
France,FRA,1892,39647872
France,FRA,1893,39693861
France,FRA,1894,39739899
France,FRA,1895,39785987
France,FRA,1896,39832125
France,FRA,1897,39878314
France,FRA,1898,39924553
France,FRA,1899,39971493
France,FRA,1900,40019136
France,FRA,1901,40067484
France,FRA,1902,40116538
France,FRA,1903,40166299
France,FRA,1904,40216118
France,FRA,1905,40265996
France,FRA,1906,40315932
France,FRA,1907,40365927
France,FRA,1908,40415980
France,FRA,1909,40408851
France,FRA,1910,40344819
France,FRA,1911,40224160
France,FRA,1912,40047151
France,FRA,1913,39814066
France,FRA,1914,39582334
France,FRA,1915,39351947
France,FRA,1916,39122898
France,FRA,1917,38895178
France,FRA,1918,38680067
France,FRA,1919,38558175
France,FRA,1920,38529587
France,FRA,1921,38594388
France,FRA,1922,38752667
France,FRA,1923,39004517
France,FRA,1924,39258004
France,FRA,1925,39513139
France,FRA,1926,39769931
France,FRA,1927,40028393
France,FRA,1928,40288534
France,FRA,1929,40485273
France,FRA,1930,40618294
France,FRA,1931,40687278
France,FRA,1932,40691906
France,FRA,1933,40631855
France,FRA,1934,40571892
France,FRA,1935,40512018
France,FRA,1936,40452232
France,FRA,1937,40392535
France,FRA,1938,40332925
France,FRA,1939,40314566
France,FRA,1940,40337546
France,FRA,1941,40401955
France,FRA,1942,40507882
France,FRA,1943,40655418
France,FRA,1944,40803492
France,FRA,1945,40952105
France,FRA,1946,41101259
France,FRA,1947,41250956
France,FRA,1948,41401199
France,FRA,1949,41598134
France,FRA,1950,41842356
France,FRA,1951,42196660
France,FRA,1952,42542396
France,FRA,1953,42883300
France,FRA,1954,43225644
France,FRA,1955,43593852
France,FRA,1956,43959224
France,FRA,1957,44338088
France,FRA,1958,44754360
France,FRA,1959,45201848
France,FRA,1960,45659572
France,FRA,1961,46143028
France,FRA,1962,46635188
France,FRA,1963,47121244
France,FRA,1964,47641948
France,FRA,1965,48168800
France,FRA,1966,48683088
France,FRA,1967,49181404
France,FRA,1968,49647272
France,FRA,1969,50087056
France,FRA,1970,50523588
France,FRA,1971,50970696
France,FRA,1972,51410364
France,FRA,1973,51814076
France,FRA,1974,52163552
France,FRA,1975,52450032
France,FRA,1976,52685272
France,FRA,1977,52925440
France,FRA,1978,53175308
France,FRA,1979,53428780
France,FRA,1980,53713836
France,FRA,1981,54016748
France,FRA,1982,54319652
France,FRA,1983,54592384
France,FRA,1984,54845984
France,FRA,1985,55108104
France,FRA,1986,55371640
France,FRA,1987,55641536
France,FRA,1988,55911476
France,FRA,1989,56169944
France,FRA,1990,56412896
France,FRA,1991,56645216
France,FRA,1992,56864048
France,FRA,1993,57053728
France,FRA,1994,57230064
France,FRA,1995,57420356
France,FRA,1996,57623180
France,FRA,1997,57839364
France,FRA,1998,58080344
France,FRA,1999,58352208
France,FRA,2000,58665456
France,FRA,2001,59014776
France,FRA,2002,59372784
France,FRA,2003,59728260
France,FRA,2004,60108436
France,FRA,2005,60510080
France,FRA,2006,60919152
France,FRA,2007,61329380
France,FRA,2008,61721004
France,FRA,2009,62093300
France,FRA,2010,62444568
France,FRA,2011,62775272
France,FRA,2012,63071412
France,FRA,2013,63335180
France,FRA,2014,63588496
France,FRA,2015,63809768
France,FRA,2016,63989320
France,FRA,2017,64144092
France,FRA,2018,64277812
France,FRA,2019,64399760
France,FRA,2020,64480052
France,FRA,2021,64531448
