Entity,Code,Year,Population
Georgia,GEO,100,125859
Georgia,GEO,200,134850
Georgia,GEO,300,144482
Georgia,GEO,400,154802
Georgia,GEO,500,165859
Georgia,GEO,600,177706
Georgia,GEO,700,190400
Georgia,GEO,800,204000
Georgia,GEO,900,215500
Georgia,GEO,1000,227000
Georgia,GEO,1100,340500
Georgia,GEO,1200,454000
Georgia,GEO,1300,568000
Georgia,GEO,1400,454000
Georgia,GEO,1500,568000
Georgia,GEO,1600,681000
Georgia,GEO,1700,795000
Georgia,GEO,1710,506048
Georgia,GEO,1720,548219
Georgia,GEO,1730,593904
Georgia,GEO,1740,643396
Georgia,GEO,1750,697013
Georgia,GEO,1760,755097
Georgia,GEO,1770,818022
Georgia,GEO,1780,886190
Georgia,GEO,1790,960039
Georgia,GEO,1800,1072178
Georgia,GEO,1801,1072178
Georgia,GEO,1802,1072178
Georgia,GEO,1803,1072178
Georgia,GEO,1804,1072178
Georgia,GEO,1805,1072178
Georgia,GEO,1806,1072178
Georgia,GEO,1807,1072178
Georgia,GEO,1808,1072178
Georgia,GEO,1809,1072178
Georgia,GEO,1810,1072178
Georgia,GEO,1811,1072178
Georgia,GEO,1812,1072178
Georgia,GEO,1813,1072178
Georgia,GEO,1814,1072178
Georgia,GEO,1815,1072178
Georgia,GEO,1816,1072178
Georgia,GEO,1817,1072178
Georgia,GEO,1818,1072178
Georgia,GEO,1819,1074146
Georgia,GEO,1820,1078099
Georgia,GEO,1821,1084057
Georgia,GEO,1822,1092037
Georgia,GEO,1823,1102059
Georgia,GEO,1824,1112172
Georgia,GEO,1825,1122378
Georgia,GEO,1826,1132677
Georgia,GEO,1827,1143071
Georgia,GEO,1828,1153561
Georgia,GEO,1829,1164147
Georgia,GEO,1830,1174830
Georgia,GEO,1831,1185611
Georgia,GEO,1832,1196490
Georgia,GEO,1833,1207470
Georgia,GEO,1834,1218551
Georgia,GEO,1835,1229733
Georgia,GEO,1836,1241018
Georgia,GEO,1837,1252406
Georgia,GEO,1838,1263899
Georgia,GEO,1839,1275497
Georgia,GEO,1840,1287202
Georgia,GEO,1841,1299014
Georgia,GEO,1842,1310934
Georgia,GEO,1843,1322964
Georgia,GEO,1844,1335105
Georgia,GEO,1845,1347356
Georgia,GEO,1846,1359721
Georgia,GEO,1847,1372198
Georgia,GEO,1848,1384790
Georgia,GEO,1849,1397498
Georgia,GEO,1850,1410322
Georgia,GEO,1851,1423177
Georgia,GEO,1852,1436149
Georgia,GEO,1853,1449239
Georgia,GEO,1854,1462448
Georgia,GEO,1855,1475778
Georgia,GEO,1856,1489229
Georgia,GEO,1857,1502803
Georgia,GEO,1858,1516501
Georgia,GEO,1859,1530323
Georgia,GEO,1860,1544271
Georgia,GEO,1861,1558347
Georgia,GEO,1862,1572551
Georgia,GEO,1863,1586884
Georgia,GEO,1864,1601348
Georgia,GEO,1865,1615943
Georgia,GEO,1866,1630672
Georgia,GEO,1867,1645535
Georgia,GEO,1868,1660534
Georgia,GEO,1869,1675669
Georgia,GEO,1870,1690942
Georgia,GEO,1871,1706354
Georgia,GEO,1872,1721907
Georgia,GEO,1873,1737601
Georgia,GEO,1874,1753439
Georgia,GEO,1875,1769421
Georgia,GEO,1876,1785548
Georgia,GEO,1877,1801823
Georgia,GEO,1878,1818246
Georgia,GEO,1879,1834818
Georgia,GEO,1880,1851542
Georgia,GEO,1881,1868418
Georgia,GEO,1882,1885448
Georgia,GEO,1883,1902633
Georgia,GEO,1884,1919974
Georgia,GEO,1885,1937474
Georgia,GEO,1886,1955133
Georgia,GEO,1887,1972954
Georgia,GEO,1888,1990936
Georgia,GEO,1889,2009083
Georgia,GEO,1890,2027394
Georgia,GEO,1891,2045873
Georgia,GEO,1892,2064520
Georgia,GEO,1893,2083338
Georgia,GEO,1894,2102326
Georgia,GEO,1895,2121488
Georgia,GEO,1896,2140824
Georgia,GEO,1897,2160337
Georgia,GEO,1898,2180027
Georgia,GEO,1899,2199897
Georgia,GEO,1900,2219948
Georgia,GEO,1901,2240182
Georgia,GEO,1902,2260600
Georgia,GEO,1903,2281204
Georgia,GEO,1904,2301996
Georgia,GEO,1905,2322978
Georgia,GEO,1906,2344150
