Entity,Code,Year,Population
Germany,DEU,100,3250004
Germany,DEU,200,3500005
Germany,DEU,300,3500000
Germany,DEU,400,3499996
Germany,DEU,500,3250002
Germany,DEU,600,3000002
Germany,DEU,700,3125004
Germany,DEU,800,3250005
Germany,DEU,900,3375004
Germany,DEU,1000,3500006
Germany,DEU,1100,3999991
Germany,DEU,1200,5999998
Germany,DEU,1300,9000009
Germany,DEU,1400,6499992
Germany,DEU,1500,8999982
Germany,DEU,1600,12000005
Germany,DEU,1700,12999967
Germany,DEU,1710,13978600
Germany,DEU,1720,14957612
Germany,DEU,1730,15936966
Germany,DEU,1740,16916782
Germany,DEU,1750,17897054
Germany,DEU,1760,18891894
Germany,DEU,1770,19886730
Germany,DEU,1780,20881578
Germany,DEU,1790,21876482
Germany,DEU,1800,18000000
Germany,DEU,1801,18294612
Germany,DEU,1802,18594046
Germany,DEU,1803,18898381
Germany,DEU,1804,19207698
Germany,DEU,1805,19522077
Germany,DEU,1806,19841601
Germany,DEU,1807,20166356
Germany,DEU,1808,20496425
Germany,DEU,1809,20831897
Germany,DEU,1810,21178441
Germany,DEU,1811,21525076
Germany,DEU,1812,21877384
Germany,DEU,1813,22235459
Germany,DEU,1814,22599394
Germany,DEU,1815,22969286
Germany,DEU,1816,23345232
Germany,DEU,1817,23727332
Germany,DEU,1818,24115685
Germany,DEU,1819,24488367
Germany,DEU,1820,24844857
Germany,DEU,1821,25184625
Germany,DEU,1822,25507128
Germany,DEU,1823,25811809
Germany,DEU,1824,26120130
Germany,DEU,1825,26432134
Germany,DEU,1826,26747865
Germany,DEU,1827,27067367
Germany,DEU,1828,27390685
Germany,DEU,1829,27709637
Germany,DEU,1830,28024082
Germany,DEU,1831,28333882
Germany,DEU,1832,28638891
Germany,DEU,1833,28938965
Germany,DEU,1834,29242182
Germany,DEU,1835,29548576
Germany,DEU,1836,29858181
Germany,DEU,1837,30171030
Germany,DEU,1838,30487157
Germany,DEU,1839,30791884
Germany,DEU,1840,31084973
Germany,DEU,1841,31366182
Germany,DEU,1842,31635265
Germany,DEU,1843,31891972
Germany,DEU,1844,32150762
Germany,DEU,1845,32411652
Germany,DEU,1846,32674660
Germany,DEU,1847,32939801
Germany,DEU,1848,33207094
Germany,DEU,1849,33466493
Germany,DEU,1850,33717866
Germany,DEU,1851,33977773
Germany,DEU,1852,34229621
Germany,DEU,1853,34473260
Germany,DEU,1854,34718626
Germany,DEU,1855,34965729
Germany,DEU,1856,35214583
Germany,DEU,1857,35465199
Germany,DEU,1858,35717590
Germany,DEU,1859,35985319
Germany,DEU,1860,36268623
Germany,DEU,1861,36567743
Germany,DEU,1862,36882921
Germany,DEU,1863,37214403
Germany,DEU,1864,37548856
Germany,DEU,1865,37886306
Germany,DEU,1866,38226779
Germany,DEU,1867,38570302
Germany,DEU,1868,38916904
Germany,DEU,1869,39281564
Germany,DEU,1870,39664615
Germany,DEU,1871,40066395
Germany,DEU,1872,40487243
Germany,DEU,1873,40927508
Germany,DEU,1874,41372550
Germany,DEU,1875,41822422
Germany,DEU,1876,42277176
Germany,DEU,1877,42736865
Germany,DEU,1878,43201541
Germany,DEU,1879,43659611
Germany,DEU,1880,44110884
Germany,DEU,1881,44555169
Germany,DEU,1882,44992270
Germany,DEU,1883,45421989
Germany,DEU,1884,45855801
Germany,DEU,1885,46293746
Germany,DEU,1886,46735862
Germany,DEU,1887,47182190
Germany,DEU,1888,47632769
Germany,DEU,1889,48129782
Germany,DEU,1890,48674276
Germany,DEU,1891,49267320
Germany,DEU,1892,49910000
Germany,DEU,1893,50603420
Germany,DEU,1894,51306462
Germany,DEU,1895,52019260
Germany,DEU,1896,52741949
Germany,DEU,1897,53474665
Germany,DEU,1898,54217548
Germany,DEU,1899,54984276
Germany,DEU,1900,55775391
Germany,DEU,1901,56591445
Germany,DEU,1902,57433002
Germany,DEU,1903,58300637
Germany,DEU,1904,59181365
Germany,DEU,1905,60075384
Germany,DEU,1906,60982895
Germany,DEU,1907,61904101
Germany,DEU,1908,62839208
Germany,DEU,1909,63557664
Germany,DEU,1910,64056716
Germany,DEU,1911,64333569
Germany,DEU,1912,64385385
Germany,DEU,1913,64209282
Germany,DEU,1914,64033646
Germany,DEU,1915,63858476
Germany,DEU,1916,63683770
Germany,DEU,1917,63509528
Germany,DEU,1918,63305628
Germany,DEU,1919,63226761
Germany,DEU,1920,63273356
Germany,DEU,1921,63445847
Germany,DEU,1922,63744670
Germany,DEU,1923,64170268
Germany,DEU,1924,64598707
Germany,DEU,1925,65030007
Germany,DEU,1926,65464186
Germany,DEU,1927,65901264
Germany,DEU,1928,66341260
Germany,DEU,1929,66789491
Germany,DEU,1930,67246048
Germany,DEU,1931,67711026
Germany,DEU,1932,68184518
Germany,DEU,1933,68666619
Germany,DEU,1934,69152129
Germany,DEU,1935,69641071
Germany,DEU,1936,70133471
Germany,DEU,1937,70629352
Germany,DEU,1938,71128740
Germany,DEU,1939,71499194
Germany,DEU,1940,71740083
Germany,DEU,1941,71850770
Germany,DEU,1942,71830612
Germany,DEU,1943,71678963
Germany,DEU,1944,71527635
Germany,DEU,1945,71376625
Germany,DEU,1946,71225935
Germany,DEU,1947,71075562
Germany,DEU,1948,70925507
Germany,DEU,1949,70888212
Germany,DEU,1950,70964104
Germany,DEU,1951,70820040
Germany,DEU,1952,70808376
Germany,DEU,1953,70879448
Germany,DEU,1954,71020736
Germany,DEU,1955,71222632
Germany,DEU,1956,71473272
Germany,DEU,1957,71771632
Germany,DEU,1958,72136480
Germany,DEU,1959,72578952
Germany,DEU,1960,73063696
Germany,DEU,1961,73604352
Germany,DEU,1962,74194424
Germany,DEU,1963,74796216
Germany,DEU,1964,75423248
Germany,DEU,1965,76037464
Germany,DEU,1966,76618720
Germany,DEU,1967,77173552
Germany,DEU,1968,77646128
Germany,DEU,1969,78012488
Germany,DEU,1970,78294592
Germany,DEU,1971,78511408
Germany,DEU,1972,78643560
Germany,DEU,1973,78667472
Germany,DEU,1974,78620536
Germany,DEU,1975,78513512
Germany,DEU,1976,78364216
Germany,DEU,1977,78221280
Germany,DEU,1978,78071552
Germany,DEU,1979,77915728
Germany,DEU,1980,77786696
Germany,DEU,1981,77684488
Germany,DEU,1982,77610424
Germany,DEU,1983,77566064
Germany,DEU,1984,77568576
Germany,DEU,1985,77638808
Germany,DEU,1986,77803352
Germany,DEU,1987,78090896
Germany,DEU,1988,78477528
Germany,DEU,1989,78916440
Germany,DEU,1990,79370192
Germany,DEU,1991,79801984
Germany,DEU,1992,80205024
Germany,DEU,1993,80573496
Germany,DEU,1994,80882120
Germany,DEU,1995,81123264
Germany,DEU,1996,81300864
Germany,DEU,1997,81436096
Germany,DEU,1998,81524384
Germany,DEU,1999,81556968
Germany,DEU,2000,81551680
Germany,DEU,2001,81514568
Germany,DEU,2002,81443424
Germany,DEU,2003,81346808
Germany,DEU,2004,81266672
Germany,DEU,2005,81212168
Germany,DEU,2006,81177816
Germany,DEU,2007,81183832
Germany,DEU,2008,81217488
