Entity,Code,Year,Population
Greece,GRC,100,1999999
Greece,GRC,200,1999999
Greece,GRC,300,1750000
Greece,GRC,400,1499999
Greece,GRC,500,1150000
Greece,GRC,600,800000
Greece,GRC,700,849999
Greece,GRC,800,899999
Greece,GRC,900,949999
Greece,GRC,1000,999999
Greece,GRC,1100,1080000
Greece,GRC,1200,1170001
Greece,GRC,1300,1250000
Greece,GRC,1400,899999
Greece,GRC,1500,999999
Greece,GRC,1600,1499999
Greece,GRC,1700,1499999
Greece,GRC,1710,1567668
Greece,GRC,1720,1635335
Greece,GRC,1730,1703000
Greece,GRC,1740,1770665
Greece,GRC,1750,1838333
Greece,GRC,1760,1906003
Greece,GRC,1770,1973667
Greece,GRC,1780,2041335
Greece,GRC,1790,2109000
Greece,GRC,1800,2250000
Greece,GRC,1801,2253060
Greece,GRC,1802,2256124
Greece,GRC,1803,2259193
Greece,GRC,1804,2262266
Greece,GRC,1805,2265342
Greece,GRC,1806,2268423
Greece,GRC,1807,2271509
Greece,GRC,1808,2274598
Greece,GRC,1809,2277692
Greece,GRC,1810,2280794
Greece,GRC,1811,2283896
Greece,GRC,1812,2287002
Greece,GRC,1813,2290112
Greece,GRC,1814,2293227
Greece,GRC,1815,2296346
Greece,GRC,1816,2299469
Greece,GRC,1817,2302596
Greece,GRC,1818,2305728
Greece,GRC,1819,2312494
Greece,GRC,1820,2322933
Greece,GRC,1821,2337084
Greece,GRC,1822,2354985
Greece,GRC,1823,2376676
Greece,GRC,1824,2398567
Greece,GRC,1825,2420660
Greece,GRC,1826,2442956
Greece,GRC,1827,2465457
Greece,GRC,1828,2488166
Greece,GRC,1829,2511078
Greece,GRC,1830,2534195
Greece,GRC,1831,2557520
Greece,GRC,1832,2581053
Greece,GRC,1833,2604797
Greece,GRC,1834,2628759
Greece,GRC,1835,2652941
Greece,GRC,1836,2677347
Greece,GRC,1837,2701976
Greece,GRC,1838,2726832
Greece,GRC,1839,2751930
Greece,GRC,1840,2777272
Greece,GRC,1841,2802859
Greece,GRC,1842,2828696
Greece,GRC,1843,2854783
Greece,GRC,1844,2881111
Greece,GRC,1845,2907682
Greece,GRC,1846,2934497
Greece,GRC,1847,2961561
Greece,GRC,1848,2988873
Greece,GRC,1849,3016425
Greece,GRC,1850,3044219
Greece,GRC,1851,3072720
Greece,GRC,1852,3101474
Greece,GRC,1853,3130486
Greece,GRC,1854,3159768
Greece,GRC,1855,3189325
Greece,GRC,1856,3219158
Greece,GRC,1857,3249270
Greece,GRC,1858,3279663
Greece,GRC,1859,3310359
Greece,GRC,1860,3341361
Greece,GRC,1861,3372671
Greece,GRC,1862,3404292
Greece,GRC,1863,3436229
Greece,GRC,1864,3468464
Greece,GRC,1865,3501002
Greece,GRC,1866,3533846
Greece,GRC,1867,3566997
Greece,GRC,1868,3600459
Greece,GRC,1869,3634972
Greece,GRC,1870,3670555
Greece,GRC,1871,3707223
Greece,GRC,1872,3744997
Greece,GRC,1873,3783894
Greece,GRC,1874,3823195
Greece,GRC,1875,3862904
Greece,GRC,1876,3903025
Greece,GRC,1877,3943563
Greece,GRC,1878,3984522
Greece,GRC,1879,4025888
Greece,GRC,1880,4067664
Greece,GRC,1881,4109855
Greece,GRC,1882,4152465
Greece,GRC,1883,4195498
Greece,GRC,1884,4238976
Greece,GRC,1885,4282905
Greece,GRC,1886,4327290
Greece,GRC,1887,4372134
Greece,GRC,1888,4417442
Greece,GRC,1889,4463233
Greece,GRC,1890,4509512
Greece,GRC,1891,4556282
Greece,GRC,1892,4603551
Greece,GRC,1893,4651322
Greece,GRC,1894,4699590
Greece,GRC,1895,4748357
Greece,GRC,1896,4797631
Greece,GRC,1897,4847416
Greece,GRC,1898,4897718
Greece,GRC,1899,4945307
Greece,GRC,1900,4990133
Greece,GRC,1901,5032141
Greece,GRC,1902,5071280
Greece,GRC,1903,5107496
Greece,GRC,1904,5143970
Greece,GRC,1905,5180704
Greece,GRC,1906,5217700
Greece,GRC,1907,5254961
Greece,GRC,1908,5292488
Greece,GRC,1909,5330209
Greece,GRC,1910,5368127
Greece,GRC,1911,5406242
Greece,GRC,1912,5444555
Greece,GRC,1913,5483067
Greece,GRC,1914,5521851
Greece,GRC,1915,5560909
Greece,GRC,1916,5600243
Greece,GRC,1917,5639856
Greece,GRC,1918,5678901
Greece,GRC,1919,5722766
Greece,GRC,1920,5771532
Greece,GRC,1921,5825284
Greece,GRC,1922,5884107
Greece,GRC,1923,5948086
Greece,GRC,1924,6012762
Greece,GRC,1925,6078140
Greece,GRC,1926,6144230
Greece,GRC,1927,6211038
Greece,GRC,1928,6278572
Greece,GRC,1929,6350526
Greece,GRC,1930,6426998
Greece,GRC,1931,6508088
Greece,GRC,1932,6593900
Greece,GRC,1933,6684536
Greece,GRC,1934,6776418
Greece,GRC,1935,6869563
Greece,GRC,1936,6963989
Greece,GRC,1937,7059712
Greece,GRC,1938,7156751
Greece,GRC,1939,7240587
Greece,GRC,1940,7310983
Greece,GRC,1941,7367696
Greece,GRC,1942,7410484
Greece,GRC,1943,7439097
Greece,GRC,1944,7467821
Greece,GRC,1945,7496655
Greece,GRC,1946,7525601
Greece,GRC,1947,7554659
Greece,GRC,1948,7583829
Greece,GRC,1949,7621936
Greece,GRC,1950,7669097
Greece,GRC,1951,7766347
Greece,GRC,1952,7863884
Greece,GRC,1953,7959594
Greece,GRC,1954,8052769
Greece,GRC,1955,8146025
Greece,GRC,1956,8234417
Greece,GRC,1957,8313968
Greece,GRC,1958,8385152
Greece,GRC,1959,8447074
Greece,GRC,1960,8495419
Greece,GRC,1961,8526467
Greece,GRC,1962,8540807
Greece,GRC,1963,8541794
Greece,GRC,1964,8534890
Greece,GRC,1965,8526265
Greece,GRC,1966,8520636
Greece,GRC,1967,8518064
Greece,GRC,1968,8518841
Greece,GRC,1969,8526141
Greece,GRC,1970,8544874
Greece,GRC,1971,8576110
Greece,GRC,1972,8616664
Greece,GRC,1973,8666390
Greece,GRC,1974,8729703
Greece,GRC,1975,8805416
Greece,GRC,1976,8890429
Greece,GRC,1977,8983231
Greece,GRC,1978,9084305
Greece,GRC,1979,9194179
Greece,GRC,1980,9307159
Greece,GRC,1981,9418999
Greece,GRC,1982,9528819
Greece,GRC,1983,9636354
Greece,GRC,1984,9740384
Greece,GRC,1985,9840144
Greece,GRC,1986,9936729
Greece,GRC,1987,10029145
Greece,GRC,1988,10120189
Greece,GRC,1989,10211975
Greece,GRC,1990,10302255
Greece,GRC,1991,10391552
Greece,GRC,1992,10478389
Greece,GRC,1993,10563442
Greece,GRC,1994,10647420
Greece,GRC,1995,10727928
Greece,GRC,1996,10803809
Greece,GRC,1997,10875274
Greece,GRC,1998,10939474
Greece,GRC,1999,10993861
Greece,GRC,2000,11038112
Greece,GRC,2001,11072182
Greece,GRC,2002,11096620
Greece,GRC,2003,11110488
Greece,GRC,2004,11115089
Greece,GRC,2005,11113450
Greece,GRC,2006,11106097
Greece,GRC,2007,11091491
Greece,GRC,2008,11073621
Greece,GRC,2009,11055503
Greece,GRC,2010,11033784
