Entity,Code,Year,Population
Hungary,HUN,100,300000
Hungary,HUN,200,300000
Hungary,HUN,300,300000
Hungary,HUN,400,300000
Hungary,HUN,500,250000
Hungary,HUN,600,200000
Hungary,HUN,700,250000
Hungary,HUN,800,300000
Hungary,HUN,900,400000
Hungary,HUN,1000,499999
Hungary,HUN,1100,599999
Hungary,HUN,1200,800000
Hungary,HUN,1300,1250000
Hungary,HUN,1400,999999
Hungary,HUN,1500,1250000
Hungary,HUN,1600,1250000
Hungary,HUN,1700,1500001
Hungary,HUN,1710,1661908
Hungary,HUN,1720,1823812
Hungary,HUN,1730,1985721
Hungary,HUN,1740,2147629
Hungary,HUN,1750,2309536
Hungary,HUN,1760,2471444
Hungary,HUN,1770,2633350
Hungary,HUN,1780,2795254
Hungary,HUN,1790,2957162
Hungary,HUN,1800,3250000
Hungary,HUN,1801,3289809
Hungary,HUN,1802,3330105
Hungary,HUN,1803,3370895
Hungary,HUN,1804,3412185
Hungary,HUN,1805,3453980
Hungary,HUN,1806,3496288
Hungary,HUN,1807,3539113
Hungary,HUN,1808,3582463
Hungary,HUN,1809,3626344
Hungary,HUN,1810,3671307
Hungary,HUN,1811,3716276
Hungary,HUN,1812,3761796
Hungary,HUN,1813,3807874
Hungary,HUN,1814,3854516
Hungary,HUN,1815,3901730
Hungary,HUN,1816,3949521
Hungary,HUN,1817,3997899
Hungary,HUN,1818,4046868
Hungary,HUN,1819,4092356
Hungary,HUN,1820,4134289
Hungary,HUN,1821,4172594
Hungary,HUN,1822,4207196
Hungary,HUN,1823,4238019
Hungary,HUN,1824,4269068
Hungary,HUN,1825,4300344
Hungary,HUN,1826,4331849
Hungary,HUN,1827,4363586
Hungary,HUN,1828,4395554
Hungary,HUN,1829,4427757
Hungary,HUN,1830,4460196
Hungary,HUN,1831,4492873
Hungary,HUN,1832,4525789
Hungary,HUN,1833,4558946
Hungary,HUN,1834,4592346
Hungary,HUN,1835,4625990
Hungary,HUN,1836,4659881
Hungary,HUN,1837,4694021
Hungary,HUN,1838,4728411
Hungary,HUN,1839,4763052
Hungary,HUN,1840,4797947
Hungary,HUN,1841,4833098
Hungary,HUN,1842,4868507
Hungary,HUN,1843,4904175
Hungary,HUN,1844,4940104
Hungary,HUN,1845,4976296
Hungary,HUN,1846,5012754
Hungary,HUN,1847,5049479
Hungary,HUN,1848,5086472
Hungary,HUN,1849,5123254
Hungary,HUN,1850,5159819
Hungary,HUN,1851,5195874
Hungary,HUN,1852,5231698
Hungary,HUN,1853,5267286
Hungary,HUN,1854,5303117
Hungary,HUN,1855,5339191
Hungary,HUN,1856,5375510
Hungary,HUN,1857,5412077
Hungary,HUN,1858,5448892
Hungary,HUN,1859,5485958
Hungary,HUN,1860,5523276
Hungary,HUN,1861,5560847
Hungary,HUN,1862,5598674
Hungary,HUN,1863,5636759
Hungary,HUN,1864,5675102
Hungary,HUN,1865,5713707
Hungary,HUN,1866,5752574
Hungary,HUN,1867,5791705
Hungary,HUN,1868,5831102
Hungary,HUN,1869,5869333
Hungary,HUN,1870,5906380
Hungary,HUN,1871,5942227
Hungary,HUN,1872,5976860
Hungary,HUN,1873,6010261
Hungary,HUN,1874,6043848
Hungary,HUN,1875,6077623
Hungary,HUN,1876,6111587
Hungary,HUN,1877,6145740
Hungary,HUN,1878,6180085
Hungary,HUN,1879,6214621
Hungary,HUN,1880,6249350
Hungary,HUN,1881,6284274
Hungary,HUN,1882,6319392
Hungary,HUN,1883,6354707
Hungary,HUN,1884,6390219
Hungary,HUN,1885,6425929
Hungary,HUN,1886,6461839
Hungary,HUN,1887,6497950
Hungary,HUN,1888,6534262
Hungary,HUN,1889,6573067
Hungary,HUN,1890,6614394
Hungary,HUN,1891,6658274
Hungary,HUN,1892,6704738
Hungary,HUN,1893,6753819
Hungary,HUN,1894,6803259
Hungary,HUN,1895,6853061
