Entity,Code,Year,Population
Iceland,ISL,100,8681
Iceland,ISL,200,8858
Iceland,ISL,300,9039
Iceland,ISL,400,9223
Iceland,ISL,500,9411
Iceland,ISL,600,9603
Iceland,ISL,700,9799
Iceland,ISL,800,10000
Iceland,ISL,900,25000
Iceland,ISL,1000,50000
Iceland,ISL,1100,70000
Iceland,ISL,1200,70000
Iceland,ISL,1300,70000
Iceland,ISL,1400,59999
Iceland,ISL,1500,59999
Iceland,ISL,1600,50000
Iceland,ISL,1700,49548
Iceland,ISL,1710,50559
Iceland,ISL,1720,51591
Iceland,ISL,1730,52644
Iceland,ISL,1740,53718
Iceland,ISL,1750,54815
Iceland,ISL,1760,55933
Iceland,ISL,1770,57075
Iceland,ISL,1780,58240
Iceland,ISL,1790,59428
Iceland,ISL,1800,61428
Iceland,ISL,1801,61428
Iceland,ISL,1802,61428
Iceland,ISL,1803,61428
Iceland,ISL,1804,61428
Iceland,ISL,1805,61428
Iceland,ISL,1806,61428
Iceland,ISL,1807,61428
Iceland,ISL,1808,61428
Iceland,ISL,1809,61428
Iceland,ISL,1810,61428
Iceland,ISL,1811,61428
Iceland,ISL,1812,61428
Iceland,ISL,1813,61428
Iceland,ISL,1814,61428
Iceland,ISL,1815,61428
Iceland,ISL,1816,61428
Iceland,ISL,1817,61428
Iceland,ISL,1818,61428
Iceland,ISL,1819,61382
Iceland,ISL,1820,61291
Iceland,ISL,1821,61153
Iceland,ISL,1822,60971
Iceland,ISL,1823,60743
Iceland,ISL,1824,60517
Iceland,ISL,1825,60291
Iceland,ISL,1826,60065
Iceland,ISL,1827,59841
Iceland,ISL,1828,59618
Iceland,ISL,1829,59395
Iceland,ISL,1830,59173
Iceland,ISL,1831,58952
Iceland,ISL,1832,58732
Iceland,ISL,1833,58513
Iceland,ISL,1834,58295
Iceland,ISL,1835,58077
Iceland,ISL,1836,57860
Iceland,ISL,1837,57644
Iceland,ISL,1838,57429
Iceland,ISL,1839,57296
Iceland,ISL,1840,57247
Iceland,ISL,1841,57280
Iceland,ISL,1842,57395
Iceland,ISL,1843,57593
Iceland,ISL,1844,57792
Iceland,ISL,1845,57992
Iceland,ISL,1846,58192
Iceland,ISL,1847,58393
Iceland,ISL,1848,58595
Iceland,ISL,1849,58908
Iceland,ISL,1850,59333
Iceland,ISL,1851,59869
Iceland,ISL,1852,60521
Iceland,ISL,1853,61291
Iceland,ISL,1854,62071
Iceland,ISL,1855,62861
Iceland,ISL,1856,63660
Iceland,ISL,1857,64470
Iceland,ISL,1858,65291
Iceland,ISL,1859,66009
Iceland,ISL,1860,66623
Iceland,ISL,1861,67132
Iceland,ISL,1862,67533
Iceland,ISL,1863,67824
Iceland,ISL,1864,68117
Iceland,ISL,1865,68411
Iceland,ISL,1866,68707
Iceland,ISL,1867,69003
Iceland,ISL,1868,69301
Iceland,ISL,1869,69579
Iceland,ISL,1870,69835
Iceland,ISL,1871,70071
Iceland,ISL,1872,70285
Iceland,ISL,1873,70478
Iceland,ISL,1874,70672
Iceland,ISL,1875,70866
Iceland,ISL,1876,71061
Iceland,ISL,1877,71257
Iceland,ISL,1878,71453
Iceland,ISL,1879,71588
Iceland,ISL,1880,71664
Iceland,ISL,1881,71679
Iceland,ISL,1882,71635
Iceland,ISL,1883,71529
Iceland,ISL,1884,71424
Iceland,ISL,1885,71319
Iceland,ISL,1886,71214
Iceland,ISL,1887,71110
Iceland,ISL,1888,71005
Iceland,ISL,1889,71055
Iceland,ISL,1890,71259
Iceland,ISL,1891,71619
Iceland,ISL,1892,72137
Iceland,ISL,1893,72813
Iceland,ISL,1894,73496
Iceland,ISL,1895,74185
Iceland,ISL,1896,74880
Iceland,ISL,1897,75582
Iceland,ISL,1898,76291
Iceland,ISL,1899,77048
Iceland,ISL,1900,77854
Iceland,ISL,1901,78711
Iceland,ISL,1902,79619
Iceland,ISL,1903,80579
Iceland,ISL,1904,81551
Iceland,ISL,1905,82535
Iceland,ISL,1906,83531
Iceland,ISL,1907,84538
Iceland,ISL,1908,85558
Iceland,ISL,1909,86567
Iceland,ISL,1910,87565
Iceland,ISL,1911,88552
Iceland,ISL,1912,89526
Iceland,ISL,1913,90488
Iceland,ISL,1914,91461
Iceland,ISL,1915,92444
Iceland,ISL,1916,93438
Iceland,ISL,1917,94442
Iceland,ISL,1918,95464
Iceland,ISL,1919,96495
Iceland,ISL,1920,97534
Iceland,ISL,1921,98582
Iceland,ISL,1922,99639
Iceland,ISL,1923,100704
Iceland,ISL,1924,101781
Iceland,ISL,1925,102870
Iceland,ISL,1926,103970
Iceland,ISL,1927,105082
Iceland,ISL,1928,106206
Iceland,ISL,1929,107337
Iceland,ISL,1930,108477
Iceland,ISL,1931,109624
Iceland,ISL,1932,110779
Iceland,ISL,1933,111942
Iceland,ISL,1934,113117
Iceland,ISL,1935,114305
Iceland,ISL,1936,115505
Iceland,ISL,1937,116718
Iceland,ISL,1938,117943
Iceland,ISL,1939,119333
Iceland,ISL,1940,120892
Iceland,ISL,1941,122625
Iceland,ISL,1942,124535
Iceland,ISL,1943,126627
Iceland,ISL,1944,128755
Iceland,ISL,1945,130918
Iceland,ISL,1946,133118
Iceland,ISL,1947,135354
Iceland,ISL,1948,137628
Iceland,ISL,1949,140059
Iceland,ISL,1950,142666
Iceland,ISL,1951,145405
Iceland,ISL,1952,147760
Iceland,ISL,1953,150753
Iceland,ISL,1954,154269
Iceland,ISL,1955,157742
Iceland,ISL,1956,161070
Iceland,ISL,1957,164742
