Entity,Code,Year,Population
Ireland,IRL,100,234393
Ireland,IRL,200,239177
Ireland,IRL,300,244058
Ireland,IRL,400,249039
Ireland,IRL,500,254121
Ireland,IRL,600,259308
Ireland,IRL,700,264600
Ireland,IRL,800,270000
Ireland,IRL,900,285000
Ireland,IRL,1000,300000
Ireland,IRL,1100,399999
Ireland,IRL,1200,600000
Ireland,IRL,1300,799999
Ireland,IRL,1400,600000
Ireland,IRL,1500,799999
Ireland,IRL,1600,1250001
Ireland,IRL,1700,2500002
Ireland,IRL,1710,3056150
Ireland,IRL,1720,3161535
Ireland,IRL,1730,3270558
Ireland,IRL,1740,3383330
Ireland,IRL,1750,3500002
Ireland,IRL,1760,3524998
Ireland,IRL,1770,3550000
Ireland,IRL,1780,4000001
Ireland,IRL,1790,4800000
Ireland,IRL,1800,5250000
Ireland,IRL,1801,5329879
Ireland,IRL,1802,5410972
Ireland,IRL,1803,5493300
Ireland,IRL,1804,5576881
Ireland,IRL,1805,5661733
Ireland,IRL,1806,5747876
Ireland,IRL,1807,5835329
Ireland,IRL,1808,5924114
Ireland,IRL,1809,6014249
Ireland,IRL,1810,6107148
Ireland,IRL,1811,6200068
Ireland,IRL,1812,6294402
Ireland,IRL,1813,6390171
Ireland,IRL,1814,6487397
Ireland,IRL,1815,6586102
Ireland,IRL,1816,6686310
Ireland,IRL,1817,6788042
Ireland,IRL,1818,6891322
Ireland,IRL,1819,6988457
Ireland,IRL,1820,7079278
Ireland,IRL,1821,7163614
Ireland,IRL,1822,7241288
Ireland,IRL,1823,7312122
Ireland,IRL,1824,7383648
Ireland,IRL,1825,7455874
Ireland,IRL,1826,7528807
Ireland,IRL,1827,7602453
Ireland,IRL,1828,7676819
Ireland,IRL,1829,7746740
Ireland,IRL,1830,7812138
Ireland,IRL,1831,7872935
Ireland,IRL,1832,7929052
Ireland,IRL,1833,7980409
Ireland,IRL,1834,8032100
Ireland,IRL,1835,8084125
Ireland,IRL,1836,8136487
Ireland,IRL,1837,8189188
Ireland,IRL,1838,8242230
Ireland,IRL,1839,8252749
Ireland,IRL,1840,8221292
Ireland,IRL,1841,8148395
Ireland,IRL,1842,8034579
Ireland,IRL,1843,7880357
Ireland,IRL,1844,7729095
Ireland,IRL,1845,7580737
Ireland,IRL,1846,7435227
Ireland,IRL,1847,7292509
Ireland,IRL,1848,7152531
Ireland,IRL,1849,7018882
Ireland,IRL,1850,6891380
Ireland,IRL,1851,6768203
Ireland,IRL,1852,6650879
Ireland,IRL,1853,6539235
Ireland,IRL,1854,6429466
Ireland,IRL,1855,6321538
Ireland,IRL,1856,6215422
Ireland,IRL,1857,6111087
Ireland,IRL,1858,6008503
Ireland,IRL,1859,5918580
Ireland,IRL,1860,5841021
Ireland,IRL,1861,5775536
Ireland,IRL,1862,5721842
Ireland,IRL,1863,5679657
Ireland,IRL,1864,5637784
Ireland,IRL,1865,5596218
Ireland,IRL,1866,5554959
Ireland,IRL,1867,5514004
Ireland,IRL,1868,5473350
Ireland,IRL,1869,5436309
Ireland,IRL,1870,5402839
Ireland,IRL,1871,5372898
Ireland,IRL,1872,5346446
Ireland,IRL,1873,5323442
Ireland,IRL,1874,5300537
Ireland,IRL,1875,5277730
Ireland,IRL,1876,5255021
Ireland,IRL,1877,5232409
Ireland,IRL,1878,5209894
Ireland,IRL,1879,5181609
Ireland,IRL,1880,5147638
Ireland,IRL,1881,5108066
Ireland,IRL,1882,5062975
Ireland,IRL,1883,5012447
Ireland,IRL,1884,4962424
Ireland,IRL,1885,4912899
Ireland,IRL,1886,4863868
Ireland,IRL,1887,4815326
