Entity,Code,Year,Population
Italy,ITA,100,7082949
Italy,ITA,200,6706842
Italy,ITA,300,6330710
Italy,ITA,400,5954598
Italy,ITA,500,3984038
Italy,ITA,600,2002851
Italy,ITA,700,3002912
Italy,ITA,800,4002981
Italy,ITA,900,4503054
Italy,ITA,1000,5203117
Italy,ITA,1100,6503226
Italy,ITA,1200,8503322
Italy,ITA,1300,12503423
Italy,ITA,1400,8003594
Italy,ITA,1500,9003790
Italy,ITA,1600,13277017
Italy,ITA,1700,13485409
Italy,ITA,1710,13900223
Italy,ITA,1720,14379574
Italy,ITA,1730,14875479
Italy,ITA,1740,15388497
Italy,ITA,1750,15919171
Italy,ITA,1760,16468175
Italy,ITA,1770,17036072
Italy,ITA,1780,17623606
Italy,ITA,1790,18231400
Italy,ITA,1800,19000000
Italy,ITA,1801,19057138
Italy,ITA,1802,19114447
Italy,ITA,1803,19171929
Italy,ITA,1804,19229584
Italy,ITA,1805,19287412
Italy,ITA,1806,19345415
Italy,ITA,1807,19403591
Italy,ITA,1808,19461943
Italy,ITA,1809,19520470
Italy,ITA,1810,19579349
Italy,ITA,1811,19638229
Italy,ITA,1812,19697286
Italy,ITA,1813,19756521
Italy,ITA,1814,19815934
Italy,ITA,1815,19875525
Italy,ITA,1816,19935296
Italy,ITA,1817,19995247
Italy,ITA,1818,20055377
Italy,ITA,1819,20129529
Italy,ITA,1820,20217832
Italy,ITA,1821,20320419
Italy,ITA,1822,20437423
Italy,ITA,1823,20568978
Italy,ITA,1824,20701381
Italy,ITA,1825,20834635
Italy,ITA,1826,20968748
Italy,ITA,1827,21103723
Italy,ITA,1828,21239568
Italy,ITA,1829,21376294
Italy,ITA,1830,21513909
Italy,ITA,1831,21652416
Italy,ITA,1832,21791823
Italy,ITA,1833,21932135
Italy,ITA,1834,22073351
Italy,ITA,1835,22215476
Italy,ITA,1836,22358516
Italy,ITA,1837,22502477
Italy,ITA,1838,22647364
Italy,ITA,1839,22793194
Italy,ITA,1840,22939972
Italy,ITA,1841,23087704
Italy,ITA,1842,23236396
Italy,ITA,1843,23386055
Italy,ITA,1844,23536678
Italy,ITA,1845,23688271
Italy,ITA,1846,23840841
Italy,ITA,1847,23994393
Italy,ITA,1848,24148934
Italy,ITA,1849,24304454
Italy,ITA,1850,24460960
Italy,ITA,1851,24612813
Italy,ITA,1852,24765592
Italy,ITA,1853,24919302
Italy,ITA,1854,25073965
Italy,ITA,1855,25229586
Italy,ITA,1856,25386172
Italy,ITA,1857,25543728
Italy,ITA,1858,25702261
Italy,ITA,1859,25863255
Italy,ITA,1860,26026734
Italy,ITA,1861,26192723
Italy,ITA,1862,26361247
Italy,ITA,1863,26532332
Italy,ITA,1864,26704525
Italy,ITA,1865,26877835
Italy,ITA,1866,27052267
Italy,ITA,1867,27227831
Italy,ITA,1868,27404532
Italy,ITA,1869,27576990
Italy,ITA,1870,27745148
Italy,ITA,1871,27908950
Italy,ITA,1872,28068339
Italy,ITA,1873,28223256
Italy,ITA,1874,28379027
Italy,ITA,1875,28535657
Italy,ITA,1876,28693149
Italy,ITA,1877,28851509
Italy,ITA,1878,29010741
Italy,ITA,1879,29178818
Italy,ITA,1880,29355842
Italy,ITA,1881,29541914
Italy,ITA,1882,29737139
Italy,ITA,1883,29941621
Italy,ITA,1884,30147508
Italy,ITA,1885,30354809
Italy,ITA,1886,30563534
Italy,ITA,1887,30773692
Italy,ITA,1888,30985293
Italy,ITA,1889,31191675
Italy,ITA,1890,31392763
Italy,ITA,1891,31588484
Italy,ITA,1892,31778763
Italy,ITA,1893,31963526
Italy,ITA,1894,32149360
Italy,ITA,1895,32336274
Italy,ITA,1896,32524272
Italy,ITA,1897,32713362
Italy,ITA,1898,32903549
Italy,ITA,1899,33109815
Italy,ITA,1900,33332371
Italy,ITA,1901,33571430
Italy,ITA,1902,33827207
Italy,ITA,1903,34099919
Italy,ITA,1904,34374827
Italy,ITA,1905,34651950
Italy,ITA,1906,34931305
Italy,ITA,1907,35212911
Italy,ITA,1908,35496784
Italy,ITA,1909,35739219
Italy,ITA,1910,35939804
Italy,ITA,1911,36098124
Italy,ITA,1912,36213760
Italy,ITA,1913,36286291
Italy,ITA,1914,36358965
Italy,ITA,1915,36431783
Italy,ITA,1916,36504744
Italy,ITA,1917,36577850
Italy,ITA,1918,36659635
Italy,ITA,1919,36789373
Italy,ITA,1920,36967588
Italy,ITA,1921,37194808
Italy,ITA,1922,37471567
Italy,ITA,1923,37798403
Italy,ITA,1924,38128090
Italy,ITA,1925,38460652
Italy,ITA,1926,38796116
Italy,ITA,1927,39134505
Italy,ITA,1928,39475845
Italy,ITA,1929,39817412
Italy,ITA,1930,40159184
Italy,ITA,1931,40501139
Italy,ITA,1932,40843255
Italy,ITA,1933,41185511
Italy,ITA,1934,41530635
Italy,ITA,1935,41878651
Italy,ITA,1936,42229584
Italy,ITA,1937,42583457
Italy,ITA,1938,42940295
Italy,ITA,1939,43279914
Italy,ITA,1940,43602046
Italy,ITA,1941,43906421
Italy,ITA,1942,44192767
Italy,ITA,1943,44460808
Italy,ITA,1944,44730474
Italy,ITA,1945,45001776
Italy,ITA,1946,45274723
Italy,ITA,1947,45549326
Italy,ITA,1948,45825595
Italy,ITA,1949,46106450
Italy,ITA,1950,46391944
Italy,ITA,1951,46750764
Italy,ITA,1952,47016488
Italy,ITA,1953,47412148
Italy,ITA,1954,47833768
Italy,ITA,1955,48130728
Italy,ITA,1956,48403440
Italy,ITA,1957,48660256
Italy,ITA,1958,48930472
Italy,ITA,1959,49224672
Italy,ITA,1960,49517708
Italy,ITA,1961,49812724
Italy,ITA,1962,50162244
Italy,ITA,1963,50555128
Italy,ITA,1964,50997780
Italy,ITA,1965,51452860
Italy,ITA,1966,51882568
Italy,ITA,1967,52294440
Italy,ITA,1968,52661072
Italy,ITA,1969,53001508
Italy,ITA,1970,53324036
Italy,ITA,1971,53636100
Italy,ITA,1972,53995428
Italy,ITA,1973,54379588
Italy,ITA,1974,54750684
Italy,ITA,1975,55093992
Italy,ITA,1976,55388904
Italy,ITA,1977,55649672
Italy,ITA,1978,55877016
Italy,ITA,1979,56070680
Italy,ITA,1980,56329480
Italy,ITA,1981,56532908
Italy,ITA,1982,56585840
Italy,ITA,1983,56607516
Italy,ITA,1984,56620236
Italy,ITA,1985,56636468
Italy,ITA,1986,56639056
Italy,ITA,1987,56644528
Italy,ITA,1988,56670880
Italy,ITA,1989,56711524
Italy,ITA,1990,56756560
Italy,ITA,1991,56794488
Italy,ITA,1992,56833184
Italy,ITA,1993,56869456
Italy,ITA,1994,56883820
Italy,ITA,1995,56885124
Italy,ITA,1996,56898972
Italy,ITA,1997,56925808
Italy,ITA,1998,56938736
Italy,ITA,1999,56945064
Italy,ITA,2000,56966400
Italy,ITA,2001,56994992
Italy,ITA,2002,57107576
Italy,ITA,2003,57425176
Italy,ITA,2004,57860664
Italy,ITA,2005,58199876
Italy,ITA,2006,58429904
Italy,ITA,2007,58778480
Italy,ITA,2008,59224228
Italy,ITA,2009,59562844
Italy,ITA,2010,59822452
Italy,ITA,2011,60025952
Italy,ITA,2012,60190152
Italy,ITA,2013,60312600
Italy,ITA,2014,60322792
Italy,ITA,2015,60232908
Italy,ITA,2016,60118628
Italy,ITA,2017,60004024
Italy,ITA,2018,59877432
Italy,ITA,2019,59727936
Italy,ITA,2020,59500576
Italy,ITA,2021,59240336
