Entity,Code,Year,Population
Kosovo,OWID_KOS,1800,383800
Kosovo,OWID_KOS,1820,383800
Kosovo,OWID_KOS,1950,767280
Kosovo,OWID_KOS,1951,789113
Kosovo,OWID_KOS,1952,811994
Kosovo,OWID_KOS,1953,834870
Kosovo,OWID_KOS,1954,856560
Kosovo,OWID_KOS,1955,877852
Kosovo,OWID_KOS,1956,899522
Kosovo,OWID_KOS,1957,921556
Kosovo,OWID_KOS,1958,943924
Kosovo,OWID_KOS,1959,966743
Kosovo,OWID_KOS,1960,990155
Kosovo,OWID_KOS,1961,1014214
Kosovo,OWID_KOS,1962,1038623
Kosovo,OWID_KOS,1963,1063178
Kosovo,OWID_KOS,1964,1087707
Kosovo,OWID_KOS,1965,1111818
Kosovo,OWID_KOS,1966,1135523
Kosovo,OWID_KOS,1967,1159618
Kosovo,OWID_KOS,1968,1184649
Kosovo,OWID_KOS,1969,1211024
Kosovo,OWID_KOS,1970,1238240
Kosovo,OWID_KOS,1971,1267635
Kosovo,OWID_KOS,1972,1300788
Kosovo,OWID_KOS,1973,1335441
Kosovo,OWID_KOS,1974,1370854
Kosovo,OWID_KOS,1975,1406892
Kosovo,OWID_KOS,1976,1443500
Kosovo,OWID_KOS,1977,1480324
Kosovo,OWID_KOS,1978,1516215
Kosovo,OWID_KOS,1979,1551610
Kosovo,OWID_KOS,1980,1589403
Kosovo,OWID_KOS,1981,1627817
Kosovo,OWID_KOS,1982,1665990
Kosovo,OWID_KOS,1983,1706005
Kosovo,OWID_KOS,1984,1746877
Kosovo,OWID_KOS,1985,1787433
Kosovo,OWID_KOS,1986,1827155
Kosovo,OWID_KOS,1987,1865135
Kosovo,OWID_KOS,1988,1898994
Kosovo,OWID_KOS,1989,1931022
Kosovo,OWID_KOS,1990,1964994
Kosovo,OWID_KOS,1991,2001990
Kosovo,OWID_KOS,1992,2039038
Kosovo,OWID_KOS,1993,2073994
Kosovo,OWID_KOS,1994,2107943
Kosovo,OWID_KOS,1995,2141414
Kosovo,OWID_KOS,1996,2173719
Kosovo,OWID_KOS,1997,2204871
Kosovo,OWID_KOS,1998,2090498
Kosovo,OWID_KOS,1999,1888582
Kosovo,OWID_KOS,2000,1823291
Kosovo,OWID_KOS,2001,1840261
Kosovo,OWID_KOS,2002,1846788
Kosovo,OWID_KOS,2003,1839437
Kosovo,OWID_KOS,2004,1832246
Kosovo,OWID_KOS,2005,1825054
Kosovo,OWID_KOS,2006,1817660
Kosovo,OWID_KOS,2007,1810225
Kosovo,OWID_KOS,2008,1803379
Kosovo,OWID_KOS,2009,1797465
Kosovo,OWID_KOS,2010,1792559
Kosovo,OWID_KOS,2011,1799340
Kosovo,OWID_KOS,2012,1811418
Kosovo,OWID_KOS,2013,1805676
Kosovo,OWID_KOS,2014,1777812
Kosovo,OWID_KOS,2015,1759122
Kosovo,OWID_KOS,2016,1750724
Kosovo,OWID_KOS,2017,1731670
Kosovo,OWID_KOS,2018,1709966
Kosovo,OWID_KOS,2019,1686856
Kosovo,OWID_KOS,2020,1670702
Kosovo,OWID_KOS,2021,1662022
