Entity,Code,Year,Population
Latvia,LVA,100,41938
Latvia,LVA,200,44146
Latvia,LVA,300,46469
Latvia,LVA,400,48915
Latvia,LVA,500,51489
Latvia,LVA,600,54199
Latvia,LVA,700,57052
Latvia,LVA,800,60055
Latvia,LVA,900,63216
Latvia,LVA,1000,66543
Latvia,LVA,1100,70045
Latvia,LVA,1200,73732
Latvia,LVA,1300,77612
Latvia,LVA,1400,81697
Latvia,LVA,1500,85997
Latvia,LVA,1600,90523
Latvia,LVA,1700,95288
Latvia,LVA,1710,111169
Latvia,LVA,1720,129697
Latvia,LVA,1730,151314
Latvia,LVA,1740,176533
Latvia,LVA,1750,205955
Latvia,LVA,1760,240281
Latvia,LVA,1770,280327
Latvia,LVA,1780,327049
Latvia,LVA,1790,381557
Latvia,LVA,1800,590588
Latvia,LVA,1801,590588
Latvia,LVA,1802,590588
Latvia,LVA,1803,590588
Latvia,LVA,1804,590588
Latvia,LVA,1805,590588
Latvia,LVA,1806,590588
Latvia,LVA,1807,590588
Latvia,LVA,1808,590588
Latvia,LVA,1809,590588
Latvia,LVA,1810,590588
Latvia,LVA,1811,590588
Latvia,LVA,1812,590588
Latvia,LVA,1813,590588
Latvia,LVA,1814,590588
Latvia,LVA,1815,590588
Latvia,LVA,1816,590588
Latvia,LVA,1817,590588
Latvia,LVA,1818,590588
Latvia,LVA,1819,592524
Latvia,LVA,1820,596429
Latvia,LVA,1821,602334
Latvia,LVA,1822,610273
Latvia,LVA,1823,620277
Latvia,LVA,1824,630446
Latvia,LVA,1825,640782
Latvia,LVA,1826,651287
Latvia,LVA,1827,661965
Latvia,LVA,1828,672817
Latvia,LVA,1829,683847
Latvia,LVA,1830,695058
Latvia,LVA,1831,706453
Latvia,LVA,1832,718035
Latvia,LVA,1833,729807
Latvia,LVA,1834,741771
Latvia,LVA,1835,753932
Latvia,LVA,1836,766292
Latvia,LVA,1837,778855
Latvia,LVA,1838,791623
Latvia,LVA,1839,804602
Latvia,LVA,1840,817792
Latvia,LVA,1841,831199
Latvia,LVA,1842,844826
Latvia,LVA,1843,858676
Latvia,LVA,1844,872754
Latvia,LVA,1845,887062
Latvia,LVA,1846,901605
Latvia,LVA,1847,916386
Latvia,LVA,1848,931409
Latvia,LVA,1849,946679
Latvia,LVA,1850,962199
Latvia,LVA,1851,977785
Latvia,LVA,1852,993623
Latvia,LVA,1853,1009718
Latvia,LVA,1854,1026073
Latvia,LVA,1855,1042693
Latvia,LVA,1856,1059583
Latvia,LVA,1857,1076746
Latvia,LVA,1858,1094187
Latvia,LVA,1859,1111910
Latvia,LVA,1860,1129921
Latvia,LVA,1861,1148223
Latvia,LVA,1862,1166822
Latvia,LVA,1863,1185722
Latvia,LVA,1864,1204928
Latvia,LVA,1865,1224444
Latvia,LVA,1866,1244278
Latvia,LVA,1867,1264432
Latvia,LVA,1868,1284912
Latvia,LVA,1869,1305725
Latvia,LVA,1870,1326874
Latvia,LVA,1871,1348366
Latvia,LVA,1872,1370206
Latvia,LVA,1873,1392400
Latvia,LVA,1874,1414953
Latvia,LVA,1875,1437871
Latvia,LVA,1876,1461160
Latvia,LVA,1877,1484827
Latvia,LVA,1878,1508877
Latvia,LVA,1879,1533316
Latvia,LVA,1880,1558152
Latvia,LVA,1881,1583389
Latvia,LVA,1882,1609035
Latvia,LVA,1883,1635097
Latvia,LVA,1884,1661580
Latvia,LVA,1885,1688492
Latvia,LVA,1886,1715841
Latvia,LVA,1887,1743632
Latvia,LVA,1888,1771873
Latvia,LVA,1889,1800571
Latvia,LVA,1890,1829735
Latvia,LVA,1891,1859370
Latvia,LVA,1892,1889486
Latvia,LVA,1893,1920089
Latvia,LVA,1894,1951188
Latvia,LVA,1895,1982790
Latvia,LVA,1896,2014904
Latvia,LVA,1897,2047538
Latvia,LVA,1898,2080701
Latvia,LVA,1899,2114401
Latvia,LVA,1900,2148646
Latvia,LVA,1901,2183446
Latvia,LVA,1902,2218809
Latvia,LVA,1903,2254746
Latvia,LVA,1904,2291264
Latvia,LVA,1905,2328373
Latvia,LVA,1906,2366084
Latvia,LVA,1907,2404405
Latvia,LVA,1908,2443347
Latvia,LVA,1909,2458540
Latvia,LVA,1910,2450389
Latvia,LVA,1911,2419277
Latvia,LVA,1912,2365569
Latvia,LVA,1913,2289615
Latvia,LVA,1914,2216099
Latvia,LVA,1915,2144944
Latvia,LVA,1916,2076073
Latvia,LVA,1917,2009414
Latvia,LVA,1918,1945275
Latvia,LVA,1919,1895880
Latvia,LVA,1920,1860798
Latvia,LVA,1921,1839607
Latvia,LVA,1922,1831902
Latvia,LVA,1923,1837292
Latvia,LVA,1924,1842696
Latvia,LVA,1925,1848117
Latvia,LVA,1926,1853554
Latvia,LVA,1927,1859007
Latvia,LVA,1928,1864476
Latvia,LVA,1929,1869852
Latvia,LVA,1930,1875135
Latvia,LVA,1931,1880325
Latvia,LVA,1932,1885420
Latvia,LVA,1933,1890421
Latvia,LVA,1934,1895435
Latvia,LVA,1935,1900462
Latvia,LVA,1936,1905503
Latvia,LVA,1937,1910557
Latvia,LVA,1938,1915624
Latvia,LVA,1939,1919396
Latvia,LVA,1940,1921871
Latvia,LVA,1941,1923045
Latvia,LVA,1942,1922916
Latvia,LVA,1943,1921482
Latvia,LVA,1944,1920049
Latvia,LVA,1945,1918617
Latvia,LVA,1946,1917186
Latvia,LVA,1947,1915756
Latvia,LVA,1948,1914327
Latvia,LVA,1949,1916573
Latvia,LVA,1950,1922524
Latvia,LVA,1951,1944999
Latvia,LVA,1952,1967170
Latvia,LVA,1953,1988469
Latvia,LVA,1954,2010067
Latvia,LVA,1955,2032506
Latvia,LVA,1956,2054645
Latvia,LVA,1957,2077358
Latvia,LVA,1958,2101587
Latvia,LVA,1959,2127087
Latvia,LVA,1960,2154253
Latvia,LVA,1961,2182716
Latvia,LVA,1962,2210152
Latvia,LVA,1963,2236423
Latvia,LVA,1964,2262862
Latvia,LVA,1965,2287813
Latvia,LVA,1966,2310943
Latvia,LVA,1967,2333511
Latvia,LVA,1968,2355476
Latvia,LVA,1969,2376691
Latvia,LVA,1970,2397412
Latvia,LVA,1971,2418302
Latvia,LVA,1972,2438490
Latvia,LVA,1973,2457030
Latvia,LVA,1974,2475080
Latvia,LVA,1975,2492531
Latvia,LVA,1976,2508852
Latvia,LVA,1977,2524842
Latvia,LVA,1978,2540598
Latvia,LVA,1979,2556226
Latvia,LVA,1980,2572039
Latvia,LVA,1981,2588054
Latvia,LVA,1982,2604944
Latvia,LVA,1983,2623160
Latvia,LVA,1984,2640609
Latvia,LVA,1985,2655099
Latvia,LVA,1986,2668865
Latvia,LVA,1987,2681830
Latvia,LVA,1988,2690475
Latvia,LVA,1989,2693388
Latvia,LVA,1990,2689398
Latvia,LVA,1991,2678970
Latvia,LVA,1992,2662885
Latvia,LVA,1993,2638889
Latvia,LVA,1994,2606464
Latvia,LVA,1995,2570150
Latvia,LVA,1996,2534288
Latvia,LVA,1997,2498881
Latvia,LVA,1998,2462333
Latvia,LVA,1999,2426357
Latvia,LVA,2000,2392536
Latvia,LVA,2001,2359255
Latvia,LVA,2002,2326150
Latvia,LVA,2003,2294342
Latvia,LVA,2004,2263453
Latvia,LVA,2005,2233165
Latvia,LVA,2006,2203917
Latvia,LVA,2007,2176059
Latvia,LVA,2008,2150411
Latvia,LVA,2009,2126268
Latvia,LVA,2010,2101537
Latvia,LVA,2011,2076974
Latvia,LVA,2012,2053635
Latvia,LVA,2013,2031491
Latvia,LVA,2014,2011040
Latvia,LVA,2015,1991951
Latvia,LVA,2016,1973477
Latvia,LVA,2017,1954861
Latvia,LVA,2018,1935632
Latvia,LVA,2019,1916552
Latvia,LVA,2020,1897057
Latvia,LVA,2021,1873926
