Entity,Code,Year,Population
Liechtenstein,LIE,100,5287
Liechtenstein,LIE,200,5395
Liechtenstein,LIE,300,5505
Liechtenstein,LIE,400,5617
Liechtenstein,LIE,500,5732
Liechtenstein,LIE,600,5849
Liechtenstein,LIE,700,5968
Liechtenstein,LIE,800,6090
Liechtenstein,LIE,900,6215
Liechtenstein,LIE,1000,6341
Liechtenstein,LIE,1100,6471
Liechtenstein,LIE,1200,6603
Liechtenstein,LIE,1300,6738
Liechtenstein,LIE,1400,6875
Liechtenstein,LIE,1500,7016
Liechtenstein,LIE,1600,7159
Liechtenstein,LIE,1700,7305
Liechtenstein,LIE,1710,7492
Liechtenstein,LIE,1720,7684
Liechtenstein,LIE,1730,7881
Liechtenstein,LIE,1740,8083
Liechtenstein,LIE,1750,8291
Liechtenstein,LIE,1760,8503
Liechtenstein,LIE,1770,8721
Liechtenstein,LIE,1780,8945
Liechtenstein,LIE,1790,9174
Liechtenstein,LIE,1800,5802
Liechtenstein,LIE,1801,5802
Liechtenstein,LIE,1802,5802
Liechtenstein,LIE,1803,5802
Liechtenstein,LIE,1804,5802
Liechtenstein,LIE,1805,5802
Liechtenstein,LIE,1806,5802
Liechtenstein,LIE,1807,5802
Liechtenstein,LIE,1808,5802
Liechtenstein,LIE,1809,5802
Liechtenstein,LIE,1810,5802
Liechtenstein,LIE,1811,5802
Liechtenstein,LIE,1812,5802
Liechtenstein,LIE,1813,5802
Liechtenstein,LIE,1814,5802
Liechtenstein,LIE,1815,5802
Liechtenstein,LIE,1816,5802
Liechtenstein,LIE,1817,5802
Liechtenstein,LIE,1818,5802
Liechtenstein,LIE,1819,5810
Liechtenstein,LIE,1820,5827
Liechtenstein,LIE,1821,5852
Liechtenstein,LIE,1822,5885
Liechtenstein,LIE,1823,5927
Liechtenstein,LIE,1824,5970
Liechtenstein,LIE,1825,6012
Liechtenstein,LIE,1826,6055
Liechtenstein,LIE,1827,6098
Liechtenstein,LIE,1828,6142
Liechtenstein,LIE,1829,6186
Liechtenstein,LIE,1830,6230
Liechtenstein,LIE,1831,6274
Liechtenstein,LIE,1832,6319
Liechtenstein,LIE,1833,6364
Liechtenstein,LIE,1834,6409
Liechtenstein,LIE,1835,6455
Liechtenstein,LIE,1836,6501
Liechtenstein,LIE,1837,6548
Liechtenstein,LIE,1838,6594
Liechtenstein,LIE,1839,6641
Liechtenstein,LIE,1840,6689
Liechtenstein,LIE,1841,6736
Liechtenstein,LIE,1842,6784
Liechtenstein,LIE,1843,6833
Liechtenstein,LIE,1844,6882
Liechtenstein,LIE,1845,6931
Liechtenstein,LIE,1846,6980
Liechtenstein,LIE,1847,7030
Liechtenstein,LIE,1848,7080
Liechtenstein,LIE,1849,7130
Liechtenstein,LIE,1850,7181
Liechtenstein,LIE,1851,7234
Liechtenstein,LIE,1852,7287
Liechtenstein,LIE,1853,7340
Liechtenstein,LIE,1854,7393
Liechtenstein,LIE,1855,7447
Liechtenstein,LIE,1856,7502
Liechtenstein,LIE,1857,7556
Liechtenstein,LIE,1858,7612
Liechtenstein,LIE,1859,7667
Liechtenstein,LIE,1860,7723
Liechtenstein,LIE,1861,7779
Liechtenstein,LIE,1862,7836
Liechtenstein,LIE,1863,7893
Liechtenstein,LIE,1864,7951
Liechtenstein,LIE,1865,8009
Liechtenstein,LIE,1866,8068
Liechtenstein,LIE,1867,8126
Liechtenstein,LIE,1868,8186
Liechtenstein,LIE,1869,8246
Liechtenstein,LIE,1870,8306
Liechtenstein,LIE,1871,8366
Liechtenstein,LIE,1872,8427
Liechtenstein,LIE,1873,8489
Liechtenstein,LIE,1874,8551
Liechtenstein,LIE,1875,8613
Liechtenstein,LIE,1876,8676
Liechtenstein,LIE,1877,8739
Liechtenstein,LIE,1878,8803
Liechtenstein,LIE,1879,8868
Liechtenstein,LIE,1880,8932
Liechtenstein,LIE,1881,8997
Liechtenstein,LIE,1882,9063
Liechtenstein,LIE,1883,9129
Liechtenstein,LIE,1884,9196
Liechtenstein,LIE,1885,9263
Liechtenstein,LIE,1886,9331
Liechtenstein,LIE,1887,9399
Liechtenstein,LIE,1888,9467
Liechtenstein,LIE,1889,9536
Liechtenstein,LIE,1890,9606
Liechtenstein,LIE,1891,9676
Liechtenstein,LIE,1892,9747
Liechtenstein,LIE,1893,9818
Liechtenstein,LIE,1894,9890
Liechtenstein,LIE,1895,9962
Liechtenstein,LIE,1896,10034
Liechtenstein,LIE,1897,10108
Liechtenstein,LIE,1898,10181
Liechtenstein,LIE,1899,10256
Liechtenstein,LIE,1900,10331
Liechtenstein,LIE,1901,10406
