Entity,Code,Year,Population
Lithuania,LTU,100,48893
Lithuania,LTU,200,51467
Lithuania,LTU,300,54175
Lithuania,LTU,400,57027
Lithuania,LTU,500,60028
Lithuania,LTU,600,63188
Lithuania,LTU,700,66513
Lithuania,LTU,800,70014
Lithuania,LTU,900,73699
Lithuania,LTU,1000,77578
Lithuania,LTU,1100,81661
Lithuania,LTU,1200,85959
Lithuania,LTU,1300,90483
Lithuania,LTU,1400,95245
Lithuania,LTU,1500,100258
Lithuania,LTU,1600,105535
Lithuania,LTU,1700,111090
Lithuania,LTU,1710,129605
Lithuania,LTU,1720,151205
Lithuania,LTU,1730,176407
Lithuania,LTU,1740,205808
Lithuania,LTU,1750,240109
Lithuania,LTU,1760,280127
Lithuania,LTU,1770,326815
Lithuania,LTU,1780,381285
Lithuania,LTU,1790,444832
Lithuania,LTU,1800,778655
Lithuania,LTU,1801,778655
Lithuania,LTU,1802,778655
Lithuania,LTU,1803,778655
Lithuania,LTU,1804,778655
Lithuania,LTU,1805,778655
Lithuania,LTU,1806,778655
Lithuania,LTU,1807,778655
Lithuania,LTU,1808,778655
Lithuania,LTU,1809,778655
Lithuania,LTU,1810,778655
Lithuania,LTU,1811,778655
Lithuania,LTU,1812,778655
Lithuania,LTU,1813,778655
Lithuania,LTU,1814,778655
Lithuania,LTU,1815,778655
Lithuania,LTU,1816,778655
Lithuania,LTU,1817,778655
Lithuania,LTU,1818,778655
Lithuania,LTU,1819,780957
Lithuania,LTU,1820,785594
Lithuania,LTU,1821,792601
Lithuania,LTU,1822,802014
Lithuania,LTU,1823,813867
Lithuania,LTU,1824,825895
Lithuania,LTU,1825,838101
Lithuania,LTU,1826,850488
Lithuania,LTU,1827,863057
Lithuania,LTU,1828,875813
Lithuania,LTU,1829,888757
Lithuania,LTU,1830,901892
Lithuania,LTU,1831,915221
Lithuania,LTU,1832,928747
Lithuania,LTU,1833,942473
Lithuania,LTU,1834,956403
Lithuania,LTU,1835,970537
Lithuania,LTU,1836,984881
Lithuania,LTU,1837,999437
Lithuania,LTU,1838,1014208
Lithuania,LTU,1839,1029197
Lithuania,LTU,1840,1044408
Lithuania,LTU,1841,1059844
Lithuania,LTU,1842,1075507
Lithuania,LTU,1843,1091403
Lithuania,LTU,1844,1107533
Lithuania,LTU,1845,1123901
Lithuania,LTU,1846,1140512
Lithuania,LTU,1847,1157368
Lithuania,LTU,1848,1174473
Lithuania,LTU,1849,1191830
Lithuania,LTU,1850,1209445
Lithuania,LTU,1851,1227363
Lithuania,LTU,1852,1245548
Lithuania,LTU,1853,1264001
Lithuania,LTU,1854,1282728
Lithuania,LTU,1855,1301733
Lithuania,LTU,1856,1321019
Lithuania,LTU,1857,1340590
Lithuania,LTU,1858,1360452
Lithuania,LTU,1859,1380608
Lithuania,LTU,1860,1401063
Lithuania,LTU,1861,1421820
Lithuania,LTU,1862,1442886
Lithuania,LTU,1863,1464263
Lithuania,LTU,1864,1485957
Lithuania,LTU,1865,1507972
Lithuania,LTU,1866,1530314
Lithuania,LTU,1867,1552986
Lithuania,LTU,1868,1575995
Lithuania,LTU,1869,1599344
Lithuania,LTU,1870,1623040
Lithuania,LTU,1871,1647086
Lithuania,LTU,1872,1671488
Lithuania,LTU,1873,1696253
Lithuania,LTU,1874,1721384
Lithuania,LTU,1875,1746887
Lithuania,LTU,1876,1772768
Lithuania,LTU,1877,1799033
Lithuania,LTU,1878,1825687
Lithuania,LTU,1879,1852735
Lithuania,LTU,1880,1880185
Lithuania,LTU,1881,1908041
Lithuania,LTU,1882,1936310
Lithuania,LTU,1883,1964997
Lithuania,LTU,1884,1994110
Lithuania,LTU,1885,2023654
Lithuania,LTU,1886,2053636
Lithuania,LTU,1887,2084061
Lithuania,LTU,1888,2114938
Lithuania,LTU,1889,2146272
Lithuania,LTU,1890,2178071
Lithuania,LTU,1891,2210340
Lithuania,LTU,1892,2243087
Lithuania,LTU,1893,2276320
Lithuania,LTU,1894,2310045
Lithuania,LTU,1895,2344270
Lithuania,LTU,1896,2379002
Lithuania,LTU,1897,2414248
Lithuania,LTU,1898,2450017
Lithuania,LTU,1899,2486315
Lithuania,LTU,1900,2523151
Lithuania,LTU,1901,2560533
Lithuania,LTU,1902,2598469
Lithuania,LTU,1903,2636967
Lithuania,LTU,1904,2676035
Lithuania,LTU,1905,2715682
Lithuania,LTU,1906,2755916
Lithuania,LTU,1907,2796747
Lithuania,LTU,1908,2838182
Lithuania,LTU,1909,2856127
Lithuania,LTU,1910,2850870
Lithuania,LTU,1911,2822686
Lithuania,LTU,1912,2771839
Lithuania,LTU,1913,2698580
Lithuania,LTU,1914,2627257
Lithuania,LTU,1915,2557819
Lithuania,LTU,1916,2490216
Lithuania,LTU,1917,2424401
Lithuania,LTU,1918,2360240
Lithuania,LTU,1919,2313316
Lithuania,LTU,1920,2283303
Lithuania,LTU,1921,2269882
Lithuania,LTU,1922,2272745
Lithuania,LTU,1923,2291594
Lithuania,LTU,1924,2310599
Lithuania,LTU,1925,2329762
Lithuania,LTU,1926,2349083
Lithuania,LTU,1927,2368565
Lithuania,LTU,1928,2388209
Lithuania,LTU,1929,2404387
Lithuania,LTU,1930,2417070
Lithuania,LTU,1931,2426224
Lithuania,LTU,1932,2431818
Lithuania,LTU,1933,2433819
Lithuania,LTU,1934,2435821
Lithuania,LTU,1935,2437825
Lithuania,LTU,1936,2439831
Lithuania,LTU,1937,2441838
Lithuania,LTU,1938,2443847
Lithuania,LTU,1939,2447639
Lithuania,LTU,1940,2453223
Lithuania,LTU,1941,2460610
Lithuania,LTU,1942,2469807
Lithuania,LTU,1943,2480826
Lithuania,LTU,1944,2491894
Lithuania,LTU,1945,2503011
Lithuania,LTU,1946,2514177
Lithuania,LTU,1947,2525394
Lithuania,LTU,1948,2536661
Lithuania,LTU,1949,2549788
Lithuania,LTU,1950,2564806
Lithuania,LTU,1951,2589209
Lithuania,LTU,1952,2615048
Lithuania,LTU,1953,2641914
Lithuania,LTU,1954,2669865
Lithuania,LTU,1955,2699055
Lithuania,LTU,1956,2729754
Lithuania,LTU,1957,2762990
Lithuania,LTU,1958,2799009
Lithuania,LTU,1959,2836511
Lithuania,LTU,1960,2875686
Lithuania,LTU,1961,2915636
Lithuania,LTU,1962,2952463
Lithuania,LTU,1963,2986535
Lithuania,LTU,1964,3020459
Lithuania,LTU,1965,3052981
Lithuania,LTU,1966,3084152
Lithuania,LTU,1967,3115198
Lithuania,LTU,1968,3146355
Lithuania,LTU,1969,3177835
Lithuania,LTU,1970,3210153
Lithuania,LTU,1971,3243681
Lithuania,LTU,1972,3276294
Lithuania,LTU,1973,3307076
Lithuania,LTU,1974,3337693
Lithuania,LTU,1975,3368288
Lithuania,LTU,1976,3399024
Lithuania,LTU,1977,3430118
Lithuania,LTU,1978,3460856
Lithuania,LTU,1979,3491440
Lithuania,LTU,1980,3521205
Lithuania,LTU,1981,3550543
Lithuania,LTU,1982,3580827
Lithuania,LTU,1983,3612642
Lithuania,LTU,1984,3643842
Lithuania,LTU,1985,3672853
Lithuania,LTU,1986,3702823
Lithuania,LTU,1987,3732010
Lithuania,LTU,1988,3755543
Lithuania,LTU,1989,3773181
Lithuania,LTU,1990,3785851
Lithuania,LTU,1991,3793430
Lithuania,LTU,1992,3795748
Lithuania,LTU,1993,3788532
Lithuania,LTU,1994,3770461
Lithuania,LTU,1995,3747269
Lithuania,LTU,1996,3722023
Lithuania,LTU,1997,3694897
Lithuania,LTU,1998,3665514
Lithuania,LTU,1999,3633949
