Entity,Code,Year,Population
North Macedonia,MKD,100,121766
North Macedonia,MKD,200,123669
North Macedonia,MKD,300,125601
North Macedonia,MKD,400,127563
North Macedonia,MKD,500,129557
North Macedonia,MKD,600,131581
North Macedonia,MKD,700,133637
North Macedonia,MKD,800,135725
North Macedonia,MKD,900,137846
North Macedonia,MKD,1000,140000
North Macedonia,MKD,1100,148000
North Macedonia,MKD,1200,156000
North Macedonia,MKD,1300,164000
North Macedonia,MKD,1400,172000
North Macedonia,MKD,1500,180000
North Macedonia,MKD,1600,220000
North Macedonia,MKD,1700,220000
North Macedonia,MKD,1710,222180
North Macedonia,MKD,1720,229842
North Macedonia,MKD,1730,237767
North Macedonia,MKD,1740,245966
North Macedonia,MKD,1750,254448
North Macedonia,MKD,1760,263222
North Macedonia,MKD,1770,272299
North Macedonia,MKD,1780,281688
North Macedonia,MKD,1790,291402
North Macedonia,MKD,1800,391865
North Macedonia,MKD,1801,391865
North Macedonia,MKD,1802,391865
North Macedonia,MKD,1803,391865
North Macedonia,MKD,1804,391865
North Macedonia,MKD,1805,391865
North Macedonia,MKD,1806,391865
North Macedonia,MKD,1807,391865
North Macedonia,MKD,1808,391865
North Macedonia,MKD,1809,391865
North Macedonia,MKD,1810,391865
North Macedonia,MKD,1811,391865
North Macedonia,MKD,1812,391865
North Macedonia,MKD,1813,391865
North Macedonia,MKD,1814,391865
North Macedonia,MKD,1815,391865
North Macedonia,MKD,1816,391865
North Macedonia,MKD,1817,391865
North Macedonia,MKD,1818,391865
North Macedonia,MKD,1819,392555
North Macedonia,MKD,1820,393941
North Macedonia,MKD,1821,396029
North Macedonia,MKD,1822,398826
North Macedonia,MKD,1823,402337
North Macedonia,MKD,1824,405879
North Macedonia,MKD,1825,409452
North Macedonia,MKD,1826,413057
North Macedonia,MKD,1827,416693
North Macedonia,MKD,1828,420362
North Macedonia,MKD,1829,424063
North Macedonia,MKD,1830,427796
North Macedonia,MKD,1831,431562
North Macedonia,MKD,1832,435361
North Macedonia,MKD,1833,439194
North Macedonia,MKD,1834,443061
North Macedonia,MKD,1835,446961
North Macedonia,MKD,1836,450896
North Macedonia,MKD,1837,454866
North Macedonia,MKD,1838,458870
North Macedonia,MKD,1839,462910
North Macedonia,MKD,1840,466985
North Macedonia,MKD,1841,471097
North Macedonia,MKD,1842,475244
North Macedonia,MKD,1843,479428
North Macedonia,MKD,1844,483649
North Macedonia,MKD,1845,487907
North Macedonia,MKD,1846,492202
North Macedonia,MKD,1847,496535
North Macedonia,MKD,1848,500906
North Macedonia,MKD,1849,505316
North Macedonia,MKD,1850,509765
North Macedonia,MKD,1851,514410
North Macedonia,MKD,1852,519097
North Macedonia,MKD,1853,523827
North Macedonia,MKD,1854,528600
North Macedonia,MKD,1855,533416
North Macedonia,MKD,1856,538276
North Macedonia,MKD,1857,543180
North Macedonia,MKD,1858,548129
North Macedonia,MKD,1859,553123
North Macedonia,MKD,1860,558163
North Macedonia,MKD,1861,563248
North Macedonia,MKD,1862,568380
North Macedonia,MKD,1863,573558
North Macedonia,MKD,1864,578783
North Macedonia,MKD,1865,584056
North Macedonia,MKD,1866,589377
North Macedonia,MKD,1867,594746
North Macedonia,MKD,1868,600165
North Macedonia,MKD,1869,605632
North Macedonia,MKD,1870,611150
North Macedonia,MKD,1871,616717
North Macedonia,MKD,1872,622335
North Macedonia,MKD,1873,628004
North Macedonia,MKD,1874,633725
North Macedonia,MKD,1875,639498
North Macedonia,MKD,1876,645324
North Macedonia,MKD,1877,651202
North Macedonia,MKD,1878,657134
North Macedonia,MKD,1879,663120
North Macedonia,MKD,1880,669160
North Macedonia,MKD,1881,675256
North Macedonia,MKD,1882,681406
North Macedonia,MKD,1883,687613
North Macedonia,MKD,1884,693876
North Macedonia,MKD,1885,700197
North Macedonia,MKD,1886,706574
North Macedonia,MKD,1887,713010
North Macedonia,MKD,1888,719504
North Macedonia,MKD,1889,726058
North Macedonia,MKD,1890,732671
North Macedonia,MKD,1891,739344
North Macedonia,MKD,1892,746078
North Macedonia,MKD,1893,752873
North Macedonia,MKD,1894,759730
North Macedonia,MKD,1895,766649
North Macedonia,MKD,1896,773632
North Macedonia,MKD,1897,780678
North Macedonia,MKD,1898,787788
North Macedonia,MKD,1899,794962
North Macedonia,MKD,1900,802202
North Macedonia,MKD,1901,809508
North Macedonia,MKD,1902,816880
North Macedonia,MKD,1903,824319
North Macedonia,MKD,1904,831826
North Macedonia,MKD,1905,839401
North Macedonia,MKD,1906,847045
North Macedonia,MKD,1907,854759
North Macedonia,MKD,1908,862543
North Macedonia,MKD,1909,870398
North Macedonia,MKD,1910,878324
North Macedonia,MKD,1911,886322
North Macedonia,MKD,1912,894393
North Macedonia,MKD,1913,902537
North Macedonia,MKD,1914,910756
North Macedonia,MKD,1915,919049
North Macedonia,MKD,1916,927417
