Entity,Code,Year,Population
Moldova,MDA,100,56143
Moldova,MDA,200,60153
Moldova,MDA,300,64450
Moldova,MDA,400,69053
Moldova,MDA,500,73986
Moldova,MDA,600,79271
Moldova,MDA,700,84933
Moldova,MDA,800,91000
Moldova,MDA,900,97500
Moldova,MDA,1000,104000
Moldova,MDA,1100,156000
Moldova,MDA,1200,234000
Moldova,MDA,1300,234000
Moldova,MDA,1400,234000
Moldova,MDA,1500,312000
Moldova,MDA,1600,390000
Moldova,MDA,1700,519999
Moldova,MDA,1710,342855
Moldova,MDA,1720,371427
Moldova,MDA,1730,402379
Moldova,MDA,1740,435910
Moldova,MDA,1750,472236
Moldova,MDA,1760,511590
Moldova,MDA,1770,554222
Moldova,MDA,1780,600407
Moldova,MDA,1790,650442
Moldova,MDA,1800,712558
Moldova,MDA,1801,712558
Moldova,MDA,1802,712558
Moldova,MDA,1803,712558
Moldova,MDA,1804,712558
Moldova,MDA,1805,712558
Moldova,MDA,1806,712558
Moldova,MDA,1807,712558
Moldova,MDA,1808,712558
Moldova,MDA,1809,712558
Moldova,MDA,1810,712558
Moldova,MDA,1811,712558
Moldova,MDA,1812,712558
Moldova,MDA,1813,712558
Moldova,MDA,1814,712558
Moldova,MDA,1815,712558
Moldova,MDA,1816,712558
Moldova,MDA,1817,712558
Moldova,MDA,1818,712558
Moldova,MDA,1819,713866
Moldova,MDA,1820,716493
Moldova,MDA,1821,720453
Moldova,MDA,1822,725756
Moldova,MDA,1823,732416
Moldova,MDA,1824,739137
Moldova,MDA,1825,745920
Moldova,MDA,1826,752765
Moldova,MDA,1827,759673
Moldova,MDA,1828,766644
Moldova,MDA,1829,773679
Moldova,MDA,1830,780779
Moldova,MDA,1831,787944
Moldova,MDA,1832,795175
Moldova,MDA,1833,802472
Moldova,MDA,1834,809836
Moldova,MDA,1835,817267
Moldova,MDA,1836,824767
Moldova,MDA,1837,832336
Moldova,MDA,1838,839974
Moldova,MDA,1839,847682
Moldova,MDA,1840,855461
Moldova,MDA,1841,863311
Moldova,MDA,1842,871233
Moldova,MDA,1843,879228
Moldova,MDA,1844,887296
Moldova,MDA,1845,895439
Moldova,MDA,1846,903656
Moldova,MDA,1847,911948
Moldova,MDA,1848,920317
Moldova,MDA,1849,928762
Moldova,MDA,1850,937285
Moldova,MDA,1851,945951
Moldova,MDA,1852,954697
Moldova,MDA,1853,963524
Moldova,MDA,1854,972433
Moldova,MDA,1855,981424
Moldova,MDA,1856,990498
Moldova,MDA,1857,999656
Moldova,MDA,1858,1008899
Moldova,MDA,1859,1018227
Moldova,MDA,1860,1027641
Moldova,MDA,1861,1037143
Moldova,MDA,1862,1046732
Moldova,MDA,1863,1056410
Moldova,MDA,1864,1066177
Moldova,MDA,1865,1076035
Moldova,MDA,1866,1085984
Moldova,MDA,1867,1096024
Moldova,MDA,1868,1106158
Moldova,MDA,1869,1116385
Moldova,MDA,1870,1126707
