Entity,Code,Year,Population
Montenegro,MNE,1800,126582
Montenegro,MNE,1801,126582
Montenegro,MNE,1802,126582
Montenegro,MNE,1803,126582
Montenegro,MNE,1804,126582
Montenegro,MNE,1805,126582
Montenegro,MNE,1806,126582
Montenegro,MNE,1807,126582
Montenegro,MNE,1808,126582
Montenegro,MNE,1809,126582
Montenegro,MNE,1810,126582
Montenegro,MNE,1811,126582
Montenegro,MNE,1812,126582
Montenegro,MNE,1813,126582
Montenegro,MNE,1814,126582
Montenegro,MNE,1815,126582
Montenegro,MNE,1816,126582
Montenegro,MNE,1817,126582
Montenegro,MNE,1818,126582
Montenegro,MNE,1819,126980
Montenegro,MNE,1820,127783
Montenegro,MNE,1821,128997
Montenegro,MNE,1822,130629
Montenegro,MNE,1823,132685
Montenegro,MNE,1824,134772
Montenegro,MNE,1825,136893
Montenegro,MNE,1826,139047
Montenegro,MNE,1827,141235
Montenegro,MNE,1828,143458
Montenegro,MNE,1829,145715
Montenegro,MNE,1830,148008
Montenegro,MNE,1831,150337
Montenegro,MNE,1832,152703
Montenegro,MNE,1833,155106
Montenegro,MNE,1834,157547
Montenegro,MNE,1835,160026
Montenegro,MNE,1836,162544
Montenegro,MNE,1837,165102
Montenegro,MNE,1838,167700
Montenegro,MNE,1839,170339
Montenegro,MNE,1840,173020
Montenegro,MNE,1841,175742
Montenegro,MNE,1842,178508
Montenegro,MNE,1843,181317
Montenegro,MNE,1844,184170
Montenegro,MNE,1845,187068
Montenegro,MNE,1846,190012
Montenegro,MNE,1847,193002
Montenegro,MNE,1848,196039
Montenegro,MNE,1849,199124
Montenegro,MNE,1850,202257
Montenegro,MNE,1851,205450
Montenegro,MNE,1852,208694
Montenegro,MNE,1853,211989
Montenegro,MNE,1854,215336
Montenegro,MNE,1855,218736
Montenegro,MNE,1856,222189
Montenegro,MNE,1857,225697
Montenegro,MNE,1858,229261
Montenegro,MNE,1859,232880
Montenegro,MNE,1860,236557
Montenegro,MNE,1861,240292
Montenegro,MNE,1862,244086
Montenegro,MNE,1863,247939
Montenegro,MNE,1864,251854
Montenegro,MNE,1865,255830
