Entity,Code,Year,Population
Norway,NOR,100,110000
Norway,NOR,200,120000
Norway,NOR,300,130000
Norway,NOR,400,140000
Norway,NOR,500,150000
Norway,NOR,600,160000
Norway,NOR,700,169999
Norway,NOR,800,180000
Norway,NOR,900,190000
Norway,NOR,1000,200000
Norway,NOR,1100,269999
Norway,NOR,1200,339999
Norway,NOR,1300,399999
Norway,NOR,1400,200000
Norway,NOR,1500,399999
Norway,NOR,1600,500000
Norway,NOR,1700,600045
Norway,NOR,1710,621630
Norway,NOR,1720,643989
Norway,NOR,1730,667156
Norway,NOR,1740,691155
Norway,NOR,1750,716016
Norway,NOR,1760,741771
Norway,NOR,1770,768453
Norway,NOR,1780,796096
Norway,NOR,1790,824732
Norway,NOR,1800,900000
Norway,NOR,1801,898489
Norway,NOR,1802,896980
Norway,NOR,1803,895473
Norway,NOR,1804,893970
Norway,NOR,1805,892468
Norway,NOR,1806,890970
Norway,NOR,1807,889474
Norway,NOR,1808,887980
Norway,NOR,1809,886489
Norway,NOR,1810,890801
Norway,NOR,1811,895142
Norway,NOR,1812,901458
Norway,NOR,1813,909763
Norway,NOR,1814,918145
Norway,NOR,1815,926604
Norway,NOR,1816,935141
Norway,NOR,1817,943756
Norway,NOR,1818,952451
Norway,NOR,1819,962318
Norway,NOR,1820,973385
Norway,NOR,1821,985679
Norway,NOR,1822,999229
Norway,NOR,1823,1014062
Norway,NOR,1824,1029115
Norway,NOR,1825,1044391
Norway,NOR,1826,1059895
Norway,NOR,1827,1075628
Norway,NOR,1828,1091595
Norway,NOR,1829,1106700
Norway,NOR,1830,1120917
Norway,NOR,1831,1134224
Norway,NOR,1832,1146595
Norway,NOR,1833,1158005
Norway,NOR,1834,1169529
Norway,NOR,1835,1181168
Norway,NOR,1836,1192922
Norway,NOR,1837,1204794
Norway,NOR,1838,1216783
Norway,NOR,1839,1229289
Norway,NOR,1840,1242319
Norway,NOR,1841,1255885
Norway,NOR,1842,1269997
Norway,NOR,1843,1284663
Norway,NOR,1844,1299499
Norway,NOR,1845,1314507
Norway,NOR,1846,1329687
Norway,NOR,1847,1345043
Norway,NOR,1848,1360577
Norway,NOR,1849,1376908
Norway,NOR,1850,1394054
Norway,NOR,1851,1412140
Norway,NOR,1852,1431080
Norway,NOR,1853,1450893
Norway,NOR,1854,1470981
Norway,NOR,1855,1491347
Norway,NOR,1856,1511995
Norway,NOR,1857,1532929
Norway,NOR,1858,1554152
Norway,NOR,1859,1573950
Norway,NOR,1860,1592288
Norway,NOR,1861,1609129
Norway,NOR,1862,1624440
Norway,NOR,1863,1638184
Norway,NOR,1864,1652044
Norway,NOR,1865,1666021
Norway,NOR,1866,1680117
Norway,NOR,1867,1694331
Norway,NOR,1868,1708666
Norway,NOR,1869,1723729
Norway,NOR,1870,1739532
Norway,NOR,1871,1756087
Norway,NOR,1872,1773407
Norway,NOR,1873,1791506
Norway,NOR,1874,1809789
Norway,NOR,1875,1828260
Norway,NOR,1876,1846918
Norway,NOR,1877,1865767
Norway,NOR,1878,1884808
Norway,NOR,1879,1901683
Norway,NOR,1880,1916359
Norway,NOR,1881,1928804
Norway,NOR,1882,1938985
Norway,NOR,1883,1946870
Norway,NOR,1884,1954788
Norway,NOR,1885,1962737
Norway,NOR,1886,1970719
Norway,NOR,1887,1978733
Norway,NOR,1888,1986779
Norway,NOR,1889,1997704
Norway,NOR,1890,2011552
Norway,NOR,1891,2028366
Norway,NOR,1892,2048191
Norway,NOR,1893,2071072
Norway,NOR,1894,2094209
Norway,NOR,1895,2117605
Norway,NOR,1896,2141262
Norway,NOR,1897,2165183
Norway,NOR,1898,2189372
Norway,NOR,1899,2211863
Norway,NOR,1900,2232623
Norway,NOR,1901,2251621
Norway,NOR,1902,2268821
Norway,NOR,1903,2284192
Norway,NOR,1904,2299667
Norway,NOR,1905,2315246
Norway,NOR,1906,2330932
Norway,NOR,1907,2346723
Norway,NOR,1908,2362621
Norway,NOR,1909,2380237
Norway,NOR,1910,2399597
Norway,NOR,1911,2420731
Norway,NOR,1912,2443667
Norway,NOR,1913,2468434
Norway,NOR,1914,2493453
Norway,NOR,1915,2518725
Norway,NOR,1916,2544253
Norway,NOR,1917,2570040
Norway,NOR,1918,2595896
Norway,NOR,1919,2620044
Norway,NOR,1920,2642453
Norway,NOR,1921,2663094
Norway,NOR,1922,2681936
Norway,NOR,1923,2698948
Norway,NOR,1924,2716069
Norway,NOR,1925,2733298
Norway,NOR,1926,2750636
Norway,NOR,1927,2768084
Norway,NOR,1928,2785643
Norway,NOR,1929,2802985
Norway,NOR,1930,2820108
Norway,NOR,1931,2837007
Norway,NOR,1932,2853680
Norway,NOR,1933,2870123
Norway,NOR,1934,2886661
Norway,NOR,1935,2903294
Norway,NOR,1936,2920023
Norway,NOR,1937,2936848
Norway,NOR,1938,2953771
Norway,NOR,1939,2972974
Norway,NOR,1940,2994493
Norway,NOR,1941,3018361
Norway,NOR,1942,3044613
Norway,NOR,1943,3073283
Norway,NOR,1944,3102224
Norway,NOR,1945,3131436
Norway,NOR,1946,3160924
Norway,NOR,1947,3190690
Norway,NOR,1948,3220736
Norway,NOR,1949,3250978
Norway,NOR,1950,3281428
Norway,NOR,1951,3296349
Norway,NOR,1952,3328323
Norway,NOR,1953,3361502
Norway,NOR,1954,3394899
Norway,NOR,1955,3429096
Norway,NOR,1956,3461610
Norway,NOR,1957,3492505
Norway,NOR,1958,3523483
Norway,NOR,1959,3553264
Norway,NOR,1960,3581521
Norway,NOR,1961,3609997
Norway,NOR,1962,3639139
Norway,NOR,1963,3666801
Norway,NOR,1964,3694674
Norway,NOR,1965,3723510
Norway,NOR,1966,3753077
Norway,NOR,1967,3784346
Norway,NOR,1968,3816299
Norway,NOR,1969,3847527
Norway,NOR,1970,3875550
Norway,NOR,1971,3902912
Norway,NOR,1972,3933047
Norway,NOR,1973,3960705
Norway,NOR,1974,3985381
Norway,NOR,1975,4007471
Norway,NOR,1976,4026317
Norway,NOR,1977,4043365
Norway,NOR,1978,4058804
Norway,NOR,1979,4072652
Norway,NOR,1980,4085778
Norway,NOR,1981,4099860
Norway,NOR,1982,4114936
Norway,NOR,1983,4128576
Norway,NOR,1984,4140232
Norway,NOR,1985,4152640
Norway,NOR,1986,4167465
Norway,NOR,1987,4187034
Norway,NOR,1988,4209655
Norway,NOR,1989,4227072
Norway,NOR,1990,4241637
Norway,NOR,1991,4261886
Norway,NOR,1992,4286560
Norway,NOR,1993,4312138
Norway,NOR,1994,4336745
Norway,NOR,1995,4359327
Norway,NOR,1996,4381511
Norway,NOR,1997,4405334
Norway,NOR,1998,4431672
Norway,NOR,1999,4462148
Norway,NOR,2000,4491204
Norway,NOR,2001,4514019
Norway,NOR,2002,4538435
Norway,NOR,2003,4565167
Norway,NOR,2004,4592284
Norway,NOR,2005,4623691
Norway,NOR,2006,4661081
Norway,NOR,2007,4709582
Norway,NOR,2008,4768654
Norway,NOR,2009,4829195
Norway,NOR,2010,4889747
Norway,NOR,2011,4953565
Norway,NOR,2012,5019058
Norway,NOR,2013,5080667
Norway,NOR,2014,5137926
Norway,NOR,2015,5190357
Norway,NOR,2016,5236591
Norway,NOR,2017,5277396
Norway,NOR,2018,5312321
Norway,NOR,2019,5348285
Norway,NOR,2020,5379836
Norway,NOR,2021,5403021
