Entity,Code,Year,Population
Poland,POL,100,550000
Poland,POL,200,599999
Poland,POL,300,700000
Poland,POL,400,800000
Poland,POL,500,700000
Poland,POL,600,599999
Poland,POL,700,800000
Poland,POL,800,999999
Poland,POL,900,1125000
Poland,POL,1000,1250000
Poland,POL,1100,1500000
Poland,POL,1200,2250000
Poland,POL,1300,3499996
Poland,POL,1400,3499996
Poland,POL,1500,3999998
Poland,POL,1600,4999998
Poland,POL,1700,6000000
Poland,POL,1710,6251208
Poland,POL,1720,6548873
Poland,POL,1730,6860730
Poland,POL,1740,7187434
Poland,POL,1750,7529694
Poland,POL,1760,7888250
Poland,POL,1770,8263892
Poland,POL,1780,8657402
Poland,POL,1790,9069667
Poland,POL,1800,9000000
Poland,POL,1801,9066429
Poland,POL,1802,9133349
Poland,POL,1803,9200762
Poland,POL,1804,9268673
Poland,POL,1805,9337085
Poland,POL,1806,9406002
Poland,POL,1807,9475428
Poland,POL,1808,9545366
Poland,POL,1809,9615821
Poland,POL,1810,9687319
Poland,POL,1811,9758821
Poland,POL,1812,9830851
Poland,POL,1813,9903413
Poland,POL,1814,9976510
Poland,POL,1815,10050147
Poland,POL,1816,10124327
Poland,POL,1817,10199055
Poland,POL,1818,10274334
Poland,POL,1819,10350171
Poland,POL,1820,10426570
Poland,POL,1821,10503535
Poland,POL,1822,10581070
Poland,POL,1823,10659180
Poland,POL,1824,10737866
Poland,POL,1825,10817133
Poland,POL,1826,10896985
Poland,POL,1827,10977426
Poland,POL,1828,11058462
Poland,POL,1829,11140095
Poland,POL,1830,11222331
Poland,POL,1831,11305175
Poland,POL,1832,11388630
Poland,POL,1833,11472700
Poland,POL,1834,11557392
Poland,POL,1835,11642709
Poland,POL,1836,11728655
Poland,POL,1837,11815236
Poland,POL,1838,11902456
Poland,POL,1839,11990320
Poland,POL,1840,12078833
Poland,POL,1841,12167999
Poland,POL,1842,12257823
Poland,POL,1843,12348310
Poland,POL,1844,12439465
Poland,POL,1845,12531294
Poland,POL,1846,12623800
Poland,POL,1847,12716989
Poland,POL,1848,12810865
Poland,POL,1849,12920301
Poland,POL,1850,13045605
Poland,POL,1851,13182509
Poland,POL,1852,13335806
Poland,POL,1853,13505801
Poland,POL,1854,13677962
Poland,POL,1855,13852316
Poland,POL,1856,14028890
Poland,POL,1857,14207714
Poland,POL,1858,14388815
Poland,POL,1859,14572223
Poland,POL,1860,14757967
Poland,POL,1861,14946077
Poland,POL,1862,15136583
Poland,POL,1863,15329515
Poland,POL,1864,15524904
Poland,POL,1865,15722782
Poland,POL,1866,15923179
Poland,POL,1867,16126130
Poland,POL,1868,16331664
Poland,POL,1869,16547224
Poland,POL,1870,16773045
Poland,POL,1871,17009367
Poland,POL,1872,17256436
Poland,POL,1873,17514502
Poland,POL,1874,17776425
Poland,POL,1875,18042263
Poland,POL,1876,18312073
Poland,POL,1877,18585917
Poland,POL,1878,18863853
Poland,POL,1879,19145943
Poland,POL,1880,19432249
Poland,POL,1881,19722834
Poland,POL,1882,20017762
Poland,POL,1883,20317098
Poland,POL,1884,20620907
Poland,POL,1885,20929256
Poland,POL,1886,21242214
Poland,POL,1887,21559849
Poland,POL,1888,21882231
Poland,POL,1889,22176477
Poland,POL,1890,22441927
Poland,POL,1891,22677908
Poland,POL,1892,22883734
Poland,POL,1893,23058710
Poland,POL,1894,23235021
Poland,POL,1895,23412677
Poland,POL,1896,23591688
Poland,POL,1897,23772066
Poland,POL,1898,23953819
Poland,POL,1899,24134036
Poland,POL,1900,24312686
Poland,POL,1901,24489736
Poland,POL,1902,24665156
Poland,POL,1903,24838911
Poland,POL,1904,25013887
Poland,POL,1905,25190093
Poland,POL,1906,25367537
Poland,POL,1907,25546228
Poland,POL,1908,25726174
Poland,POL,1909,25813800
Poland,POL,1910,25809505
Poland,POL,1911,25713684
Poland,POL,1912,25526720
Poland,POL,1913,25248988
Poland,POL,1914,24974275
Poland,POL,1915,24702547
Poland,POL,1916,24433773
Poland,POL,1917,24167920
Poland,POL,1918,23913465
Poland,POL,1919,23787804
Poland,POL,1920,23791651
Poland,POL,1921,23925744
Poland,POL,1922,24190850
Poland,POL,1923,24587764
Poland,POL,1924,24991189
Poland,POL,1925,25401234
Poland,POL,1926,25818006
Poland,POL,1927,26241617
Poland,POL,1928,26672178
Poland,POL,1929,27053912
Poland,POL,1930,27385667
Poland,POL,1931,27666271
Poland,POL,1932,27894531
Poland,POL,1933,28069231
Poland,POL,1934,28245024
Poland,POL,1935,28421919
Poland,POL,1936,28599922
Poland,POL,1937,28779039
Poland,POL,1938,28959278
Poland,POL,1939,28993497
Poland,POL,1940,28883551
Poland,POL,1941,28631257
Poland,POL,1942,28238390
Poland,POL,1943,27706686
Poland,POL,1944,27184994
Poland,POL,1945,26673126
Poland,POL,1946,26170895
Poland,POL,1947,25678120
Poland,POL,1948,25194625
Poland,POL,1949,24897453
Poland,POL,1950,24786240
Poland,POL,1951,25242280
Poland,POL,1952,25704542
Poland,POL,1953,26168166
Poland,POL,1954,26630358
Poland,POL,1955,27099200
Poland,POL,1956,27582030
