Entity,Code,Year,Population
Portugal,PRT,100,458805
Portugal,PRT,200,458805
Portugal,PRT,300,458805
Portugal,PRT,400,458805
Portugal,PRT,500,412924
Portugal,PRT,600,367043
Portugal,PRT,700,367043
Portugal,PRT,800,367043
Portugal,PRT,900,458805
Portugal,PRT,1000,550565
Portugal,PRT,1100,688207
Portugal,PRT,1200,825848
Portugal,PRT,1300,1147011
Portugal,PRT,1400,825848
Portugal,PRT,1500,1147011
Portugal,PRT,1600,1835220
Portugal,PRT,1700,1835220
Portugal,PRT,1710,2426374
Portugal,PRT,1720,2505676
Portugal,PRT,1730,2556817
Portugal,PRT,1740,2608998
Portugal,PRT,1750,2662243
Portugal,PRT,1760,2716571
Portugal,PRT,1770,2772012
Portugal,PRT,1780,2828582
Portugal,PRT,1790,2886310
Portugal,PRT,1800,2750000
Portugal,PRT,1801,2775058
Portugal,PRT,1802,2800344
Portugal,PRT,1803,2825860
Portugal,PRT,1804,2851609
Portugal,PRT,1805,2877592
Portugal,PRT,1806,2903812
Portugal,PRT,1807,2930272
Portugal,PRT,1808,2956972
Portugal,PRT,1809,2983915
Portugal,PRT,1810,3011352
Portugal,PRT,1811,3038791
Portugal,PRT,1812,3066480
Portugal,PRT,1813,3094422
Portugal,PRT,1814,3122618
Portugal,PRT,1815,3151070
Portugal,PRT,1816,3179783
Portugal,PRT,1817,3208756
Portugal,PRT,1818,3237994
Portugal,PRT,1819,3265271
Portugal,PRT,1820,3290556
Portugal,PRT,1821,3313818
Portugal,PRT,1822,3335027
Portugal,PRT,1823,3354149
Portugal,PRT,1824,3373382
Portugal,PRT,1825,3392725
Portugal,PRT,1826,3412178
Portugal,PRT,1827,3431743
Portugal,PRT,1828,3451420
Portugal,PRT,1829,3471354
Portugal,PRT,1830,3491548
Portugal,PRT,1831,3512002
Portugal,PRT,1832,3532721
Portugal,PRT,1833,3553705
Portugal,PRT,1834,3574815
Portugal,PRT,1835,3596049
Portugal,PRT,1836,3617410
Portugal,PRT,1837,3638898
Portugal,PRT,1838,3660513
Portugal,PRT,1839,3680067
Portugal,PRT,1840,3697539
Portugal,PRT,1841,3712913
Portugal,PRT,1842,3726167
Portugal,PRT,1843,3737284
Portugal,PRT,1844,3748433
Portugal,PRT,1845,3759616
Portugal,PRT,1846,3770833
Portugal,PRT,1847,3782083
Portugal,PRT,1848,3793366
Portugal,PRT,1849,3806009
Portugal,PRT,1850,3820021
Portugal,PRT,1851,3835328
Portugal,PRT,1852,3852025
Portugal,PRT,1853,3870122
Portugal,PRT,1854,3888303
Portugal,PRT,1855,3906571
Portugal,PRT,1856,3924924
Portugal,PRT,1857,3943363
Portugal,PRT,1858,3961889
Portugal,PRT,1859,3983036
Portugal,PRT,1860,4006837
Portugal,PRT,1861,4033324
Portugal,PRT,1862,4062531
Portugal,PRT,1863,4094489
Portugal,PRT,1864,4126699
Portugal,PRT,1865,4159162
Portugal,PRT,1866,4191881
Portugal,PRT,1867,4224856
Portugal,PRT,1868,4258092
Portugal,PRT,1869,4290262
Portugal,PRT,1870,4321350
Portugal,PRT,1871,4351340
Portugal,PRT,1872,4380214
Portugal,PRT,1873,4407954
Portugal,PRT,1874,4435870
Portugal,PRT,1875,4463963
Portugal,PRT,1876,4492234
Portugal,PRT,1877,4520684
Portugal,PRT,1878,4549314
Portugal,PRT,1879,4580302
Portugal,PRT,1880,4613680
Portugal,PRT,1881,4649485
Portugal,PRT,1882,4687749
Portugal,PRT,1883,4728508
Portugal,PRT,1884,4769622
Portugal,PRT,1885,4811093
Portugal,PRT,1886,4852925
Portugal,PRT,1887,4895120
Portugal,PRT,1888,4937682
Portugal,PRT,1889,4979128
Portugal,PRT,1890,5019437
Portugal,PRT,1891,5058589
Portugal,PRT,1892,5096563
Portugal,PRT,1893,5133336
Portugal,PRT,1894,5170376
Portugal,PRT,1895,5207682
Portugal,PRT,1896,5245258
Portugal,PRT,1897,5283105
Portugal,PRT,1898,5321225
Portugal,PRT,1899,5361032
Portugal,PRT,1900,5402551
Portugal,PRT,1901,5445806
Portugal,PRT,1902,5490822
Portugal,PRT,1903,5537624
Portugal,PRT,1904,5584825
Portugal,PRT,1905,5632428
Portugal,PRT,1906,5680437
Portugal,PRT,1907,5728855
Portugal,PRT,1908,5777686
Portugal,PRT,1909,5819754
Portugal,PRT,1910,5854984
Portugal,PRT,1911,5883300
Portugal,PRT,1912,5904627
Portugal,PRT,1913,5918888
Portugal,PRT,1914,5933183
Portugal,PRT,1915,5947512
Portugal,PRT,1916,5961877
Portugal,PRT,1917,5976275
Portugal,PRT,1918,5990842
Portugal,PRT,1919,6016799
Portugal,PRT,1920,6054309
Portugal,PRT,1921,6103537
Portugal,PRT,1922,6164649
Portugal,PRT,1923,6237814
Portugal,PRT,1924,6311847
Portugal,PRT,1925,6386759
Portugal,PRT,1926,6462560
Portugal,PRT,1927,6539261
Portugal,PRT,1928,6616872
Portugal,PRT,1929,6696146
Portugal,PRT,1930,6777114
