Entity,Code,Year,Population
Romania,ROU,100,799999
Romania,ROU,200,799999
Romania,ROU,300,699999
Romania,ROU,400,600000
Romania,ROU,500,550001
Romania,ROU,600,500000
Romania,ROU,700,550001
Romania,ROU,800,600000
Romania,ROU,900,699999
Romania,ROU,1000,799999
Romania,ROU,1100,900000
Romania,ROU,1200,1000001
Romania,ROU,1300,1500002
Romania,ROU,1400,1249998
Romania,ROU,1500,2000002
Romania,ROU,1600,2000002
Romania,ROU,1700,2499996
Romania,ROU,1710,2991146
Romania,ROU,1720,3204798
Romania,ROU,1730,3433718
Romania,ROU,1740,3678978
Romania,ROU,1750,3941757
Romania,ROU,1760,4223318
Romania,ROU,1770,4524977
Romania,ROU,1780,4848198
Romania,ROU,1790,5194496
Romania,ROU,1800,5500000
Romania,ROU,1801,5541358
Romania,ROU,1802,5583027
Romania,ROU,1803,5625009
Romania,ROU,1804,5667307
Romania,ROU,1805,5709923
Romania,ROU,1806,5752859
Romania,ROU,1807,5796119
Romania,ROU,1808,5839703
Romania,ROU,1809,5883615
Romania,ROU,1810,5928191
Romania,ROU,1811,5972768
Romania,ROU,1812,6017681
Romania,ROU,1813,6062932
Romania,ROU,1814,6108523
Romania,ROU,1815,6154457
Romania,ROU,1816,6200736
Romania,ROU,1817,6247363
Romania,ROU,1818,6294341
Romania,ROU,1819,6341677
Romania,ROU,1820,6389374
Romania,ROU,1821,6437435
Romania,ROU,1822,6485863
Romania,ROU,1823,6534660
Romania,ROU,1824,6583824
Romania,ROU,1825,6633359
Romania,ROU,1826,6683265
Romania,ROU,1827,6733548
Romania,ROU,1828,6784208
Romania,ROU,1829,6835250
Romania,ROU,1830,6886676
Romania,ROU,1831,6938489
Romania,ROU,1832,6990691
Romania,ROU,1833,7043287
Romania,ROU,1834,7096278
Romania,ROU,1835,7149667
Romania,ROU,1836,7203459
Romania,ROU,1837,7257655
Romania,ROU,1838,7312259
Romania,ROU,1839,7367273
Romania,ROU,1840,7422702
Romania,ROU,1841,7478548
Romania,ROU,1842,7534813
Romania,ROU,1843,7591502
Romania,ROU,1844,7648618
Romania,ROU,1845,7706163
Romania,ROU,1846,7764141
Romania,ROU,1847,7822556
Romania,ROU,1848,7881410
Romania,ROU,1849,7939705
Romania,ROU,1850,7997430
Romania,ROU,1851,8054479
Romania,ROU,1852,8110934
Romania,ROU,1853,8166784
Romania,ROU,1854,8223019
Romania,ROU,1855,8279640
Romania,ROU,1856,8336652
Romania,ROU,1857,8394056
Romania,ROU,1858,8451855
Romania,ROU,1859,8510052
Romania,ROU,1860,8568650
Romania,ROU,1861,8627652
Romania,ROU,1862,8687060
Romania,ROU,1863,8746876
Romania,ROU,1864,8807105
Romania,ROU,1865,8867749
Romania,ROU,1866,8928810
Romania,ROU,1867,8990291
Romania,ROU,1868,9052196
Romania,ROU,1869,9113124
Romania,ROU,1870,9173060
Romania,ROU,1871,9231989
Romania,ROU,1872,9289894
Romania,ROU,1873,9346761
Romania,ROU,1874,9403976
Romania,ROU,1875,9461541
Romania,ROU,1876,9519459
Romania,ROU,1877,9577731
Romania,ROU,1878,9636360
Romania,ROU,1879,9695347
Romania,ROU,1880,9754696
Romania,ROU,1881,9814408
Romania,ROU,1882,9874486
Romania,ROU,1883,9934931
Romania,ROU,1884,9995746
Romania,ROU,1885,10056934
Romania,ROU,1886,10118496
Romania,ROU,1887,10180435
Romania,ROU,1888,10242753
Romania,ROU,1889,10304941
Romania,ROU,1890,10366994
Romania,ROU,1891,10428908
Romania,ROU,1892,10490681
Romania,ROU,1893,10552307
Romania,ROU,1894,10614295
Romania,ROU,1895,10676648
Romania,ROU,1896,10739367
Romania,ROU,1897,10802454
Romania,ROU,1898,10865912
Romania,ROU,1899,10933526
Romania,ROU,1900,11005350
Romania,ROU,1901,11081437
Romania,ROU,1902,11161841
Romania,ROU,1903,11246617
Romania,ROU,1904,11332037
Romania,ROU,1905,11418106
Romania,ROU,1906,11504829
Romania,ROU,1907,11592210
Romania,ROU,1908,11680255
Romania,ROU,1909,11760236
Romania,ROU,1910,11832057
Romania,ROU,1911,11895622
Romania,ROU,1912,11950834
Romania,ROU,1913,11997596
Romania,ROU,1914,12044540
Romania,ROU,1915,12091668
Romania,ROU,1916,12138981
Romania,ROU,1917,12186478
Romania,ROU,1918,12234305
Romania,ROU,1919,12306467
Romania,ROU,1920,12403390
Romania,ROU,1921,12525509
Romania,ROU,1922,12673261
Romania,ROU,1923,12847094
Romania,ROU,1924,13023310
Romania,ROU,1925,13201944
Romania,ROU,1926,13383028
Romania,ROU,1927,13566595
Romania,ROU,1928,13752681
Romania,ROU,1929,13936009
Romania,ROU,1930,14116480
Romania,ROU,1931,14293990
Romania,ROU,1932,14468434
Romania,ROU,1933,14639706
Romania,ROU,1934,14813005
Romania,ROU,1935,14988356
Romania,ROU,1936,15165782
Romania,ROU,1937,15345308
Romania,ROU,1938,15526960
Romania,ROU,1939,15681114
Romania,ROU,1940,15807371
Romania,ROU,1941,15905325
Romania,ROU,1942,15974568
Romania,ROU,1943,16014683
Romania,ROU,1944,16054899
Romania,ROU,1945,16095216
Romania,ROU,1946,16135634
Romania,ROU,1947,16176154
Romania,ROU,1948,16216775
Romania,ROU,1949,16288894
Romania,ROU,1950,16392973
Romania,ROU,1951,16612736
Romania,ROU,1952,16828590
Romania,ROU,1953,17041124
Romania,ROU,1954,17250992
Romania,ROU,1955,17455292
Romania,ROU,1956,17668032
Romania,ROU,1957,17884930
Romania,ROU,1958,18089940
Romania,ROU,1959,18282524
Romania,ROU,1960,18458012
Romania,ROU,1961,18622908
Romania,ROU,1962,18770328
Romania,ROU,1963,18895146
Romania,ROU,1964,19010056
Romania,ROU,1965,19117072
Romania,ROU,1966,19221488
Romania,ROU,1967,19348540
Romania,ROU,1968,19515304
Romania,ROU,1969,19711720
Romania,ROU,1970,19922620
Romania,ROU,1971,20145242
Romania,ROU,1972,20382178
Romania,ROU,1973,20628254
Romania,ROU,1974,20889666
Romania,ROU,1975,21167270
Romania,ROU,1976,21449642
Romania,ROU,1977,21678700
Romania,ROU,1978,21844028
Romania,ROU,1979,21993496
Romania,ROU,1980,22125226
Romania,ROU,1981,22237474
Romania,ROU,1982,22331062
Romania,ROU,1983,22403760
Romania,ROU,1984,22465040
Romania,ROU,1985,22525364
Romania,ROU,1986,22587322
Romania,ROU,1987,22653810
Romania,ROU,1988,22719092
Romania,ROU,1989,22788042
Romania,ROU,1990,22836234
Romania,ROU,1991,22842488
Romania,ROU,1992,22800964
Romania,ROU,1993,22721662
Romania,ROU,1994,22632776
Romania,ROU,1995,22533138
Romania,ROU,1996,22417872
Romania,ROU,1997,22289540
Romania,ROU,1998,22161240
Romania,ROU,1999,22039006
Romania,ROU,2000,21919882
Romania,ROU,2001,21797588
Romania,ROU,2002,21653530
Romania,ROU,2003,21481322
Romania,ROU,2004,21289292
Romania,ROU,2005,21092264
Romania,ROU,2006,20909406
