Entity,Code,Year,Population
Serbia,SRB,100,655393
Serbia,SRB,200,656049
Serbia,SRB,300,656706
Serbia,SRB,400,657363
Serbia,SRB,500,658022
Serbia,SRB,600,658679
Serbia,SRB,700,659340
Serbia,SRB,800,660000
Serbia,SRB,900,714999
Serbia,SRB,1000,770000
Serbia,SRB,1100,843000
Serbia,SRB,1200,2456000
Serbia,SRB,1300,990000
Serbia,SRB,1400,770000
Serbia,SRB,1500,990000
Serbia,SRB,1600,1209999
Serbia,SRB,1700,1209999
Serbia,SRB,1710,1258718
Serbia,SRB,1720,1307439
Serbia,SRB,1730,1356157
Serbia,SRB,1740,1404876
Serbia,SRB,1750,1453595
Serbia,SRB,1760,1502310
Serbia,SRB,1770,1551031
Serbia,SRB,1780,1599750
Serbia,SRB,1790,1648471
Serbia,SRB,1800,2147197
Serbia,SRB,1801,2147197
Serbia,SRB,1802,2147197
Serbia,SRB,1803,2147197
Serbia,SRB,1804,2147197
Serbia,SRB,1805,2147197
Serbia,SRB,1806,2147197
Serbia,SRB,1807,2147197
Serbia,SRB,1808,2147197
Serbia,SRB,1809,2147197
Serbia,SRB,1810,2147197
Serbia,SRB,1811,2147197
Serbia,SRB,1812,2147197
Serbia,SRB,1813,2147197
Serbia,SRB,1814,2147197
Serbia,SRB,1815,2147197
Serbia,SRB,1816,2147197
Serbia,SRB,1817,2147197
Serbia,SRB,1818,2147197
Serbia,SRB,1819,2146330
Serbia,SRB,1820,2144598
Serbia,SRB,1821,2142002
Serbia,SRB,1822,2138544
Serbia,SRB,1823,2134227
Serbia,SRB,1824,2129918
Serbia,SRB,1825,2125618
Serbia,SRB,1826,2121327
Serbia,SRB,1827,2117044
Serbia,SRB,1828,2112770
Serbia,SRB,1829,2108504
Serbia,SRB,1830,2104247
Serbia,SRB,1831,2099999
Serbia,SRB,1832,2095759
Serbia,SRB,1833,2091528
Serbia,SRB,1834,2087305
Serbia,SRB,1835,2083091
Serbia,SRB,1836,2078886
Serbia,SRB,1837,2074689
Serbia,SRB,1838,2070500
Serbia,SRB,1839,2066320
Serbia,SRB,1840,2062148
Serbia,SRB,1841,2057985
Serbia,SRB,1842,2053830
Serbia,SRB,1843,2049683
Serbia,SRB,1844,2045545
Serbia,SRB,1845,2041416
Serbia,SRB,1846,2037294
Serbia,SRB,1847,2033181
Serbia,SRB,1848,2029076
Serbia,SRB,1849,2024980
Serbia,SRB,1850,2020891
Serbia,SRB,1851,2013862
Serbia,SRB,1852,2006853
Serbia,SRB,1853,1999864
Serbia,SRB,1854,1992895
Serbia,SRB,1855,1985946
Serbia,SRB,1856,1979017
Serbia,SRB,1857,1972108
Serbia,SRB,1858,1965219
Serbia,SRB,1859,1958349
Serbia,SRB,1860,1951500
Serbia,SRB,1861,1944669
Serbia,SRB,1862,1937859
Serbia,SRB,1863,1931068
Serbia,SRB,1864,1924297
Serbia,SRB,1865,1917545
Serbia,SRB,1866,1910812
Serbia,SRB,1867,1904099
Serbia,SRB,1868,1897405
Serbia,SRB,1869,1890731
Serbia,SRB,1870,1884075
Serbia,SRB,1871,1877439
Serbia,SRB,1872,1870822
Serbia,SRB,1873,1864224
Serbia,SRB,1874,1857645
Serbia,SRB,1875,1851085
Serbia,SRB,1876,1844544
Serbia,SRB,1877,1838022
Serbia,SRB,1878,1831519
Serbia,SRB,1879,1830467
Serbia,SRB,1880,1834900
Serbia,SRB,1881,1844854
Serbia,SRB,1882,1860363
Serbia,SRB,1883,1881462
Serbia,SRB,1884,1902796
Serbia,SRB,1885,1924367
Serbia,SRB,1886,1946178
Serbia,SRB,1887,1968231
Serbia,SRB,1888,1990530
Serbia,SRB,1889,2013685
Serbia,SRB,1890,2037713
Serbia,SRB,1891,2062631
Serbia,SRB,1892,2088455
Serbia,SRB,1893,2115203
Serbia,SRB,1894,2142288
Serbia,SRB,1895,2169715
Serbia,SRB,1896,2197488
Serbia,SRB,1897,2225610
Serbia,SRB,1898,2254087
Serbia,SRB,1899,2283492
Serbia,SRB,1900,2313842
Serbia,SRB,1901,2345158
Serbia,SRB,1902,2377458
Serbia,SRB,1903,2410763
Serbia,SRB,1904,2444528
Serbia,SRB,1905,2478760
Serbia,SRB,1906,2513464
Serbia,SRB,1907,2548648
Serbia,SRB,1908,2584319
Serbia,SRB,1909,2623394
Serbia,SRB,1910,2665974
Serbia,SRB,1911,2712160
Serbia,SRB,1912,2762057
Serbia,SRB,1913,2815772
Serbia,SRB,1914,2870523
Serbia,SRB,1915,2926332
Serbia,SRB,1916,2983218
Serbia,SRB,1917,3041201
Serbia,SRB,1918,3105338
Serbia,SRB,1919,3170827
Serbia,SRB,1920,3237697
Serbia,SRB,1921,3305978
Serbia,SRB,1922,3375698
Serbia,SRB,1923,3446889
Serbia,SRB,1924,3519582
Serbia,SRB,1925,3593807
Serbia,SRB,1926,3669598
Serbia,SRB,1927,3746987
Serbia,SRB,1928,3826008
Serbia,SRB,1929,3906695
Serbia,SRB,1930,3989085
Serbia,SRB,1931,4073211
Serbia,SRB,1932,4159112
Serbia,SRB,1933,4246825
Serbia,SRB,1934,4336387
Serbia,SRB,1935,4427838
Serbia,SRB,1936,4521218
Serbia,SRB,1937,4616567
Serbia,SRB,1938,4713927
Serbia,SRB,1939,4813340
Serbia,SRB,1940,4914850
Serbia,SRB,1941,5018500
Serbia,SRB,1942,5124337
Serbia,SRB,1943,5232405
Serbia,SRB,1944,5342753
Serbia,SRB,1945,5455427
Serbia,SRB,1946,5570478
Serbia,SRB,1947,5687955
Serbia,SRB,1948,5807910
Serbia,SRB,1949,5917934
Serbia,SRB,1950,6017687
Serbia,SRB,1951,6081258
Serbia,SRB,1952,6147422
Serbia,SRB,1953,6222778
Serbia,SRB,1954,6290133
Serbia,SRB,1955,6348550
Serbia,SRB,1956,6400668
Serbia,SRB,1957,6445401
Serbia,SRB,1958,6487264
Serbia,SRB,1959,6530869
Serbia,SRB,1960,6579987
Serbia,SRB,1961,6643717
Serbia,SRB,1962,6711537
Serbia,SRB,1963,6776518
Serbia,SRB,1964,6840008
Serbia,SRB,1965,6902986
Serbia,SRB,1966,6966323
Serbia,SRB,1967,7026788
Serbia,SRB,1968,7084581
Serbia,SRB,1969,7140606
Serbia,SRB,1970,7193540
Serbia,SRB,1971,7242806
Serbia,SRB,1972,7296104
Serbia,SRB,1973,7355438
Serbia,SRB,1974,7416618
Serbia,SRB,1975,7479841
Serbia,SRB,1976,7544260
Serbia,SRB,1977,7607999
Serbia,SRB,1978,7669223
Serbia,SRB,1979,7726494
Serbia,SRB,1980,7777013
Serbia,SRB,1981,7814393
Serbia,SRB,1982,7841807
Serbia,SRB,1983,7866039
Serbia,SRB,1984,7889240
Serbia,SRB,1985,7912073
Serbia,SRB,1986,7931910
Serbia,SRB,1987,7948309
Serbia,SRB,1988,7963944
Serbia,SRB,1989,7977876
Serbia,SRB,1990,7987530
Serbia,SRB,1991,7964455
Serbia,SRB,1992,7943504
Serbia,SRB,1993,7957074
Serbia,SRB,1994,7969952
Serbia,SRB,1995,7982463
Serbia,SRB,1996,7993447
Serbia,SRB,1997,7997524
Serbia,SRB,1998,7985509
Serbia,SRB,1999,7959748
Serbia,SRB,2000,7935023
Serbia,SRB,2001,7917792
Serbia,SRB,2002,7904272
Serbia,SRB,2003,7887466
Serbia,SRB,2004,7863399
Serbia,SRB,2005,7830944
Serbia,SRB,2006,7794792
Serbia,SRB,2007,7758181
Serbia,SRB,2008,7722801
Serbia,SRB,2009,7688037
Serbia,SRB,2010,7653749
Serbia,SRB,2011,7620925
Serbia,SRB,2012,7591357
Serbia,SRB,2013,7566674
Serbia,SRB,2014,7543965
Serbia,SRB,2015,7519501
Serbia,SRB,2016,7493288
Serbia,SRB,2017,7464882
Serbia,SRB,2018,7433825
Serbia,SRB,2019,7401056
Serbia,SRB,2020,7358010
Serbia,SRB,2021,7296771
