Entity,Code,Year,Population
Slovakia,SVK,100,278045
Slovakia,SVK,200,278324
Slovakia,SVK,300,278602
Slovakia,SVK,400,278881
Slovakia,SVK,500,279161
Slovakia,SVK,600,279440
Slovakia,SVK,700,279720
Slovakia,SVK,800,279999
Slovakia,SVK,900,315000
Slovakia,SVK,1000,350000
Slovakia,SVK,1100,419999
Slovakia,SVK,1200,559999
Slovakia,SVK,1300,839999
Slovakia,SVK,1400,699999
Slovakia,SVK,1500,839999
Slovakia,SVK,1600,1260000
Slovakia,SVK,1700,1141548
Slovakia,SVK,1710,1188142
Slovakia,SVK,1720,1236638
Slovakia,SVK,1730,1287113
Slovakia,SVK,1740,1339649
Slovakia,SVK,1750,1394327
Slovakia,SVK,1760,1451239
Slovakia,SVK,1770,1510473
Slovakia,SVK,1780,1572125
Slovakia,SVK,1790,1636293
Slovakia,SVK,1800,2140651
Slovakia,SVK,1801,2140651
Slovakia,SVK,1802,2140651
Slovakia,SVK,1803,2140651
Slovakia,SVK,1804,2140651
Slovakia,SVK,1805,2140651
Slovakia,SVK,1806,2140651
Slovakia,SVK,1807,2140651
Slovakia,SVK,1808,2140651
Slovakia,SVK,1809,2140651
Slovakia,SVK,1810,2140651
Slovakia,SVK,1811,2140651
Slovakia,SVK,1812,2140651
Slovakia,SVK,1813,2140651
Slovakia,SVK,1814,2140651
Slovakia,SVK,1815,2140651
Slovakia,SVK,1816,2140651
Slovakia,SVK,1817,2140651
Slovakia,SVK,1818,2140651
Slovakia,SVK,1819,2142239
Slovakia,SVK,1820,2145419
Slovakia,SVK,1821,2150200
Slovakia,SVK,1822,2156585
Slovakia,SVK,1823,2164582
Slovakia,SVK,1824,2172608
Slovakia,SVK,1825,2180664
Slovakia,SVK,1826,2188750
Slovakia,SVK,1827,2196866
Slovakia,SVK,1828,2205012
Slovakia,SVK,1829,2213189
Slovakia,SVK,1830,2221395
Slovakia,SVK,1831,2229632
Slovakia,SVK,1832,2237900
Slovakia,SVK,1833,2246198
Slovakia,SVK,1834,2254527
Slovakia,SVK,1835,2262887
Slovakia,SVK,1836,2271278
Slovakia,SVK,1837,2279700
Slovakia,SVK,1838,2288153
Slovakia,SVK,1839,2296638
Slovakia,SVK,1840,2305154
Slovakia,SVK,1841,2313701
Slovakia,SVK,1842,2322281
Slovakia,SVK,1843,2330892
Slovakia,SVK,1844,2339535
Slovakia,SVK,1845,2348210
Slovakia,SVK,1846,2356917
Slovakia,SVK,1847,2365657
Slovakia,SVK,1848,2374429
Slovakia,SVK,1849,2383233
Slovakia,SVK,1850,2392070
Slovakia,SVK,1851,2400733
Slovakia,SVK,1852,2409427
Slovakia,SVK,1853,2418153
Slovakia,SVK,1854,2426910
Slovakia,SVK,1855,2435699
Slovakia,SVK,1856,2444519
Slovakia,SVK,1857,2453372
Slovakia,SVK,1858,2462257
Slovakia,SVK,1859,2471173
Slovakia,SVK,1860,2480123
Slovakia,SVK,1861,2489104
Slovakia,SVK,1862,2498118
Slovakia,SVK,1863,2507165
Slovakia,SVK,1864,2516244
Slovakia,SVK,1865,2525356
Slovakia,SVK,1866,2534501
Slovakia,SVK,1867,2543679
Slovakia,SVK,1868,2552891
Slovakia,SVK,1869,2562136
Slovakia,SVK,1870,2571414
Slovakia,SVK,1871,2580726
Slovakia,SVK,1872,2590071
Slovakia,SVK,1873,2599451
Slovakia,SVK,1874,2608864
Slovakia,SVK,1875,2618312
Slovakia,SVK,1876,2627793
Slovakia,SVK,1877,2637309
Slovakia,SVK,1878,2646859
Slovakia,SVK,1879,2656444
Slovakia,SVK,1880,2666064
Slovakia,SVK,1881,2675718
Slovakia,SVK,1882,2685408
Slovakia,SVK,1883,2695132
Slovakia,SVK,1884,2704892
Slovakia,SVK,1885,2714687
Slovakia,SVK,1886,2724517
Slovakia,SVK,1887,2734383
Slovakia,SVK,1888,2744285
Slovakia,SVK,1889,2754222
Slovakia,SVK,1890,2764196
Slovakia,SVK,1891,2774205
Slovakia,SVK,1892,2784251
Slovakia,SVK,1893,2794333
Slovakia,SVK,1894,2804452
Slovakia,SVK,1895,2814607
Slovakia,SVK,1896,2824799
Slovakia,SVK,1897,2835028
Slovakia,SVK,1898,2845294
Slovakia,SVK,1899,2855597
Slovakia,SVK,1900,2865937
Slovakia,SVK,1901,2876315
Slovakia,SVK,1902,2886730
Slovakia,SVK,1903,2897183
Slovakia,SVK,1904,2907674
Slovakia,SVK,1905,2918203
Slovakia,SVK,1906,2928770
Slovakia,SVK,1907,2939375
Slovakia,SVK,1908,2950019
Slovakia,SVK,1909,2960701
Slovakia,SVK,1910,2971421
Slovakia,SVK,1911,2982181
Slovakia,SVK,1912,2992979
Slovakia,SVK,1913,3003817
Slovakia,SVK,1914,3014694
Slovakia,SVK,1915,3025610
Slovakia,SVK,1916,3036565
Slovakia,SVK,1917,3047561
Slovakia,SVK,1918,3058861
Slovakia,SVK,1919,3070204
Slovakia,SVK,1920,3081588
Slovakia,SVK,1921,3093015
Slovakia,SVK,1922,3104484
Slovakia,SVK,1923,3115995
Slovakia,SVK,1924,3127549
Slovakia,SVK,1925,3139147
Slovakia,SVK,1926,3150787
Slovakia,SVK,1927,3162470
Slovakia,SVK,1928,3174196
Slovakia,SVK,1929,3185967
Slovakia,SVK,1930,3197780
Slovakia,SVK,1931,3209638
Slovakia,SVK,1932,3221539
Slovakia,SVK,1933,3233485
Slovakia,SVK,1934,3245475
Slovakia,SVK,1935,3257509
Slovakia,SVK,1936,3269588
Slovakia,SVK,1937,3281712
Slovakia,SVK,1938,3293881
Slovakia,SVK,1939,3306094
Slovakia,SVK,1940,3318354
Slovakia,SVK,1941,3330658
Slovakia,SVK,1942,3343008
Slovakia,SVK,1943,3355404
Slovakia,SVK,1944,3367846
Slovakia,SVK,1945,3380334
Slovakia,SVK,1946,3392869
Slovakia,SVK,1947,3405450
Slovakia,SVK,1948,3418077
Slovakia,SVK,1949,3438089
Slovakia,SVK,1950,3465627
Slovakia,SVK,1951,3524948
Slovakia,SVK,1952,3591185
Slovakia,SVK,1953,3659429
Slovakia,SVK,1954,3727387
Slovakia,SVK,1955,3796627
Slovakia,SVK,1956,3867650
Slovakia,SVK,1957,3936318
Slovakia,SVK,1958,4002220
Slovakia,SVK,1959,4064387
Slovakia,SVK,1960,4124235
Slovakia,SVK,1961,4185083
Slovakia,SVK,1962,4235341
Slovakia,SVK,1963,4277652
Slovakia,SVK,1964,4322116
Slovakia,SVK,1965,4363517
Slovakia,SVK,1966,4400355
Slovakia,SVK,1967,4433964
Slovakia,SVK,1968,4463936
Slovakia,SVK,1969,4492217
Slovakia,SVK,1970,4522872
Slovakia,SVK,1971,4557506
Slovakia,SVK,1972,4597162
Slovakia,SVK,1973,4641292
Slovakia,SVK,1974,4688474
Slovakia,SVK,1975,4737067
Slovakia,SVK,1976,4786345
Slovakia,SVK,1977,4835452
Slovakia,SVK,1978,4883372
Slovakia,SVK,1979,4930974
Slovakia,SVK,1980,4973886
Slovakia,SVK,1981,5011719
Slovakia,SVK,1982,5048149
Slovakia,SVK,1983,5082435
Slovakia,SVK,1984,5115048
Slovakia,SVK,1985,5146573
Slovakia,SVK,1986,5175412
Slovakia,SVK,1987,5201175
Slovakia,SVK,1988,5224911
Slovakia,SVK,1989,5245120
Slovakia,SVK,1990,5261310
Slovakia,SVK,1991,5280230
Slovakia,SVK,1992,5301897
Slovakia,SVK,1993,5321863
Slovakia,SVK,1994,5338814
Slovakia,SVK,1995,5349999
Slovakia,SVK,1996,5358288
Slovakia,SVK,1997,5365829
Slovakia,SVK,1998,5371086
Slovakia,SVK,1999,5374617
Slovakia,SVK,2000,5376700
Slovakia,SVK,2001,5376457
Slovakia,SVK,2002,5375206
Slovakia,SVK,2003,5374381
Slovakia,SVK,2004,5374932
Slovakia,SVK,2005,5376251
Slovakia,SVK,2006,5377239
Slovakia,SVK,2007,5378381
Slovakia,SVK,2008,5381641
Slovakia,SVK,2009,5388934
Slovakia,SVK,2010,5396428
Slovakia,SVK,2011,5402686
Slovakia,SVK,2012,5409283
Slovakia,SVK,2013,5414744
Slovakia,SVK,2014,5419572
Slovakia,SVK,2015,5424449
Slovakia,SVK,2016,5431205
Slovakia,SVK,2017,5439418
Slovakia,SVK,2018,5446746
Slovakia,SVK,2019,5453932
Slovakia,SVK,2020,5456681
Slovakia,SVK,2021,5447621
