Entity,Code,Year,Population
Spain,ESP,100,4800023
Spain,ESP,200,4999996
Spain,ESP,300,4750008
Spain,ESP,400,4499993
Spain,ESP,500,4000013
Spain,ESP,600,3500003
Spain,ESP,700,3624999
Spain,ESP,800,3749991
Spain,ESP,900,3875002
Spain,ESP,1000,4000013
Spain,ESP,1100,4499993
Spain,ESP,1200,5499988
Spain,ESP,1300,7499982
Spain,ESP,1400,5499988
Spain,ESP,1500,6500003
Spain,ESP,1600,8500008
Spain,ESP,1700,8000026
Spain,ESP,1710,9027660
Spain,ESP,1720,9278420
Spain,ESP,1730,9536154
Spain,ESP,1740,9801067
Spain,ESP,1750,10073319
Spain,ESP,1760,10353105
Spain,ESP,1770,10640709
Spain,ESP,1780,10936291
Spain,ESP,1790,11240074
Spain,ESP,1800,11500000
Spain,ESP,1801,11534168
Spain,ESP,1802,11568438
Spain,ESP,1803,11602809
Spain,ESP,1804,11637283
Spain,ESP,1805,11671859
Spain,ESP,1806,11706538
Spain,ESP,1807,11741320
Spain,ESP,1808,11776205
Spain,ESP,1809,11811194
Spain,ESP,1810,11846391
Spain,ESP,1811,11881588
Spain,ESP,1812,11916890
Spain,ESP,1813,11952297
Spain,ESP,1814,11987809
Spain,ESP,1815,12023426
Spain,ESP,1816,12059150
Spain,ESP,1817,12094979
Spain,ESP,1818,12130915
Spain,ESP,1819,12175970
Spain,ESP,1820,12230231
Spain,ESP,1821,12293786
Spain,ESP,1822,12366723
Spain,ESP,1823,12449131
Spain,ESP,1824,12532089
Spain,ESP,1825,12615600
Spain,ESP,1826,12699667
Spain,ESP,1827,12784295
Spain,ESP,1828,12869486
Spain,ESP,1829,12955253
Spain,ESP,1830,13041601
Spain,ESP,1831,13128533
Spain,ESP,1832,13216052
Spain,ESP,1833,13304164
Spain,ESP,1834,13392863
Spain,ESP,1835,13482154
Spain,ESP,1836,13572039
Spain,ESP,1837,13662525
Spain,ESP,1838,13753613
Spain,ESP,1839,13845298
Spain,ESP,1840,13937584
Spain,ESP,1841,14030474
Spain,ESP,1842,14123973
Spain,ESP,1843,14218084
Spain,ESP,1844,14312822
Spain,ESP,1845,14408192
Spain,ESP,1846,14504197
Spain,ESP,1847,14600842
Spain,ESP,1848,14698130
Spain,ESP,1849,14790851
Spain,ESP,1850,14878948
Spain,ESP,1851,14962372
Spain,ESP,1852,15041059
Spain,ESP,1853,15114951
Spain,ESP,1854,15189206
Spain,ESP,1855,15263826
Spain,ESP,1856,15338812
Spain,ESP,1857,15414166
Spain,ESP,1858,15489891
Spain,ESP,1859,15561625
Spain,ESP,1860,15629333
Spain,ESP,1861,15692979
Spain,ESP,1862,15752530
Spain,ESP,1863,15807948
Spain,ESP,1864,15863561
Spain,ESP,1865,15919369
Spain,ESP,1866,15975374
Spain,ESP,1867,16031576
Spain,ESP,1868,16087976
Spain,ESP,1869,16146102
Spain,ESP,1870,16205967
Spain,ESP,1871,16267583
Spain,ESP,1872,16330962
Spain,ESP,1873,16396117
Spain,ESP,1874,16461531
Spain,ESP,1875,16527207
Spain,ESP,1876,16593144
Spain,ESP,1877,16659345
Spain,ESP,1878,16725809
Spain,ESP,1879,16796632
Spain,ESP,1880,16871852
Spain,ESP,1881,16951508
Spain,ESP,1882,17035639
Spain,ESP,1883,17124285
Spain,ESP,1884,17213392
Spain,ESP,1885,17302962
Spain,ESP,1886,17392999
Spain,ESP,1887,17483504
Spain,ESP,1888,17574480
