Entity,Code,Year,Population
Turkey,TUR,0,6000014
Turkey,TUR,100,6499996
Turkey,TUR,200,6999992
Turkey,TUR,300,6499996
Turkey,TUR,400,6000014
Turkey,TUR,500,5500012
Turkey,TUR,600,4999996
Turkey,TUR,700,5500012
Turkey,TUR,800,6000014
Turkey,TUR,900,6624994
Turkey,TUR,1000,7250000
Turkey,TUR,1100,5299996
Turkey,TUR,1200,6249975
Turkey,TUR,1300,7199988
Turkey,TUR,1400,5800000
Turkey,TUR,1500,6249975
Turkey,TUR,1600,8000006
Turkey,TUR,1700,8499977
Turkey,TUR,1710,8599322
Turkey,TUR,1720,8723930
Turkey,TUR,1730,8850373
Turkey,TUR,1740,8978625
Turkey,TUR,1750,9108763
Turkey,TUR,1760,9240746
Turkey,TUR,1770,9374679
Turkey,TUR,1780,9510593
Turkey,TUR,1790,9648400
Turkey,TUR,1800,9761393
Turkey,TUR,1801,9776186
Turkey,TUR,1802,9791003
Turkey,TUR,1803,9805842
Turkey,TUR,1804,9820702
Turkey,TUR,1805,9835586
Turkey,TUR,1806,9850492
Turkey,TUR,1807,9865421
Turkey,TUR,1808,9880372
Turkey,TUR,1809,9895346
Turkey,TUR,1810,9910759
Turkey,TUR,1811,9926565
Turkey,TUR,1812,9943184
Turkey,TUR,1813,9960618
Turkey,TUR,1814,9978873
Turkey,TUR,1815,9997951
Turkey,TUR,1816,10017856
Turkey,TUR,1817,10038592
Turkey,TUR,1818,10060164
Turkey,TUR,1819,10082574
Turkey,TUR,1820,10105826
Turkey,TUR,1821,10121790
Turkey,TUR,1822,10137787
Turkey,TUR,1823,10169781
Turkey,TUR,1824,10201876
Turkey,TUR,1825,10234073
Turkey,TUR,1826,10266371
Turkey,TUR,1827,10298771
Turkey,TUR,1828,10331273
Turkey,TUR,1829,10363878
Turkey,TUR,1830,10396585
Turkey,TUR,1831,10429396
Turkey,TUR,1832,10462311
Turkey,TUR,1833,10495329
Turkey,TUR,1834,10528452
Turkey,TUR,1835,10561679
Turkey,TUR,1836,10595011
Turkey,TUR,1837,10628448
Turkey,TUR,1838,10661991
Turkey,TUR,1839,10695639
Turkey,TUR,1840,10729394
Turkey,TUR,1841,10763255
Turkey,TUR,1842,10797224
Turkey,TUR,1843,10831299
Turkey,TUR,1844,10865482
Turkey,TUR,1845,10899773
Turkey,TUR,1846,10934172
Turkey,TUR,1847,10968679
Turkey,TUR,1848,11003295
Turkey,TUR,1849,11038021
Turkey,TUR,1850,11072856
Turkey,TUR,1851,11105405
Turkey,TUR,1852,11138049
Turkey,TUR,1853,11170788
Turkey,TUR,1854,11203623
Turkey,TUR,1855,11236554
Turkey,TUR,1856,11269582
Turkey,TUR,1857,11302705
Turkey,TUR,1858,11335926
Turkey,TUR,1859,11369244
Turkey,TUR,1860,11402659
Turkey,TUR,1861,11436172
Turkey,TUR,1862,11469783
Turkey,TUR,1863,11503492
Turkey,TUR,1864,11537299
Turkey,TUR,1865,11571206
Turkey,TUR,1866,11605211
Turkey,TUR,1867,11639316
Turkey,TUR,1868,11673521
Turkey,TUR,1869,11714580
Turkey,TUR,1870,11762553
Turkey,TUR,1871,11817496
Turkey,TUR,1872,11879470
Turkey,TUR,1873,11948533
Turkey,TUR,1874,12017997
Turkey,TUR,1875,12087864
Turkey,TUR,1876,12158137
Turkey,TUR,1877,12228817
Turkey,TUR,1878,12299908
Turkey,TUR,1879,12371412
Turkey,TUR,1880,12443331
Turkey,TUR,1881,12515667
Turkey,TUR,1882,12588423
Turkey,TUR,1883,12661602
Turkey,TUR,1884,12735205
Turkey,TUR,1885,12809235
Turkey,TUR,1886,12883696
Turkey,TUR,1887,12958588
Turkey,TUR,1888,13033916
Turkey,TUR,1889,13109680
Turkey,TUR,1890,13185884
Turkey,TUR,1891,13262531
Turkey,TUR,1892,13339623
Turkey,TUR,1893,13417162
Turkey,TUR,1894,13495151
Turkey,TUR,1895,13573592
Turkey,TUR,1896,13652489
Turkey,TUR,1897,13731844
Turkey,TUR,1898,13811660
Turkey,TUR,1899,13891939
Turkey,TUR,1900,13972684
Turkey,TUR,1901,14053897
Turkey,TUR,1902,14135582
Turkey,TUR,1903,14217741
Turkey,TUR,1904,14300377
Turkey,TUR,1905,14383492
Turkey,TUR,1906,14467090
Turkey,TUR,1907,14551173
Turkey,TUR,1908,14635744
Turkey,TUR,1909,14679982
Turkey,TUR,1910,14683987
Turkey,TUR,1911,14647858
Turkey,TUR,1912,14571689
Turkey,TUR,1913,14455574
Turkey,TUR,1914,14340384
Turkey,TUR,1915,14226111
Turkey,TUR,1916,14112748
Turkey,TUR,1917,14000287
Turkey,TUR,1918,13891763
Turkey,TUR,1919,13825326
Turkey,TUR,1920,13800950
Turkey,TUR,1921,13818615
Turkey,TUR,1922,13878301
Turkey,TUR,1923,13979991
Turkey,TUR,1924,14082427
Turkey,TUR,1925,14185613
Turkey,TUR,1926,14289555
Turkey,TUR,1927,14394259
Turkey,TUR,1928,14499730
Turkey,TUR,1929,14637000
Turkey,TUR,1930,14806857
Turkey,TUR,1931,15010104
Turkey,TUR,1932,15247560
Turkey,TUR,1933,15520060
Turkey,TUR,1934,15797430
Turkey,TUR,1935,16079757
Turkey,TUR,1936,16367129
Turkey,TUR,1937,16659638
Turkey,TUR,1938,16957374
Turkey,TUR,1939,17257852
Turkey,TUR,1940,17561075
Turkey,TUR,1941,17867048
Turkey,TUR,1942,18175775
Turkey,TUR,1943,18487257
Turkey,TUR,1944,18804078
Turkey,TUR,1945,19126328
Turkey,TUR,1946,19454100
Turkey,TUR,1947,19787490
Turkey,TUR,1948,20126593
Turkey,TUR,1949,20522505
Turkey,TUR,1950,20977698
Turkey,TUR,1951,21519608
Turkey,TUR,1952,22094504
Turkey,TUR,1953,22690584
Turkey,TUR,1954,23267966
Turkey,TUR,1955,23821346
Turkey,TUR,1956,24473658
Turkey,TUR,1957,25238754
Turkey,TUR,1958,26007696
Turkey,TUR,1959,26768164
Turkey,TUR,1960,27510982
Turkey,TUR,1961,28255008
Turkey,TUR,1962,29033646
Turkey,TUR,1963,29827882
Turkey,TUR,1964,30612824
Turkey,TUR,1965,31374540
Turkey,TUR,1966,32172782
Turkey,TUR,1967,33026492
Turkey,TUR,1968,33884076
Turkey,TUR,1969,34721988
Turkey,TUR,1970,35540988
Turkey,TUR,1971,36359956
Turkey,TUR,1972,37188036
Turkey,TUR,1973,38028236
Turkey,TUR,1974,38863424
Turkey,TUR,1975,39673588
Turkey,TUR,1976,40500996
Turkey,TUR,1977,41385656
Turkey,TUR,1978,42292208
Turkey,TUR,1979,43187472
Turkey,TUR,1980,44089068
Turkey,TUR,1981,44981876
Turkey,TUR,1982,45949992
Turkey,TUR,1983,47026424
Turkey,TUR,1984,48106772
Turkey,TUR,1985,49175680
Turkey,TUR,1986,50223888
Turkey,TUR,1987,51250156
Turkey,TUR,1988,52275892
Turkey,TUR,1989,53305236
Turkey,TUR,1990,54324140
Turkey,TUR,1991,55321172
Turkey,TUR,1992,56302040
Turkey,TUR,1993,57296008
Turkey,TUR,1994,58310244
Turkey,TUR,1995,59305492
Turkey,TUR,1996,60293784
Turkey,TUR,1997,61277420
Turkey,TUR,1998,62242200
Turkey,TUR,1999,63185620
Turkey,TUR,2000,64113548
Turkey,TUR,2001,65072016
Turkey,TUR,2002,65988664
Turkey,TUR,2003,66867324
Turkey,TUR,2004,67785080
Turkey,TUR,2005,68704712
Turkey,TUR,2006,69601328
Turkey,TUR,2007,70468864
Turkey,TUR,2008,71320728
Turkey,TUR,2009,72225648
Turkey,TUR,2010,73195352
Turkey,TUR,2011,74173856
Turkey,TUR,2012,75277440
Turkey,TUR,2013,76576120
Turkey,TUR,2014,78112064
Turkey,TUR,2015,79646176
Turkey,TUR,2016,81019400
Turkey,TUR,2017,82089824
Turkey,TUR,2018,82809304
Turkey,TUR,2019,83481688
Turkey,TUR,2020,84135432
Turkey,TUR,2021,84775408
