Entity,Code,Year,Population
Ukraine,UKR,100,494494
Ukraine,UKR,200,529813
Ukraine,UKR,300,567658
Ukraine,UKR,400,608207
Ukraine,UKR,500,651649
Ukraine,UKR,600,698196
Ukraine,UKR,700,748066
Ukraine,UKR,800,801500
Ukraine,UKR,900,858752
Ukraine,UKR,1000,916000
Ukraine,UKR,1100,1374003
Ukraine,UKR,1200,2061001
Ukraine,UKR,1300,2061001
Ukraine,UKR,1400,2061001
Ukraine,UKR,1500,2748007
Ukraine,UKR,1600,3435010
Ukraine,UKR,1700,4580010
Ukraine,UKR,1710,5114828
Ukraine,UKR,1720,5398999
Ukraine,UKR,1730,5698936
Ukraine,UKR,1740,6015554
Ukraine,UKR,1750,6349754
Ukraine,UKR,1760,6702496
Ukraine,UKR,1770,7074866
Ukraine,UKR,1780,7467909
Ukraine,UKR,1790,7882814
Ukraine,UKR,1800,11215490
Ukraine,UKR,1801,11215490
Ukraine,UKR,1802,11215490
Ukraine,UKR,1803,11215490
Ukraine,UKR,1804,11215490
Ukraine,UKR,1805,11215490
Ukraine,UKR,1806,11215490
Ukraine,UKR,1807,11215490
Ukraine,UKR,1808,11215490
Ukraine,UKR,1809,11215490
Ukraine,UKR,1810,11215490
Ukraine,UKR,1811,11215490
Ukraine,UKR,1812,11215490
Ukraine,UKR,1813,11215490
Ukraine,UKR,1814,11215490
Ukraine,UKR,1815,11215490
Ukraine,UKR,1816,11215490
Ukraine,UKR,1817,11215490
Ukraine,UKR,1818,11215490
Ukraine,UKR,1819,11236074
Ukraine,UKR,1820,11277431
Ukraine,UKR,1821,11339751
Ukraine,UKR,1822,11423228
Ukraine,UKR,1823,11528054
Ukraine,UKR,1824,11633843
Ukraine,UKR,1825,11740602
Ukraine,UKR,1826,11848341
Ukraine,UKR,1827,11957068
Ukraine,UKR,1828,12066794
Ukraine,UKR,1829,12177526
Ukraine,UKR,1830,12289274
Ukraine,UKR,1831,12402048
Ukraine,UKR,1832,12515857
Ukraine,UKR,1833,12630710
Ukraine,UKR,1834,12746617
Ukraine,UKR,1835,12863588
Ukraine,UKR,1836,12981632
Ukraine,UKR,1837,13100759
Ukraine,UKR,1838,13220979
Ukraine,UKR,1839,13342303
Ukraine,UKR,1840,13464740
Ukraine,UKR,1841,13588301
Ukraine,UKR,1842,13712995
Ukraine,UKR,1843,13838834
Ukraine,UKR,1844,13965828
Ukraine,UKR,1845,14093986
Ukraine,UKR,1846,14223321
Ukraine,UKR,1847,14353843
Ukraine,UKR,1848,14485563
Ukraine,UKR,1849,14618491
Ukraine,UKR,1850,14752639
Ukraine,UKR,1851,14890411
Ukraine,UKR,1852,15029469
Ukraine,UKR,1853,15169825
Ukraine,UKR,1854,15311492
Ukraine,UKR,1855,15454481
Ukraine,UKR,1856,15598805
Ukraine,UKR,1857,15744477
Ukraine,UKR,1858,15891508
Ukraine,UKR,1859,16039913
Ukraine,UKR,1860,16189702
Ukraine,UKR,1861,16340890
Ukraine,UKR,1862,16493490
Ukraine,UKR,1863,16647514
Ukraine,UKR,1864,16802976
Ukraine,UKR,1865,16959889
Ukraine,UKR,1866,17118268
Ukraine,UKR,1867,17278124
Ukraine,UKR,1868,17439474
Ukraine,UKR,1869,17602329
Ukraine,UKR,1870,17766705
Ukraine,UKR,1871,17932615
Ukraine,UKR,1872,18100074
Ukraine,UKR,1873,18269097
Ukraine,UKR,1874,18439697
Ukraine,UKR,1875,18611890
Ukraine,UKR,1876,18785691
Ukraine,UKR,1877,18961114
Ukraine,UKR,1878,19138174
Ukraine,UKR,1879,19316888
Ukraine,UKR,1880,19497270
Ukraine,UKR,1881,19679336
Ukraine,UKR,1882,19863101
Ukraine,UKR,1883,20048582
Ukraine,UKR,1884,20235794
Ukraine,UKR,1885,20424754
Ukraine,UKR,1886,20615478
Ukraine,UKR,1887,20807983
Ukraine,UKR,1888,21002284
Ukraine,UKR,1889,21198399
Ukraine,UKR,1890,21396345
