Entity,Code,Year,Population
United Kingdom,GBR,100,846785
United Kingdom,GBR,200,895453
United Kingdom,GBR,300,946915
United Kingdom,GBR,400,1001336
United Kingdom,GBR,500,751001
United Kingdom,GBR,600,500668
United Kingdom,GBR,700,500668
United Kingdom,GBR,800,730975
United Kingdom,GBR,900,1216620
United Kingdom,GBR,1000,1702272
United Kingdom,GBR,1100,2562420
United Kingdom,GBR,1200,4533100
United Kingdom,GBR,1300,6328028
United Kingdom,GBR,1400,2903871
United Kingdom,GBR,1500,4205610
United Kingdom,GBR,1600,5006675
United Kingdom,GBR,1700,6762360
United Kingdom,GBR,1710,7251708
United Kingdom,GBR,1720,7747935
United Kingdom,GBR,1730,8251954
United Kingdom,GBR,1740,8764942
United Kingdom,GBR,1750,9288174
United Kingdom,GBR,1760,9823166
United Kingdom,GBR,1770,10371586
United Kingdom,GBR,1780,10935458
United Kingdom,GBR,1790,11517161
United Kingdom,GBR,1800,10750000
United Kingdom,GBR,1801,10866183
United Kingdom,GBR,1802,10983623
United Kingdom,GBR,1803,11102331
United Kingdom,GBR,1804,11222322
United Kingdom,GBR,1805,11343611
United Kingdom,GBR,1806,11466210
United Kingdom,GBR,1807,11590134
United Kingdom,GBR,1808,11715397
United Kingdom,GBR,1809,11842014
United Kingdom,GBR,1810,12325700
United Kingdom,GBR,1811,12826009
United Kingdom,GBR,1812,13468809
United Kingdom,GBR,1813,14263733
United Kingdom,GBR,1814,15105572
United Kingdom,GBR,1815,15997097
United Kingdom,GBR,1816,16941239
United Kingdom,GBR,1817,17941104
United Kingdom,GBR,1818,18999980
United Kingdom,GBR,1819,19925365
United Kingdom,GBR,1820,20706854
United Kingdom,GBR,1821,21333398
United Kingdom,GBR,1822,21793262
United Kingdom,GBR,1823,22073986
United Kingdom,GBR,1824,22358326
United Kingdom,GBR,1825,22646329
United Kingdom,GBR,1826,22938041
United Kingdom,GBR,1827,23233511
United Kingdom,GBR,1828,23532788
United Kingdom,GBR,1829,23823479
United Kingdom,GBR,1830,24105348
United Kingdom,GBR,1831,24378150
United Kingdom,GBR,1832,24641639
United Kingdom,GBR,1833,24895561
United Kingdom,GBR,1834,25152100
United Kingdom,GBR,1835,25411282
United Kingdom,GBR,1836,25673136
United Kingdom,GBR,1837,25937687
United Kingdom,GBR,1838,26204965
United Kingdom,GBR,1839,26428534
United Kingdom,GBR,1840,26607869
United Kingdom,GBR,1841,26742439
United Kingdom,GBR,1842,26831707
United Kingdom,GBR,1843,26875131
United Kingdom,GBR,1844,26918625
United Kingdom,GBR,1845,26962189
United Kingdom,GBR,1846,27005824
United Kingdom,GBR,1847,27049530
United Kingdom,GBR,1848,27093306
United Kingdom,GBR,1849,27161567
United Kingdom,GBR,1850,27254502
United Kingdom,GBR,1851,27371581
United Kingdom,GBR,1852,27513708
United Kingdom,GBR,1853,27681073
United Kingdom,GBR,1854,27849455
United Kingdom,GBR,1855,28018862
United Kingdom,GBR,1856,28189300
